# trial, latency (cycles)
0, 12350766
1, 4375774
2, 2042924
3, 2182522
4, 8715466
5, 8629830
6, 2563368
7, 8171498
8, 1576376
9, 1184324
10, 1085212
11, 6782996
12, 1079914
13, 949846
14, 2760804
15, 1420564
16, 1188408
17, 984080
18, 964150
19, 1009140
20, 4046606
21, 8626060
22, 950536
23, 5674378
24, 1008186
25, 989234
26, 940724
27, 929812
28, 2576380
29, 1477014
30, 950062
31, 6768752
32, 1810892
33, 944056
34, 909338
35, 858778
36, 890644
37, 890788
38, 17284042
39, 874470
40, 854058
41, 911602
42, 877828
43, 926098
44, 928270
45, 1259986
46, 1119500
47, 1210272
48, 1151956
49, 920296
50, 3261918
51, 959888
52, 954700
53, 4675286
54, 995442
55, 941118
56, 932132
57, 948392
58, 953102
59, 3662152
60, 4163976
61, 979214
62, 933276
63, 891846
64, 907066
65, 888714
66, 910596
67, 941080
68, 927750
69, 898814
70, 890900
71, 1015264
72, 915404
73, 846900
74, 899818
75, 950742
76, 940340
77, 955926
78, 1236684
79, 1218496
80, 1200248
81, 968318
82, 862768
83, 902300
84, 866806
85, 905180
86, 919988
87, 5668158
88, 978280
89, 1031428
90, 988320
91, 958698
92, 955710
93, 1037110
94, 963184
95, 2364850
96, 1031522
97, 1068524
98, 4078846
99, 992740
100, 930340
101, 933050
102, 916908
103, 907768
104, 989570
105, 7826526
106, 984108
107, 966378
108, 950240
109, 957612
110, 957586
111, 4142866
112, 966968
113, 922456
114, 932774
115, 898326
116, 886740
117, 887610
118, 2861412
119, 994506
120, 935320
121, 929668
122, 901844
123, 920768
124, 10324932
125, 1004998
126, 927204
127, 924304
128, 937726
129, 934458
130, 945082
131, 925754
132, 875938
133, 942600
134, 903444
135, 890644
136, 918072
137, 7648402
138, 990996
139, 989238
140, 987792
141, 976690
142, 976254
143, 917102
144, 883322
145, 877732
146, 887696
147, 879986
148, 899318
149, 980438
150, 950208
151, 936614
152, 6302612
153, 921508
154, 908062
155, 902620
156, 900604
157, 934736
158, 899794
159, 897258
160, 967166
161, 902458
162, 890056
163, 901170
164, 898560
165, 1039872
166, 2964666
167, 1026540
168, 943508
169, 935314
170, 920634
171, 1037036
172, 931114
173, 2399196
174, 1045134
175, 4221304
176, 952042
177, 6406938
178, 1020786
179, 984264
180, 954826
181, 957342
182, 970984
183, 951276
184, 995504
185, 928860
186, 929630
187, 3597606
188, 962252
189, 973258
190, 939128
191, 914930
192, 893704
193, 5377650
194, 972720
195, 915192
196, 916142
197, 1228348
198, 1231644
199, 4458988
200, 992188
201, 1651240
202, 935488
203, 8489576
204, 921898
205, 1002826
206, 991860
207, 979124
208, 1297358
209, 914794
210, 902006
211, 922396
212, 3271316
213, 953298
214, 1004164
215, 1117366
216, 3556452
217, 3786992
218, 3566762
219, 992600
220, 935174
221, 931602
222, 933514
223, 938052
224, 908490
225, 934634
226, 907002
227, 908090
228, 908090
229, 900092
230, 3216488
231, 1050534
232, 1015248
233, 1003532
234, 4186302
235, 999084
236, 913170
237, 931340
238, 909166
239, 6142070
240, 916476
241, 896620
242, 853058
243, 935626
244, 950212
245, 945054
246, 7603556
247, 970020
248, 1821594
249, 3897152
250, 893248
251, 886310
252, 896656
253, 3385586
254, 977500
255, 919582
256, 908820
257, 1785042
258, 943704
259, 919294
260, 946336
261, 902536
262, 914468
263, 900752
264, 893532
265, 903510
266, 902062
267, 995866
268, 933442
269, 917358
270, 8698336
271, 944048
272, 904346
273, 888228
274, 901156
275, 891706
276, 1001694
277, 938984
278, 905638
279, 906818
280, 898110
281, 967404
282, 5498810
283, 4774538
284, 952712
285, 931988
286, 935060
287, 929530
288, 939932
289, 955888
290, 1005650
291, 976368
292, 976190
293, 976290
294, 2329884
295, 925434
296, 908774
297, 908102
298, 898408
299, 919748
300, 938532
301, 1100152
302, 10456724
303, 924040
304, 942216
305, 890364
306, 905872
307, 920992
308, 977800
309, 2511966
310, 951352
311, 894754
312, 909600
313, 896558
314, 888322
315, 899894
316, 3347260
317, 975362
318, 954832
319, 947022
320, 1596268
321, 1205272
322, 1064718
323, 1053380
324, 3152262
325, 1066496
326, 1009658
327, 958568
328, 938604
329, 908884
330, 904234
331, 1026240
332, 955540
333, 951026
334, 951236
335, 939648
336, 951258
337, 975102
338, 925758
339, 909616
340, 920008
341, 909234
342, 8740040
343, 966084
344, 930764
345, 916602
346, 914906
347, 906616
348, 3088726
349, 996114
350, 988172
351, 946124
352, 954724
353, 948918
354, 963866
355, 957438
356, 2566268
357, 949360
358, 910808
359, 901030
360, 909058
361, 892950
362, 5234604
363, 925058
364, 908428
365, 901520
366, 910166
367, 920726
368, 955644
369, 1041700
370, 980152
371, 958846
372, 968954
373, 948116
374, 927478
375, 6750656
376, 1002266
377, 941804
378, 943424
379, 939868
380, 923748
381, 946570
382, 1079882
383, 1070448
384, 992058
385, 979344
386, 1844570
387, 1008272
388, 947290
389, 902282
390, 901716
391, 1025916
392, 949202
393, 924990
394, 913688
395, 1009890
396, 961150
397, 962186
398, 943634
399, 935160
400, 928518
401, 970334
402, 942998
403, 905352
404, 986190
405, 973292
406, 954504
407, 9735012
408, 910424
409, 944418
410, 880912
411, 922704
412, 924336
413, 940850
414, 6776076
415, 1063258
416, 992378
417, 962002
418, 3304454
419, 897862
420, 877782
421, 895236
422, 877268
423, 888260
424, 8657382
425, 881646
426, 877846
427, 852854
428, 914896
429, 886930
430, 906346
431, 1656658
432, 943706
433, 992112
434, 906574
435, 898212
436, 1027338
437, 969860
438, 1002008
439, 935370
440, 921570
441, 930720
442, 3026904
443, 993536
444, 952282
445, 953754
446, 923594
447, 937846
448, 945298
449, 1016638
450, 913278
451, 991288
452, 953918
453, 925180
454, 904300
455, 3458958
456, 929360
457, 901040
458, 888978
459, 898082
460, 896420
461, 918512
462, 984826
463, 897566
464, 892578
465, 893570
466, 925902
467, 892588
468, 880428
469, 882652
470, 893322
471, 901058
472, 896336
473, 947850
474, 978482
475, 948902
476, 957916
477, 924164
478, 940838
479, 948106
480, 918052
481, 887620
482, 879876
483, 890700
484, 888294
485, 1826538
486, 891968
487, 911800
488, 8697526
489, 982200
490, 925040
491, 920216
492, 910714
493, 866210
494, 1080440
495, 1032800
496, 980516
497, 990538
498, 1012616
499, 1011996
500, 970620
501, 908518
502, 904436
503, 896456
504, 882698
505, 896288
506, 8029602
507, 972996
508, 917872
509, 926086
510, 3178184
511, 899608
512, 890862
513, 895508
514, 899052
515, 896982
516, 927220
517, 5153646
518, 1221012
519, 1192882
520, 1173780
521, 1179094
522, 1171596
523, 999246
524, 1099422
525, 1224040
526, 1197324
527, 3144468
528, 1055178
529, 1017942
530, 959622
531, 2756284
532, 958922
533, 902760
534, 4339830
535, 953114
536, 900092
537, 896468
538, 898036
539, 895158
540, 3083886
541, 1110504
542, 2747384
543, 2854470
544, 1009316
545, 939644
546, 961560
547, 965394
548, 954976
549, 959176
550, 986498
551, 901162
552, 1059702
553, 882628
554, 883810
555, 885522
556, 904510
557, 3889338
558, 3734930
559, 999346
560, 940744
561, 945108
562, 916974
563, 938762
564, 916642
565, 995784
566, 964140
567, 971300
568, 883930
569, 883962
570, 973338
571, 988262
572, 5535624
573, 882770
574, 6211376
575, 931782
576, 952966
577, 934848
578, 921882
579, 904706
580, 909036
581, 1653132
582, 896030
583, 884524
584, 884262
585, 887108
586, 1839400
587, 962930
588, 900446
589, 899376
590, 3425880
591, 894086
592, 880032
593, 878202
594, 896892
595, 1806810
596, 888862
597, 9590490
598, 902852
599, 900080
600, 885792
601, 959272
602, 931688
603, 913538
604, 2582762
605, 972616
606, 908848
607, 911840
608, 912158
609, 905036
610, 914270
611, 5205628
612, 1014732
613, 922360
614, 900286
615, 1633434
616, 906110
617, 915972
618, 913870
619, 3345134
620, 990062
621, 938108
622, 944852
623, 923178
624, 936650
625, 928072
626, 3646534
627, 966792
628, 911808
629, 907818
630, 910812
631, 925076
632, 936630
633, 966084
634, 935874
635, 902606
636, 916330
637, 896594
638, 900634
639, 2928072
640, 3358986
641, 983588
642, 966562
643, 1004890
644, 973176
645, 939140
646, 906122
647, 1635590
648, 917328
649, 898520
650, 902964
651, 902642
652, 899756
653, 959342
654, 7264348
655, 999178
656, 903220
657, 2281350
658, 908336
659, 8903472
660, 896928
661, 892864
662, 880128
663, 879362
664, 880306
665, 879352
666, 865888
667, 869932
668, 868256
669, 883252
670, 987444
671, 847944
672, 916494
673, 893522
674, 2530562
675, 6907030
676, 929264
677, 7405514
678, 954314
679, 927982
680, 8279558
681, 937812
682, 885610
683, 890572
684, 1019282
685, 993562
686, 948686
687, 951728
688, 960740
689, 943726
690, 5865404
691, 941978
692, 967898
693, 909886
694, 917900
695, 921840
696, 8334372
697, 829800
698, 889642
699, 970144
700, 962906
701, 970668
702, 935036
703, 932874
704, 1070364
705, 930328
706, 913164
707, 893494
708, 889408
709, 5603412
710, 964360
711, 907966
712, 913472
713, 936620
714, 902632
715, 894978
716, 897884
717, 897760
718, 906742
719, 893652
720, 1009412
721, 955588
722, 931758
723, 921992
724, 903072
725, 896426
726, 4021340
727, 944676
728, 850650
729, 892500
730, 968092
731, 930944
732, 988152
733, 949842
734, 5003808
735, 1058806
736, 1029108
737, 1012402
738, 1002868
739, 998938
740, 982082
741, 933302
742, 916786
743, 929882
744, 938700
745, 928552
746, 3471858
747, 980396
748, 951624
749, 939912
750, 907362
751, 922804
752, 908390
753, 1170536
754, 905178
755, 904550
756, 897164
757, 899946
758, 902296
759, 3671886
760, 946870
761, 912604
762, 907626
763, 914854
764, 889796
765, 907998
766, 4394084
767, 7259970
768, 964742
769, 868504
770, 1144564
771, 914538
772, 909050
773, 4398964
774, 915940
775, 891818
776, 893774
777, 906820
778, 889394
779, 906748
780, 6210406
781, 984566
782, 6948688
783, 972656
784, 906398
785, 907488
786, 943114
787, 927318
788, 7616610
789, 916106
790, 929158
791, 7119624
792, 812578
793, 872712
794, 832330
795, 853238
796, 966636
797, 948552
798, 893252
799, 888774
800, 4212280
801, 1035362
802, 952008
803, 999376
804, 1154426
805, 927712
806, 918464
807, 913898
808, 929690
809, 920542
810, 918514
811, 2804564
812, 976584
813, 990002
814, 946294
815, 961998
816, 928912
817, 934050
818, 927864
819, 3029376
820, 922306
821, 911688
822, 911266
823, 911274
824, 908186
825, 8923308
826, 1260278
827, 1186764
828, 1177918
829, 1187760
830, 1210790
831, 1008318
832, 968044
833, 934188
834, 934116
835, 931660
836, 1047460
837, 1006924
838, 970752
839, 988982
840, 947190
841, 966116
842, 960220
843, 4128036
844, 964580
845, 924234
846, 906748
847, 908452
848, 951796
849, 1025494
850, 3837596
851, 960688
852, 905072
853, 901812
854, 900620
855, 910818
856, 4858138
857, 969086
858, 911766
859, 919206
860, 919848
861, 914338
862, 2550290
863, 973138
864, 895372
865, 888178
866, 899440
867, 926368
868, 999528
869, 930772
870, 915520
871, 901986
872, 2773058
873, 1065282
874, 999692
875, 985720
876, 996008
877, 946660
878, 948808
879, 934304
880, 2831426
881, 988424
882, 938070
883, 926770
884, 942828
885, 1767104
886, 902668
887, 896800
888, 908224
889, 895180
890, 894470
891, 892904
892, 5303456
893, 989460
894, 954948
895, 903658
896, 922740
897, 899128
898, 907362
899, 923174
900, 901014
901, 901428
902, 894432
903, 892636
904, 2410484
905, 1005224
906, 941958
907, 935756
908, 933064
909, 915746
910, 984830
911, 6783752
912, 1240244
913, 1199626
914, 1198660
915, 1224434
916, 1199336
917, 1002888
918, 912908
919, 935402
920, 992626
921, 926376
922, 929432
923, 899354
924, 3308150
925, 906882
926, 893314
927, 902400
928, 2100110
929, 5975144
930, 968994
931, 927620
932, 922748
933, 914296
934, 897150
935, 923638
936, 4805902
937, 985836
938, 941990
939, 949806
940, 896378
941, 4075538
942, 967566
943, 923608
944, 909206
945, 915688
946, 907634
947, 959146
948, 2458096
949, 957486
950, 917040
951, 9520618
952, 988632
953, 957970
954, 958234
955, 3241050
956, 985898
957, 937158
958, 885836
959, 933950
960, 905906
961, 910434
962, 3198072
963, 1071442
964, 1014624
965, 1014446
966, 1020730
967, 1025742
968, 2817684
969, 955772
970, 914538
971, 889228
972, 1584588
973, 1013630
974, 919790
975, 909934
976, 896424
977, 888902
978, 911172
979, 999158
980, 914524
981, 899626
982, 892930
983, 927530
984, 891630
985, 4659814
986, 4261660
987, 1004446
988, 924380
989, 933516
990, 2858574
991, 962704
992, 1159802
993, 1157542
994, 1166650
995, 1150702
996, 995688
997, 955236
998, 955124
999, 1010222
