# trial, latency (cycles)
m_reset is null!
0, 4187124
1, 32212
2, 15964
3, 18962
4, 18228
5, 15746
6, 15112
7, 14308
8, 14644
9, 14608
10, 14420
11, 18540
12, 18468
13, 16588
14, 15758
15, 14954
16, 14654
17, 14406
18, 14482
19, 18782
20, 18618
21, 16920
22, 16086
23, 15016
24, 14676
25, 14392
26, 14440
27, 18732
28, 18846
29, 16164
30, 14796
31, 14280
32, 14388
33, 14358
34, 14534
35, 18630
36, 18876
37, 16978
38, 16334
39, 14966
40, 14580
41, 14248
42, 14454
43, 18716
44, 19016
45, 17212
46, 16326
47, 15668
48, 14792
49, 14468
50, 14476
51, 18462
52, 18768
53, 17008
54, 16154
55, 14936
56, 14590
57, 14386
58, 14414
59, 18598
60, 18846
61, 16978
62, 16180
63, 32488
64, 22716
65, 14452
66, 14948
67, 18790
68, 18852
69, 17154
70, 15650
71, 14594
72, 14604
73, 14484
74, 14474
75, 18672
76, 18964
77, 17898
78, 16286
79, 15180
80, 14728
81, 14350
82, 14486
83, 18690
84, 18864
85, 16926
86, 16856
87, 14938
88, 15188
89, 14254
90, 14510
91, 18666
92, 18872
93, 17070
94, 16198
95, 14964
96, 14730
97, 14414
98, 14388
99, 18640
100, 19058
101, 17092
102, 16214
103, 14904
104, 14548
105, 14462
106, 14702
107, 18910
108, 19056
109, 17216
110, 16328
111, 15206
112, 14916
113, 14414
114, 14592
115, 18676
116, 18930
117, 17170
118, 16278
119, 15044
120, 14686
121, 14326
122, 14598
123, 18484
124, 18840
125, 16984
126, 15840
127, 16698
128, 15316
129, 14448
130, 14546
131, 19330
132, 18832
133, 17084
134, 16104
135, 14882
136, 14640
137, 14314
138, 14464
139, 18588
140, 18866
141, 17064
142, 21580
143, 21590
144, 20376
145, 20212
146, 19950
147, 19690
148, 18992
149, 17046
150, 15928
151, 14830
152, 14834
153, 14304
154, 14506
155, 18620
156, 18854
157, 18264
158, 16262
159, 15150
160, 14614
161, 14404
162, 14440
163, 18708
164, 18856
165, 16996
166, 16098
167, 14930
168, 14692
169, 14592
170, 14688
171, 19782
172, 18848
