# trial, latency (cycles)
0, 122476
1, 71054
2, 73832
3, 68110
4, 52460
5, 52516
6, 55590
7, 49974
8, 66490
9, 49412
10, 72804
11, 51404
12, 60468
13, 69044
14, 137620
15, 50520
16, 48184
17, 139400
18, 98756
19, 62404
20, 50896
21, 51772
22, 61954
23, 49858
24, 51952
25, 50464
26, 51494
27, 50254
28, 49228
29, 49874
30, 48666
31, 51824
32, 50674
33, 51282
34, 51214
35, 50700
36, 50856
37, 62752
38, 53158
39, 50974
40, 50322
41, 51702
42, 50970
43, 50828
44, 51172
45, 51002
46, 49926
47, 53452
48, 51250
49, 49030
50, 50770
51, 47302
52, 51948
53, 64804
54, 51696
55, 50556
56, 50122
57, 51030
58, 59410
59, 47110
60, 47392
61, 55926
62, 47978
63, 53368
64, 55652
65, 47444
66, 47692
67, 105744
68, 45188
69, 58910
70, 55784
71, 46106
72, 49276
73, 53720
74, 46130
75, 45640
76, 54220
77, 46236
78, 46696
79, 57230
80, 45618
81, 45690
82, 54182
83, 46282
84, 46714
85, 69414
86, 48508
87, 48038
88, 54862
89, 46050
90, 48048
91, 54436
92, 47154
93, 46016
94, 56290
95, 49676
96, 45336
97, 57934
98, 47308
99, 48726
100, 70482
101, 47414
102, 45274
103, 54198
104, 48398
105, 47358
106, 54170
107, 47092
108, 49594
109, 53404
110, 47358
111, 47816
112, 54722
113, 48614
114, 47158
115, 53930
116, 63576
117, 47928
118, 58554
119, 48786
120, 47532
121, 55392
122, 47856
123, 46578
124, 53722
125, 48244
126, 49050
127, 54488
128, 49154
129, 47284
130, 55030
131, 47056
132, 65010
133, 55258
134, 46906
135, 48996
136, 53764
137, 49260
138, 48308
139, 55944
140, 47422
141, 48458
142, 55174
143, 46982
144, 47654
145, 55414
146, 47238
147, 46808
148, 71690
149, 46948
150, 47014
151, 56478
152, 46488
153, 49382
154, 54682
155, 50534
156, 45624
157, 56518
158, 46810
159, 46822
160, 56916
161, 48386
162, 47054
163, 73450
164, 46562
165, 45406
166, 57058
167, 98174
168, 48142
169, 119214
170, 145438
171, 63900
172, 65646
173, 51206
174, 49270
175, 56718
176, 46334
177, 48158
178, 55866
179, 69642
180, 47876
181, 56796
182, 47032
183, 49746
184, 56664
185, 47342
186, 46156
187, 55090
188, 47018
189, 48334
190, 56978
191, 48464
192, 47982
193, 54456
194, 47170
195, 62764
196, 55366
197, 47262
198, 50036
199, 57154
200, 47812
201, 47494
202, 58414
203, 51018
204, 46880
205, 54700
206, 48008
207, 48086
208, 53942
209, 46906
210, 60600
211, 56484
212, 46640
213, 47000
214, 55584
215, 51472
216, 47740
217, 54166
218, 48692
219, 48896
220, 54746
221, 47592
222, 47508
223, 58586
224, 48074
225, 49074
226, 70382
227, 48770
228, 48436
229, 55128
230, 48906
231, 50322
232, 56926
233, 46666
234, 47942
235, 57552
236, 47950
237, 48852
238, 53818
239, 48226
240, 47790
241, 64894
242, 46694
243, 49806
244, 57220
245, 47364
246, 48798
247, 57056
248, 48452
249, 46424
250, 55430
251, 48156
252, 51170
253, 57424
254, 46952
255, 49040
256, 56988
257, 55810
258, 46138
259, 55812
260, 47020
261, 50460
262, 55540
263, 49474
264, 48462
265, 58110
266, 47546
267, 52352
268, 56930
269, 51542
270, 49036
271, 58030
272, 49156
273, 58340
274, 56952
275, 47916
276, 47848
277, 58806
278, 49168
279, 49150
280, 56874
281, 48016
282, 47222
283, 56994
284, 48014
285, 50322
286, 59734
287, 49700
288, 66922
289, 55690
290, 47982
291, 47938
292, 58522
293, 51262
294, 49190
295, 59104
296, 50364
297, 48934
298, 54952
299, 50778
300, 49362
301, 57092
302, 46548
303, 48888
304, 67824
305, 50942
306, 47708
307, 57640
308, 49094
309, 48282
310, 56666
