# trial, latency (cycles)
0, 200536
1, 11616
2, 8382
3, 8226
4, 8110
5, 9148
6, 8490
7, 8164
8, 9076
9, 10106
10, 8614
11, 8092
12, 7928
13, 8142
14, 7976
15, 7982
16, 8836
17, 9820
18, 8876
19, 8212
20, 8138
21, 8092
22, 7966
23, 8004
24, 9112
25, 9688
26, 8804
27, 8222
28, 8068
29, 8096
30, 8004
31, 7956
32, 8744
33, 9806
34, 8752
35, 8256
36, 8144
37, 8150
38, 7996
39, 7984
40, 8812
41, 10142
42, 9054
43, 8572
44, 8022
45, 8118
46, 8078
47, 8002
48, 8772
49, 9836
50, 8652
51, 8240
52, 8054
53, 8134
54, 7960
55, 7984
56, 8754
57, 9798
58, 8790
59, 8314
60, 8136
61, 8078
62, 7982
63, 7946
64, 8766
65, 9840
66, 8694
67, 8214
68, 8084
69, 8156
70, 7970
71, 7960
72, 8812
73, 9838
74, 8796
75, 8234
76, 8018
77, 8114
78, 7974
79, 8020
80, 8758
81, 9886
82, 8754
83, 8326
84, 8076
85, 8164
86, 7976
87, 8042
88, 8796
89, 9822
90, 8844
91, 8290
92, 8388
93, 8124
94, 8008
95, 7982
96, 8750
97, 9828
98, 8696
99, 8214
100, 8058
101, 8158
102, 7986
103, 7958
104, 8842
105, 9844
106, 8802
107, 8336
108, 7974
109, 8068
110, 7960
111, 7984
112, 8772
113, 9804
114, 8680
115, 8198
116, 8040
117, 8144
118, 7970
119, 7938
120, 8782
121, 9826
122, 8756
123, 8284
124, 8100
125, 8090
126, 7966
127, 7978
128, 8816
129, 9794
130, 8750
131, 8248
132, 8070
133, 8228
134, 7984
135, 7934
136, 8778
137, 9812
138, 8790
139, 8236
140, 8148
141, 8108
142, 7950
143, 7966
144, 8948
145, 9832
146, 8724
147, 8308
148, 8074
149, 8116
150, 7996
151, 7980
152, 8770
153, 9860
154, 8790
155, 8316
156, 8122
157, 8064
158, 7894
159, 7904
160, 8822
161, 10356
162, 9058
163, 8254
164, 8036
165, 8126
166, 7974
167, 7976
168, 8760
169, 9856
170, 8856
171, 8238
172, 8122
173, 8096
174, 7944
175, 7990
176, 8746
177, 9876
178, 8766
179, 8252
180, 8014
181, 8066
182, 7978
183, 7934
184, 8830
185, 9858
186, 8804
187, 8254
188, 7982
189, 8134
190, 7982
191, 7980
192, 9128
193, 9684
194, 8706
195, 8214
196, 8094
197, 8152
198, 8000
199, 7968
200, 8766
201, 9824
202, 8790
203, 8298
204, 8226
205, 8084
206, 7926
207, 7950
208, 8784
209, 9812
210, 8712
211, 8256
212, 8082
213, 8130
214, 8010
215, 7946
216, 8832
217, 9872
218, 8834
219, 8244
220, 8116
221, 8158
222, 8026
223, 7974
224, 8786
225, 9914
226, 8734
227, 8240
228, 8072
229, 8092
230, 7890
231, 7966
232, 9632
233, 12626
234, 8412
235, 8008
236, 7910
237, 7842
238, 7712
239, 7788
240, 8598
241, 9716
242, 8612
243, 8132
244, 8002
245, 7882
246, 8168
247, 7766
248, 8576
249, 9710
250, 8678
251, 8218
252, 30658
253, 8142
254, 65244
255, 12804
256, 9058
257, 16142
258, 11920
259, 13670
260, 8340
261, 8152
262, 7904
263, 8694
264, 9882
265, 8742
266, 8114
267, 8220
268, 7912
269, 7960
270, 7964
271, 8832
272, 9830
273, 8814
274, 8222
275, 8142
276, 8090
277, 8268
278, 7814
279, 8724
280, 9882
281, 8648
282, 8256
283, 8122
284, 8114
285, 7956
286, 8072
287, 8802
288, 9850
289, 8734
290, 8270
291, 8144
292, 8110
293, 7976
294, 8082
295, 9146
296, 9666
297, 8702
298, 8296
299, 8054
300, 8086
301, 8296
302, 7896
303, 8810
304, 9876
305, 8782
306, 8254
307, 8148
308, 8098
309, 8316
310, 7736
311, 9034
312, 9692
313, 8772
314, 8310
315, 8010
316, 8074
317, 7928
318, 8002
319, 9142
320, 9678
321, 8680
322, 7950
323, 7922
324, 8078
325, 7968
326, 7984
327, 8706
328, 9970
329, 8930
330, 8286
331, 8068
332, 8082
333, 7926
334, 7958
335, 9136
336, 9668
337, 8716
338, 8236
339, 8026
340, 8130
341, 7964
342, 8018
343, 8780
344, 11000
345, 8772
346, 8278
347, 8052
348, 8094
349, 8990
350, 7984
351, 8792
352, 9776
353, 8714
354, 8206
355, 8036
356, 8108
357, 7928
358, 7956
359, 8726
360, 9792
361, 8926
362, 8282
363, 8050
364, 8080
365, 8268
366, 7806
367, 8836
368, 9846
369, 8716
370, 8284
371, 8060
372, 8130
373, 8284
374, 7760
375, 8664
376, 9820
377, 8688
378, 8250
379, 7878
380, 8066
381, 8312
382, 7802
383, 9082
384, 9664
385, 8698
386, 8230
387, 8082
388, 8140
389, 7940
390, 7936
391, 8704
392, 9806
393, 8660
394, 8252
395, 8062
396, 8078
397, 7930
398, 7982
399, 8762
400, 9848
401, 8702
402, 8204
403, 7880
404, 8068
405, 7998
406, 7956
407, 8740
408, 11034
409, 8736
410, 8254
411, 8080
412, 8112
413, 8256
414, 7770
415, 8810
416, 9810
417, 14924
418, 11186
419, 11022
420, 8382
421, 7952
422, 7832
423, 8938
424, 12608
425, 11344
426, 9044
427, 8274
428, 8112
429, 8040
430, 8230
431, 7780
432, 8816
433, 9994
434, 8834
435, 8338
436, 8072
437, 8090
438, 7958
439, 7918
440, 9290
441, 9720
442, 8872
443, 8244
444, 8132
445, 8098
446, 7970
447, 7920
448, 8768
449, 9824
450, 8742
451, 8260
452, 8046
453, 8488
454, 7830
455, 8282
456, 8752
457, 9870
458, 8754
459, 8230
460, 8090
461, 8100
462, 7974
463, 8010
464, 8974
465, 10372
466, 8764
467, 8306
468, 8062
469, 8134
470, 8316
471, 7774
472, 9354
473, 9698
474, 8766
475, 8204
476, 8130
477, 8100
478, 8278
479, 7806
480, 8992
481, 9862
482, 8692
483, 8070
484, 7888
485, 8118
486, 7950
487, 7928
488, 8748
489, 9884
490, 8872
491, 8322
492, 8054
493, 8092
494, 8320
495, 7776
496, 9158
497, 9666
498, 8696
499, 8294
500, 8134
501, 8130
502, 7960
503, 7954
504, 8768
505, 9862
506, 8714
507, 8236
508, 8076
509, 8090
510, 7956
511, 7968
512, 8820
513, 9800
514, 8760
515, 8198
516, 8062
517, 8100
518, 7922
519, 7922
520, 8690
521, 9818
522, 8720
523, 8296
524, 8028
525, 8054
526, 8214
527, 7792
528, 8784
529, 9820
530, 8710
531, 8222
532, 8116
533, 8188
534, 8000
535, 8022
536, 8780
537, 9944
538, 8778
539, 8492
540, 8198
541, 8106
542, 7946
543, 7912
544, 8770
545, 9842
546, 8750
547, 8276
548, 8100
549, 8154
550, 7980
551, 8030
552, 8732
553, 9858
554, 8746
555, 8368
556, 8024
557, 8106
558, 7954
559, 7934
560, 9164
561, 9662
562, 8762
563, 8216
564, 8060
565, 8132
566, 7952
567, 7944
568, 8862
569, 9956
570, 8728
571, 8376
572, 8050
573, 8102
574, 7944
575, 7936
576, 9362
577, 9736
578, 8784
579, 8178
580, 8060
581, 8118
582, 8294
583, 7802
584, 8762
585, 9852
586, 8714
587, 8258
588, 8254
589, 8060
590, 7988
591, 7978
592, 8828
593, 9836
594, 8732
595, 8200
596, 7932
597, 8142
598, 7972
599, 7960
600, 8740
601, 9834
602, 8734
603, 8250
604, 8050
605, 8072
606, 7974
607, 7990
608, 8818
609, 9836
610, 8736
611, 8174
612, 8126
613, 8138
614, 7964
615, 7970
616, 9002
617, 9814
618, 8702
619, 8238
620, 8010
621, 8004
622, 7914
623, 7902
624, 8772
625, 9826
626, 8766
627, 8254
628, 8086
629, 8104
630, 7964
631, 7952
632, 8690
633, 9994
634, 8774
635, 8224
636, 8118
637, 8086
638, 8294
639, 7780
640, 9146
641, 9648
642, 8740
643, 8174
644, 8116
645, 8126
646, 7960
647, 7972
648, 8738
649, 9840
650, 8742
651, 8266
652, 8114
653, 8084
654, 7946
655, 7940
656, 8816
657, 9828
658, 8814
659, 8292
660, 8100
661, 8140
662, 7964
663, 7964
664, 8736
665, 9832
666, 8678
667, 8272
668, 8066
669, 8090
670, 7954
671, 7980
672, 8798
673, 9824
674, 8744
675, 8172
676, 7914
677, 8178
678, 7968
679, 7998
680, 9108
681, 9662
682, 8772
683, 8336
684, 8100
685, 8108
686, 7946
687, 7960
688, 9066
689, 9820
690, 8790
691, 8252
692, 8124
693, 8092
694, 7968
695, 7956
696, 8726
697, 9834
698, 8730
699, 8300
700, 8040
701, 8092
702, 7914
703, 8080
704, 9096
705, 9812
706, 8806
707, 8190
708, 8096
709, 8160
710, 7948
711, 7982
712, 8696
713, 9988
714, 8864
715, 8258
716, 8072
717, 8048
718, 8216
719, 7756
720, 10198
721, 9678
722, 8730
723, 8204
724, 8086
725, 8100
726, 7962
727, 7962
728, 9022
729, 9650
730, 8698
731, 8228
732, 8056
733, 8082
734, 8294
735, 7794
736, 8968
737, 9846
738, 8634
739, 8182
740, 8102
741, 8094
742, 7880
743, 7920
744, 8706
745, 9834
746, 8730
747, 8256
748, 8046
749, 8040
750, 7916
751, 7888
752, 9128
753, 9702
754, 8730
755, 8180
756, 8096
757, 8072
758, 8268
759, 7774
760, 9090
761, 9720
762, 8704
763, 8266
764, 8044
765, 8072
766, 7944
767, 7962
768, 8846
769, 9846
770, 8746
771, 8184
772, 8108
773, 8140
774, 7954
775, 7938
776, 8748
777, 9856
778, 8740
779, 8398
780, 8048
781, 8088
782, 7940
783, 7980
784, 8828
785, 9824
786, 8744
787, 8244
788, 8074
789, 8110
790, 7954
791, 7950
792, 11284
793, 8964
794, 10056
795, 8678
796, 8300
797, 8086
798, 8108
799, 8034
800, 7968
801, 8838
802, 9956
803, 8982
804, 8248
805, 8140
806, 8130
807, 7926
808, 7912
809, 8756
810, 9858
811, 8722
812, 8266
813, 7928
814, 8092
815, 7990
816, 7960
817, 8762
818, 9856
819, 8760
820, 8214
821, 8084
822, 8148
823, 7924
824, 7980
825, 9266
826, 13582
827, 10040
828, 8628
829, 8256
830, 7906
831, 8028
832, 7874
833, 7938
834, 8746
835, 9852
836, 8726
837, 8194
838, 8060
839, 8102
840, 8348
841, 7786
842, 9116
843, 9640
844, 8724
845, 8240
846, 8054
847, 8172
848, 7928
849, 7992
850, 8734
851, 9904
852, 8756
853, 8206
854, 8088
855, 8106
856, 7972
857, 7936
858, 8760
859, 9814
860, 8784
861, 8324
862, 8102
863, 8400
864, 7754
865, 8324
866, 8548
867, 9830
868, 8676
869, 8206
870, 8080
871, 8104
872, 7986
873, 7940
874, 8766
875, 9796
876, 8782
877, 8224
878, 8036
879, 8138
880, 7922
881, 7986
882, 8734
883, 9842
884, 8692
885, 8236
886, 8116
887, 8094
888, 7974
889, 7944
890, 8764
891, 9844
892, 8718
893, 8166
