# trial, latency (cycles)
0, 3919200
1, 1183000
2, 1024800
3, 5914200
4, 1183080
5, 985760
6, 1099720
7, 1025000
8, 1012720
9, 948880
10, 963240
11, 4808480
12, 3991680
13, 3397720
14, 7630880
15, 11753240
16, 1448080
17, 1097240
18, 1022240
19, 1020520
20, 1551640
21, 4266920
22, 1051320
23, 966480
24, 1172320
25, 957640
26, 9488400
27, 1215800
28, 1214440
29, 4852840
30, 993520
31, 994960
32, 1510600
33, 1151480
34, 986880
35, 981680
36, 1006600
37, 1272760
38, 1009000
39, 1006880
40, 1138520
41, 1538760
42, 1324720
43, 1078400
44, 1071080
45, 3210680
46, 2021120
47, 1033960
48, 959920
49, 977320
50, 1000600
51, 3669320
52, 3582000
53, 956040
54, 927360
55, 916440
56, 935320
57, 941280
58, 957480
59, 4455760
60, 986240
61, 960080
62, 940880
63, 1024680
64, 972040
65, 1068320
66, 1267600
67, 1025600
68, 986240
69, 964720
70, 1018880
71, 980120
72, 970640
73, 1123240
74, 982720
75, 1002640
76, 2421520
77, 1009680
78, 3676000
79, 1086640
80, 1057080
81, 956480
82, 905960
83, 921760
84, 1001720
85, 1051840
86, 944760
87, 1003160
88, 950160
89, 1073760
90, 1022240
91, 1073520
92, 10647760
93, 1011080
94, 945800
95, 997320
96, 967840
97, 965960
98, 967360
99, 957160
100, 6570640
101, 1005520
102, 916480
103, 917280
104, 909920
105, 961880
106, 994920
107, 932600
108, 9197320
109, 1219040
110, 1251880
111, 1071800
112, 1167280
113, 990560
114, 7246320
115, 1018760
116, 964440
117, 1010640
118, 1098800
119, 1112560
120, 1070880
121, 1058120
122, 1242800
123, 1142800
124, 964400
125, 905680
126, 910280
127, 7494120
128, 1371640
129, 1041320
130, 1039280
131, 1219920
132, 1153560
133, 1172480
134, 1107160
135, 4457600
136, 1235360
137, 964960
138, 965280
139, 11627640
140, 1004240
141, 944000
142, 930160
143, 920080
144, 1043240
145, 927160
146, 929520
147, 940320
148, 948880
149, 1985440
150, 967000
151, 928760
152, 923000
153, 919880
154, 1048760
155, 3807920
156, 1006120
157, 959920
158, 950480
159, 1221200
160, 1030080
161, 1009680
162, 981200
163, 950200
164, 6794560
165, 1013480
166, 940840
167, 933360
168, 933040
169, 978880
170, 979160
171, 960880
172, 962240
173, 9372880
174, 1008240
175, 982200
176, 1492520
177, 925960
178, 1056760
179, 957440
180, 1010880
181, 4046320
182, 1056560
183, 933920
184, 953840
185, 946440
186, 921880
187, 968720
188, 945320
189, 1817720
190, 6428680
191, 987360
192, 983400
193, 6263800
194, 1025680
195, 1144920
196, 978560
197, 977320
198, 971280
199, 966480
200, 1040480
201, 969720
202, 960920
203, 984800
204, 966120
205, 916200
206, 933960
207, 933200
208, 1159880
209, 1133920
210, 1056480
211, 991880
212, 947280
213, 4331160
214, 3901840
215, 988920
216, 941120
217, 966880
218, 949280
219, 916240
220, 941480
221, 1042480
222, 954040
223, 918120
224, 8528760
225, 1295040
226, 1123800
227, 1246720
228, 1087120
229, 1015720
230, 972880
231, 1011360
232, 1170720
233, 3139880
234, 1020960
235, 2673480
236, 1061040
237, 4755320
238, 1029360
239, 921600
240, 1076720
241, 963280
242, 936880
243, 936840
244, 953160
245, 914360
246, 7616920
247, 974240
248, 1044800
249, 965880
250, 991560
251, 8267960
252, 1050320
253, 1042360
254, 1000200
255, 1012400
256, 1004600
257, 1142120
258, 995520
259, 1000080
260, 951160
261, 941880
262, 1521240
263, 1279600
264, 1162720
265, 1030520
266, 1100000
267, 1244960
268, 1100880
269, 1036760
270, 5203640
271, 1158640
272, 978640
273, 931560
274, 998480
275, 972640
276, 1508240
277, 1153400
278, 1183160
279, 1049440
280, 1121600
281, 981240
282, 1360960
283, 4047000
284, 1133840
285, 1115440
286, 1060720
287, 1122360
288, 1202320
289, 1240000
290, 1117520
291, 1108840
292, 3867240
293, 1171480
294, 956200
295, 981720
296, 1227040
297, 997000
298, 1074000
299, 1058920
300, 1144760
301, 1038320
302, 970320
303, 1155320
304, 1289920
305, 1231520
306, 1083320
307, 1094640
308, 1133600
309, 1000160
310, 1128000
311, 1104360
312, 1024280
313, 998920
314, 1089400
315, 1187240
316, 5354840
317, 1225160
318, 989120
319, 982760
320, 989320
321, 992680
322, 1295200
323, 1294960
324, 3179520
325, 1296720
326, 1149760
327, 1043920
328, 1179120
329, 7670560
330, 1590080
331, 1224320
332, 1171080
333, 1077400
334, 1100480
335, 1270000
336, 1298760
337, 1315440
338, 1036200
339, 996440
340, 1106880
341, 3861120
342, 1037920
343, 1319040
344, 1095040
345, 1278440
346, 4579440
347, 1211360
348, 967720
349, 942640
350, 924920
351, 981120
352, 951960
353, 907480
354, 964120
355, 916680
356, 964040
357, 1024760
358, 1219440
359, 978280
360, 934600
361, 1055400
362, 3970040
363, 997040
364, 1005320
365, 948800
366, 2445120
367, 975120
368, 4271480
369, 996000
370, 1176560
371, 972560
372, 1035000
373, 1058720
374, 9944840
375, 992280
376, 975120
377, 947600
378, 940960
379, 949280
380, 970040
381, 934960
382, 1078040
383, 961600
384, 979600
385, 4712000
386, 1253880
387, 1185840
388, 1161840
389, 998200
390, 972680
391, 1119960
392, 1882320
393, 969160
394, 984120
395, 983840
396, 990600
397, 995640
398, 947720
399, 975040
400, 946840
401, 1652840
402, 1007920
403, 958680
404, 944320
405, 966320
406, 988360
407, 995520
408, 962040
409, 944040
410, 924920
411, 985360
412, 4096680
413, 1149960
414, 995960
415, 3463280
416, 1000040
417, 911160
418, 987920
419, 1452240
420, 8285320
421, 1111800
422, 930720
423, 913040
424, 921880
425, 958320
426, 953080
427, 954800
428, 1005240
429, 7104240
430, 993280
431, 962200
432, 977760
433, 950200
434, 937280
435, 940440
436, 930120
437, 1559920
438, 1269680
439, 1214120
440, 7683360
441, 944320
442, 955520
443, 968600
444, 1003320
445, 963480
446, 963240
447, 935680
448, 973120
449, 1049680
450, 921520
451, 925040
452, 1010480
453, 1061200
454, 2366440
455, 5632160
456, 1080000
457, 1173800
458, 1196120
459, 1160880
460, 1059200
461, 997200
462, 1029800
463, 1479120
464, 972080
465, 1199120
466, 1748800
467, 1334760
468, 1198320
469, 1220240
470, 1140840
471, 1020840
472, 997600
473, 1080880
474, 1082120
475, 984800
476, 1070840
477, 1080760
478, 1328520
479, 1001760
480, 1064000
481, 3886520
482, 1704000
483, 1248160
484, 1218520
485, 1065640
486, 1058560
487, 1079240
488, 985920
489, 960640
490, 1026600
491, 1045440
492, 3899120
493, 1371520
494, 1017800
495, 969880
496, 961880
497, 967080
498, 1002680
499, 980240
500, 1005760
501, 1373120
502, 1322520
503, 940720
504, 966040
505, 919400
506, 1038040
507, 982840
508, 1367000
509, 6481760
510, 1172600
511, 984120
512, 966080
513, 989280
514, 1184560
515, 1015120
516, 1006720
517, 989320
518, 978800
519, 958320
520, 1536400
521, 1156080
522, 1153520
523, 1204960
524, 3480960
525, 1003680
526, 1107360
527, 1089840
528, 958120
529, 955920
530, 969560
531, 1444320
532, 1577880
533, 4879760
534, 1290760
535, 966040
536, 972320
537, 960600
538, 946680
539, 955520
540, 973560
541, 974760
542, 1005000
543, 960720
544, 1296680
545, 971240
546, 1144840
547, 1014160
548, 1064920
549, 999240
550, 956880
551, 953200
552, 1085880
553, 1017120
554, 962880
555, 940560
556, 8906480
557, 1026480
558, 1027120
559, 953720
560, 944200
561, 1021080
562, 965320
563, 937480
564, 1043720
565, 990880
566, 1024560
567, 3742560
568, 974680
569, 915320
570, 914400
571, 1009320
572, 940200
573, 975400
574, 966520
575, 988280
576, 1014080
577, 4776680
578, 1067920
579, 1305520
580, 934200
581, 923560
582, 980640
583, 939680
584, 963560
585, 959600
586, 939800
587, 945560
588, 952760
589, 913200
590, 1532040
591, 1010040
592, 989120
593, 951360
594, 938280
595, 4908840
596, 1074200
597, 951200
598, 1199080
599, 1106600
600, 971360
601, 960640
602, 1055480
603, 1285920
604, 974880
605, 910320
606, 973080
607, 956600
608, 1394680
609, 961480
610, 935360
611, 972480
612, 1003040
613, 953640
614, 1228040
615, 939600
616, 957880
617, 888560
618, 1144080
619, 1081040
620, 937440
621, 944160
622, 920720
623, 972960
624, 962200
625, 955400
626, 5995400
627, 1486400
628, 1212560
629, 1260760
630, 1218360
631, 1204600
632, 1206600
633, 1236400
634, 1406080
635, 1198000
636, 1215840
637, 1231560
638, 1224440
639, 1051760
640, 1169240
641, 1154960
642, 999680
643, 1082800
644, 1032320
645, 996680
646, 1041600
647, 1106640
648, 1046160
649, 1056320
650, 994680
651, 961000
652, 1011480
653, 1041080
654, 1014800
655, 990600
656, 1014400
657, 1051680
658, 975120
659, 1005000
660, 1003080
661, 1021920
662, 1054040
663, 1007760
664, 978240
665, 984560
666, 1028360
667, 1021920
668, 963880
669, 981400
670, 1037760
671, 1173680
672, 979600
673, 983600
674, 1038160
675, 1379240
676, 1086440
677, 1061360
678, 985120
679, 1089760
680, 968120
681, 1058280
682, 1340320
683, 945040
684, 961760
685, 1001960
686, 961080
687, 1010840
688, 966920
689, 1188760
690, 991200
691, 953960
692, 975120
693, 924640
694, 10467480
695, 1156440
696, 1341440
697, 1067960
698, 982400
699, 969720
700, 1231440
701, 1284080
702, 1044200
703, 1069600
704, 918640
705, 1315440
706, 1334200
707, 1045960
708, 930240
709, 975320
710, 950240
711, 972000
712, 961880
713, 954280
714, 965520
715, 998760
716, 995040
717, 958840
718, 1025480
719, 979640
720, 980920
721, 1094520
722, 925880
723, 924920
724, 971600
725, 933760
726, 983040
727, 1447920
728, 972600
729, 945760
730, 1126320
731, 1064600
732, 1111640
733, 1287160
734, 6839720
735, 1177920
736, 941160
737, 1010920
738, 1023000
739, 933920
740, 935720
741, 956680
742, 929640
743, 4134760
744, 1149360
745, 991560
746, 995440
747, 1204320
748, 987480
749, 1022720
750, 982200
751, 1004960
752, 946800
753, 975080
754, 1170000
755, 946040
756, 987760
757, 1898680
758, 1141160
759, 1171560
760, 1086760
761, 1163200
762, 1132480
763, 1053920
764, 1107920
765, 1044160
