# trial, latency (cycles)
0, 217600
1, 13560
2, 12240
3, 9440
4, 9760
5, 9760
6, 9280
7, 10440
8, 9360
9, 9680
10, 9840
11, 9640
12, 10120
13, 10200
14, 9520
15, 10440
16, 9600
17, 9720
18, 9840
19, 9800
20, 10520
21, 10360
22, 9360
23, 11320
24, 9680
25, 9560
26, 9920
27, 10160
28, 9400
29, 10200
30, 8400
31, 7720
32, 7720
33, 7720
34, 7720
35, 7720
36, 7760
37, 7680
38, 7760
39, 7720
40, 7760
41, 7680
42, 7760
43, 7680
44, 7720
45, 7720
46, 7720
47, 7720
48, 7720
49, 7720
50, 7760
51, 7720
52, 7720
53, 7720
54, 7760
55, 7720
56, 7720
57, 7720
58, 7720
59, 7680
60, 7760
61, 7680
62, 7760
63, 7680
64, 7760
65, 7720
66, 7720
67, 7720
68, 7720
69, 7760
70, 7760
71, 7680
72, 7720
73, 7720
74, 7760
75, 7720
76, 7720
77, 7720
78, 7720
79, 7680
80, 7720
81, 7720
82, 7720
83, 7720
84, 7760
85, 7720
86, 7720
87, 7720
88, 7720
89, 7680
90, 7760
91, 7680
92, 7720
93, 7720
94, 7720
95, 7720
96, 7760
97, 7720
98, 7720
99, 7720
100, 7720
101, 7720
102, 7720
103, 7720
104, 7720
105, 7720
106, 7760
107, 7720
108, 7720
109, 7680
110, 7760
111, 7720
112, 7720
113, 7720
114, 7720
115, 7680
116, 7760
117, 7720
118, 7760
119, 7680
120, 7720
121, 7720
122, 7720
123, 7720
124, 7720
125, 7680
126, 7760
127, 7720
128, 7720
129, 7680
130, 7720
131, 7720
132, 7720
133, 7720
134, 7720
135, 7720
136, 7760
137, 7680
138, 7760
139, 7680
140, 7760
141, 7680
142, 7720
143, 7720
144, 7720
145, 7720
146, 7720
147, 7720
148, 7720
149, 7720
150, 7720
151, 7680
152, 7720
153, 7720
154, 7720
155, 7720
156, 7720
157, 7720
158, 7720
159, 7680
160, 7760
161, 7720
162, 7720
163, 7720
164, 7720
165, 7720
166, 7760
167, 7680
168, 7720
169, 7720
170, 7760
171, 7680
172, 7760
173, 7720
174, 7720
175, 7720
176, 7720
177, 7680
178, 7720
179, 7720
180, 7720
181, 7720
182, 7720
183, 7720
184, 7760
185, 7680
186, 7720
187, 7720
188, 7720
189, 7720
190, 7720
191, 7720
192, 7720
193, 7720
194, 7760
195, 7760
196, 7760
197, 7720
198, 7720
199, 7720
200, 7760
201, 7720
202, 9000
203, 7720
204, 7720
205, 7720
206, 7760
207, 7720
208, 7760
209, 7680
210, 7720
211, 7720
212, 7760
213, 7720
214, 7760
215, 7680
216, 7760
217, 7680
218, 7720
219, 7680
220, 7760
221, 7720
222, 7720
223, 7680
224, 7760
225, 7720
226, 7720
227, 7720
228, 7720
229, 7720
230, 7720
231, 7720
232, 7720
233, 7680
234, 7760
235, 7720
236, 7760
237, 7720
238, 7720
239, 7720
240, 7720
241, 7720
242, 7720
243, 7720
244, 7720
245, 7680
246, 7760
247, 7720
248, 7720
249, 7680
250, 7760
251, 7720
252, 7720
253, 7720
254, 7760
255, 7720
256, 7760
257, 7680
258, 7760
259, 7720
260, 7720
261, 7680
262, 7760
263, 7680
264, 7760
265, 7720
266, 7720
267, 7720
268, 7720
269, 7720
270, 7720
271, 7720
272, 7720
273, 7720
274, 7720
275, 7720
276, 7720
277, 7680
278, 7760
279, 7680
280, 7760
281, 7680
282, 7760
283, 7680
284, 7760
285, 7720
286, 7720
287, 7720
288, 7720
289, 7720
290, 7760
291, 7720
292, 7760
293, 7720
294, 7760
295, 7720
296, 7720
297, 7720
298, 7720
299, 7720
300, 7760
301, 7720
302, 7760
303, 7680
304, 7760
305, 7680
306, 7760
307, 7680
308, 7760
309, 7720
310, 7760
311, 7680
312, 7720
313, 7720
314, 7720
315, 7680
316, 7760
317, 7680
318, 7760
319, 7680
320, 7760
321, 7720
322, 7720
323, 7720
324, 7720
325, 7720
326, 7720
327, 7680
328, 7720
329, 7720
330, 7720
331, 7720
332, 7720
333, 7680
334, 7760
335, 7680
336, 7760
337, 7680
338, 7760
339, 7720
340, 7760
341, 7680
342, 7760
343, 7720
344, 7720
345, 7720
346, 7720
347, 7680
348, 7760
349, 7680
350, 7760
351, 7720
352, 7720
353, 7720
354, 7720
355, 7720
356, 7720
357, 7720
358, 7720
359, 7720
360, 7720
361, 7720
362, 7720
363, 7720
364, 7720
365, 7680
366, 7760
367, 7720
368, 7720
369, 7680
370, 7720
371, 7720
372, 7720
373, 7720
374, 7720
375, 7760
376, 7720
377, 7720
378, 7760
379, 7680
380, 7760
381, 7680
382, 7760
383, 7680
384, 7760
385, 7720
386, 7720
387, 7720
388, 7720
389, 7720
390, 7760
391, 7720
392, 7720
393, 7680
394, 7720
395, 7720
396, 7720
397, 7680
398, 7760
399, 7680
400, 7760
401, 7680
402, 7720
403, 7760
404, 7760
405, 7720
406, 7760
407, 7680
408, 7760
409, 7720
410, 7720
411, 7680
412, 7760
413, 7680
414, 7760
415, 7720
416, 7760
417, 9520
418, 7760
419, 7960
420, 7920
421, 7600
422, 7560
423, 7560
424, 7560
425, 7560
426, 7520
427, 7520
428, 7520
429, 7560
430, 7560
431, 7560
432, 7560
433, 7600
434, 7520
435, 7560
436, 7560
437, 7600
438, 7520
439, 7560
440, 7560
441, 7560
442, 7520
443, 7560
444, 7560
445, 7560
446, 7560
447, 7560
448, 7520
449, 7600
450, 7520
451, 7600
452, 7560
453, 7560
454, 7560
455, 7600
456, 7600
457, 7600
458, 7560
459, 7560
460, 7560
461, 7560
462, 7520
463, 7560
464, 7520
465, 7560
466, 7520
467, 7560
468, 7520
469, 7560
470, 7520
471, 7560
472, 7520
473, 7560
474, 7520
475, 7560
476, 7520
477, 7560
478, 7520
479, 7520
480, 7520
481, 7560
482, 7520
483, 7560
484, 7560
485, 7560
486, 7560
487, 7560
488, 7560
489, 7560
490, 7520
491, 7560
492, 7520
493, 7520
494, 7520
495, 7560
496, 7520
497, 7560
498, 7560
499, 7560
500, 7560
501, 7560
502, 7560
503, 7560
504, 7560
505, 7560
506, 7520
507, 7560
508, 7520
509, 7560
510, 7560
511, 7560
512, 7560
513, 7560
514, 7520
515, 7560
516, 7520
517, 7560
518, 7560
519, 7560
520, 7560
521, 7560
522, 7520
523, 7560
524, 7560
525, 7560
526, 7560
527, 7560
528, 7520
529, 7560
530, 7520
531, 7560
532, 7520
533, 7520
534, 7520
535, 7560
536, 7520
537, 7560
538, 7520
539, 7560
540, 7560
541, 7560
542, 7520
543, 7560
544, 10920
545, 9240
546, 9320
547, 7720
548, 7640
549, 7680
550, 7640
551, 7640
552, 7640
553, 7640
554, 7640
555, 7680
556, 7640
557, 7640
558, 7640
559, 7640
560, 7640
561, 7640
562, 7640
563, 7640
564, 7640
565, 7640
566, 7640
567, 7640
568, 7640
569, 7640
570, 7640
571, 7640
572, 7640
573, 7640
574, 7640
575, 7640
576, 7640
577, 7640
578, 7640
579, 7640
580, 7640
581, 7640
582, 7640
583, 7640
584, 7640
585, 7640
586, 7640
587, 7640
588, 7640
589, 7640
590, 7640
591, 7640
592, 7640
593, 7640
594, 7640
595, 7640
596, 7640
597, 7640
598, 7960
599, 7680
600, 7640
601, 7640
602, 7640
603, 7640
604, 7640
605, 7640
606, 7640
607, 7640
608, 7640
609, 7640
610, 7640
611, 7640
612, 7640
613, 7640
614, 7640
615, 7640
616, 7640
617, 7640
618, 7640
619, 7640
620, 7640
621, 7600
622, 7640
623, 7640
624, 7640
625, 7760
626, 7640
627, 7640
628, 7600
629, 7640
630, 7920
631, 7640
632, 7640
633, 7640
634, 7600
635, 7640
636, 7640
637, 7680
638, 7640
639, 7640
640, 7640
641, 7640
642, 7640
643, 7640
644, 7600
645, 7640
646, 7600
647, 7640
648, 7640
649, 7680
650, 7640
651, 7680
652, 7640
653, 7680
654, 7600
655, 7640
656, 7640
657, 7680
658, 7640
659, 7640
660, 7640
661, 7640
662, 7640
663, 8080
664, 8040
665, 7680
666, 7640
667, 7640
668, 7640
669, 7680
670, 7680
671, 7640
672, 7640
673, 7680
674, 7680
675, 7680
676, 7640
677, 7640
678, 7640
679, 7640
680, 7640
681, 7680
682, 7680
683, 7680
684, 7680
685, 7640
686, 7640
687, 7680
688, 7640
689, 7640
690, 7640
691, 7640
692, 7640
693, 7640
694, 7680
695, 7680
696, 7640
697, 7640
698, 7640
699, 7640
700, 7640
701, 7640
702, 7640
703, 7640
704, 7640
705, 7680
706, 7680
707, 7680
708, 7680
709, 7680
710, 7640
711, 7680
712, 7680
713, 7680
714, 7680
715, 7680
716, 7640
717, 7640
718, 7640
719, 7640
720, 7640
721, 7680
722, 7680
723, 7680
724, 7680
725, 7680
726, 7640
727, 7640
728, 7640
729, 7640
730, 7640
731, 7640
732, 7640
733, 7640
734, 7640
735, 7680
736, 7680
737, 7680
738, 7640
739, 7680
740, 7680
741, 7640
742, 7680
743, 7640
744, 7640
745, 7640
746, 7640
747, 7680
748, 7640
749, 7680
750, 7640
751, 7640
752, 7640
753, 7640
754, 7640
755, 7640
756, 7640
757, 7640
758, 7680
759, 7640
760, 7680
761, 7680
762, 7640
763, 7640
764, 7640
765, 7680
766, 7680
767, 7680
768, 7680
769, 7680
770, 7640
