# trial, latency (cycles)
m_reset is null!
0, 1578680
1, 24800
2, 12800
3, 12240
4, 11960
5, 11880
6, 11880
7, 11880
8, 11840
9, 11880
10, 11840
11, 11840
12, 11880
13, 11840
14, 11840
15, 11880
16, 11840
17, 11840
18, 11880
19, 11880
20, 11840
21, 11880
22, 11880
23, 11840
24, 11880
25, 11880
26, 11880
27, 11880
28, 11880
29, 11880
30, 11880
31, 11880
32, 11880
33, 11880
34, 11880
35, 12200
36, 11880
37, 11880
38, 11840
39, 11840
40, 11880
41, 11840
42, 11880
43, 11920
44, 11840
45, 11880
46, 11880
47, 11840
48, 11880
49, 11880
50, 11880
51, 11880
52, 11880
53, 11880
54, 12240
55, 11920
56, 11840
57, 11880
58, 11880
59, 11880
60, 11840
61, 11920
62, 11840
63, 24760
64, 17080
65, 11920
66, 11800
67, 11840
68, 40280
69, 17160
70, 16720
71, 16080
72, 12360
73, 12120
74, 11840
75, 11840
76, 11880
77, 11840
78, 11840
79, 11840
80, 11880
81, 11840
82, 11840
83, 11840
84, 11840
85, 11800
86, 11880
87, 11800
88, 11840
89, 11840
90, 11840
91, 11800
92, 11880
93, 11800
94, 11840
95, 11840
96, 11840
97, 11800
98, 11880
99, 11800
100, 11880
101, 11840
102, 11840
103, 11800
104, 11880
105, 11800
106, 11880
107, 11800
108, 11840
109, 11800
110, 11880
111, 11840
112, 11840
113, 11840
114, 11840
115, 11840
116, 11840
117, 11800
118, 11840
119, 11800
120, 11840
121, 11800
122, 11880
123, 11840
124, 11840
125, 11840
126, 11880
127, 12800
128, 12320
129, 11840
130, 11880
131, 11800
132, 11840
133, 11840
134, 11840
135, 11840
136, 11880
137, 11840
138, 11840
139, 11840
140, 11880
141, 11840
142, 11880
143, 11800
144, 11840
145, 11840
146, 11880
147, 11840
148, 11840
149, 11880
150, 11840
151, 11840
152, 11880
153, 11840
154, 11840
155, 11800
156, 11880
157, 11840
158, 11840
159, 11800
160, 11840
161, 11800
162, 11840
163, 11840
164, 11840
165, 11800
166, 11840
167, 11840
168, 11840
169, 11840
170, 11800
171, 11880
172, 11800
173, 11840
174, 11840
175, 11840
176, 11800
177, 11880
178, 11840
179, 11840
180, 11840
181, 11880
182, 11840
183, 11880
184, 11840
185, 11840
186, 11840
187, 11840
