# trial, bytes, microseconds
0, 4096, 349.372986
1, 4096, 284.394012
2, 4096, 228.156006
3, 4096, 239.645996
4, 4096, 241.876007
5, 4096, 332.394012
6, 4096, 254.925003
7, 4096, 2728.288086
8, 4096, 243.895996
9, 4096, 243.985992
10, 4096, 239.606003
11, 4096, 242.175995
12, 4096, 236.985992
13, 4096, 235.936005
14, 4096, 239.296005
15, 4096, 247.276001
16, 4096, 237.154999
17, 4096, 243.244995
18, 4096, 272.255005
19, 4096, 248.475006
20, 4096, 244.294998
21, 4096, 308.324005
22, 4096, 261.605011
23, 4096, 232.785995
24, 4096, 242.895004
25, 4096, 243.604996
26, 4096, 895.663025
27, 4096, 417.381989
28, 4096, 281.493988
29, 4096, 301.343994
30, 4096, 276.424988
31, 4096, 235.416000
32, 4096, 277.523987
33, 4096, 252.725006
34, 4096, 244.865997
35, 4096, 246.916000
36, 4096, 248.556000
37, 4096, 246.636002
38, 4096, 262.165009
39, 4096, 242.035004
40, 4096, 239.044998
41, 4096, 249.125000
42, 4096, 849.492981
43, 4096, 250.746002
44, 4096, 237.386002
45, 4096, 235.255997
46, 4096, 290.964996
47, 4096, 243.514999
48, 4096, 242.464996
49, 4096, 242.744995
50, 4096, 238.485001
51, 4096, 238.044998
52, 4096, 361.484009
53, 4096, 265.015015
54, 4096, 249.565002
55, 4096, 287.075012
56, 4096, 286.414001
57, 4096, 298.324005
58, 4096, 256.244995
59, 4096, 250.634995
60, 4096, 274.554993
61, 4096, 310.694000
62, 4096, 322.283997
63, 4096, 249.824997
64, 4096, 1799.755981
65, 4096, 257.734985
66, 4096, 238.934998
67, 4096, 663.187988
68, 4096, 297.993988
69, 4096, 265.524994
70, 4096, 256.994995
71, 4096, 418.971008
72, 4096, 350.852997
73, 4096, 340.493011
74, 4096, 288.975006
75, 4096, 283.065002
76, 4096, 250.244995
77, 4096, 248.455994
78, 4096, 419.682007
79, 4096, 620.088013
80, 4096, 394.932007
81, 4096, 370.832001
82, 4096, 311.973999
83, 4096, 281.984009
84, 4096, 280.964996
85, 4096, 386.013000
86, 4096, 244.395996
87, 4096, 253.824997
88, 4096, 240.516006
89, 4096, 242.796005
90, 4096, 256.035004
91, 4096, 242.104996
92, 4096, 288.273987
93, 4096, 307.144012
94, 4096, 322.503998
95, 4096, 281.553986
96, 4096, 306.473999
97, 4096, 252.054993
98, 4096, 262.934998
99, 4096, 252.164993
0, 8192, 237.565002
1, 8192, 261.445007
2, 8192, 249.875000
3, 8192, 250.425003
4, 8192, 256.494995
5, 8192, 247.335007
6, 8192, 302.303986
7, 8192, 322.403992
8, 8192, 293.183990
9, 8192, 1021.729980
10, 8192, 250.615005
11, 8192, 248.425995
12, 8192, 276.364990
13, 8192, 256.875000
14, 8192, 244.455994
15, 8192, 246.115005
16, 8192, 243.395004
17, 8192, 1648.068970
18, 8192, 252.054993
19, 8192, 235.535004
20, 8192, 233.666000
21, 8192, 287.535004
22, 8192, 300.273987
23, 8192, 300.563995
24, 8192, 384.761993
25, 8192, 243.134995
26, 8192, 1328.244019
27, 8192, 265.605011
28, 8192, 245.895004
29, 8192, 234.865005
30, 8192, 240.656006
31, 8192, 257.005005
32, 8192, 253.054993
33, 8192, 247.714996
34, 8192, 250.585007
35, 8192, 250.574997
36, 8192, 238.876007
37, 8192, 250.835007
38, 8192, 239.054993
39, 8192, 247.414993
40, 8192, 241.914993
41, 8192, 265.684998
42, 8192, 992.111023
43, 8192, 279.973999
44, 8192, 246.975006
45, 8192, 237.216003
46, 8192, 261.984985
47, 8192, 267.394012
48, 8192, 231.376007
49, 8192, 237.436005
50, 8192, 247.764999
51, 8192, 1447.411987
52, 8192, 254.115005
53, 8192, 242.835007
54, 8192, 246.384995
55, 8192, 231.904999
56, 8192, 230.225998
57, 8192, 230.115997
58, 8192, 245.785995
59, 8192, 254.315002
60, 8192, 254.436005
61, 8192, 282.885010
62, 8192, 247.645004
63, 8192, 244.645004
64, 8192, 250.214996
65, 8192, 238.496002
66, 8192, 681.677002
67, 8192, 247.304993
68, 8192, 231.054993
69, 8192, 240.695007
70, 8192, 324.884003
71, 8192, 259.524994
72, 8192, 243.755005
73, 8192, 235.945999
74, 8192, 242.395996
75, 8192, 242.365005
76, 8192, 241.154999
77, 8192, 409.872009
78, 8192, 252.985001
79, 8192, 243.014999
