# trial, latency (cycles)
0, 150520
1, 54640
2, 79160
3, 61360
4, 54440
5, 54120
6, 52160
7, 52040
8, 53160
9, 55840
10, 52920
11, 59520
12, 112720
13, 132440
14, 98120
15, 114680
16, 112960
17, 83120
18, 92880
19, 79680
20, 54360
21, 52640
22, 52040
23, 51080
24, 51960
25, 53000
26, 51480
27, 55160
28, 54840
29, 66200
30, 51240
31, 51800
32, 53920
33, 62000
34, 57000
35, 57760
36, 51280
37, 50640
38, 51800
39, 50560
40, 50920
41, 52000
42, 52280
43, 55680
44, 51640
45, 69560
46, 52640
47, 53440
48, 53080
49, 67600
50, 67840
51, 70480
52, 135760
53, 114720
54, 95640
55, 110840
56, 125680
57, 72920
58, 50840
59, 52800
60, 57400
61, 67160
62, 49680
63, 49000
64, 60240
65, 51080
66, 47400
67, 52720
68, 54600
69, 45920
70, 46800
71, 49840
72, 60080
73, 52600
74, 50680
75, 52440
76, 107000
77, 82720
78, 71800
79, 70080
80, 70440
81, 65520
82, 63520
83, 70440
84, 89920
85, 67600
86, 52400
87, 50240
88, 64880
89, 49160
90, 48320
91, 53840
92, 91640
93, 52080
94, 49560
95, 52200
96, 57120
97, 47680
98, 47520
99, 53440
100, 57520
101, 51120
102, 47280
103, 48440
104, 60440
105, 47000
106, 49120
107, 51360
108, 82200
109, 49200
110, 47720
111, 45640
112, 56760
113, 48960
114, 46760
115, 51600
116, 54920
117, 46120
118, 50400
119, 51320
120, 57000
121, 76680
122, 112080
123, 97720
124, 138880
125, 102560
126, 104120
127, 73120
128, 61840
129, 48760
130, 46400
131, 55160
132, 62320
133, 52920
134, 48720
135, 50840
136, 63680
137, 47760
138, 48480
139, 72160
140, 57840
141, 50920
142, 46800
143, 50080
144, 56920
145, 46880
146, 50000
147, 56080
148, 57520
149, 46880
150, 46240
151, 49600
152, 59720
153, 48400
154, 48120
155, 75560
156, 62400
157, 50120
158, 50160
159, 48040
160, 65520
161, 46240
162, 46800
163, 51160
164, 57040
165, 493800
166, 112880
167, 105320
168, 194240
169, 75880
170, 62480
171, 73800
172, 58960
173, 52120
174, 49160
175, 48960
176, 59720
177, 48000
178, 46000
179, 49960
180, 56640
181, 44760
182, 45920
183, 46360
184, 54800
185, 46400
186, 49800
187, 69960
188, 60880
189, 46160
190, 45720
191, 46600
192, 55640
193, 48640
194, 47440
195, 50400
196, 56040
197, 46920
198, 50360
199, 51120
200, 61920
201, 49880
202, 67040
203, 57960
204, 54760
205, 47160
206, 44360
207, 48440
208, 56520
209, 49320
210, 49320
211, 50560
212, 56680
213, 50040
214, 45520
215, 46440
216, 60880
217, 45120
218, 60920
219, 51880
220, 133120
221, 56400
222, 115560
223, 89240
224, 101080
225, 76360
226, 88560
227, 109320
228, 70200
229, 50360
230, 50240
231, 49640
232, 60000
233, 48040
234, 64400
235, 51880
236, 57480
237, 52360
238, 51880
239, 49680
240, 59000
241, 47680
242, 48360
243, 53960
244, 59240
245, 76360
246, 58200
247, 48600
248, 59240
249, 50680
250, 66920
251, 59040
252, 57520
253, 47560
254, 48440
255, 56160
256, 60240
257, 48440
258, 46400
259, 53040
260, 55840
261, 49560
262, 46840
263, 49600
264, 59920
265, 60960
266, 50960
267, 51800
268, 57880
269, 51240
270, 47560
271, 48000
272, 60200
273, 50120
274, 48280
275, 56040
276, 57920
277, 46720
278, 46120
279, 45600
280, 56960
281, 62960
282, 48040
283, 51080
284, 56000
285, 47800
286, 47400
287, 47320
288, 58880
289, 46200
290, 46880
291, 52720
292, 54960
293, 44520
294, 43840
295, 48840
296, 56160
297, 61080
298, 47480
299, 50200
300, 59920
301, 47960
302, 48800
303, 49480
304, 57520
305, 45720
306, 46160
307, 50600
308, 58120
309, 46960
310, 45800
311, 47680
312, 55560
313, 65400
314, 46120
315, 49880
316, 55160
317, 46800
318, 45120
319, 45920
320, 55880
321, 79440
322, 46840
323, 56680
324, 56720
325, 47200
326, 46960
327, 45120
328, 71400
329, 49440
330, 51160
331, 53760
332, 64040
333, 50800
334, 54280
335, 113560
336, 98400
337, 93840
338, 105080
339, 101560
340, 77480
341, 50600
342, 77440
343, 65800
344, 67880
345, 49920
346, 49360
347, 51320
348, 59120
349, 55040
350, 49840
351, 49720
352, 61280
353, 50440
354, 52520
355, 53280
356, 62520
357, 51600
358, 47720
359, 48640
360, 67640
361, 49320
362, 51400
363, 52960
364, 56440
365, 49040
366, 46560
367, 48720
368, 65400
369, 46280
370, 47920
371, 50880
372, 57600
373, 50520
374, 95320
375, 85400
376, 75920
377, 47360
378, 56680
379, 52440
380, 58040
381, 60640
382, 49760
383, 50080
384, 66080
385, 52280
386, 49760
387, 56280
388, 62160
389, 52280
390, 49240
391, 57160
392, 61080
393, 48480
394, 49200
395, 48960
396, 59800
397, 49480
398, 46720
399, 49000
400, 55360
401, 46720
402, 46120
403, 51520
404, 61280
405, 49440
406, 47880
407, 58440
408, 59760
409, 47400
410, 48040
411, 50240
412, 60240
413, 51240
414, 49200
415, 52360
416, 57200
417, 46120
418, 47560
419, 53360
420, 56960
421, 47440
422, 47400
423, 59080
424, 62000
425, 52000
426, 51160
427, 50640
428, 58000
429, 47320
430, 49560
431, 45280
432, 54320
433, 43040
434, 47160
435, 51920
436, 58840
437, 49880
438, 64960
439, 83680
440, 80920
441, 146120
442, 131600
443, 105520
444, 134720
445, 130480
446, 80440
447, 51840
448, 55440
449, 56560
450, 51080
451, 52120
452, 60760
453, 52560
454, 50480
455, 49000
456, 63880
457, 48360
458, 48920
459, 50720
460, 60600
461, 54440
462, 49520
463, 49840
464, 67200
465, 51560
466, 46960
467, 49200
468, 58440
469, 50320
470, 53160
471, 49680
472, 62440
473, 51800
474, 55560
475, 53720
476, 66960
477, 48320
478, 47640
479, 51640
480, 65960
481, 50400
482, 46280
483, 44960
484, 63320
485, 45840
486, 45800
487, 49160
488, 65040
489, 49160
490, 50080
491, 50640
492, 56880
493, 50520
494, 56160
495, 47240
496, 62400
497, 47560
498, 46440
499, 47480
500, 58800
501, 49040
502, 47160
503, 47000
504, 63440
505, 46840
506, 49400
507, 48240
508, 55920
509, 49120
510, 54160
511, 46240
512, 70040
513, 48920
514, 50040
515, 45560
516, 54760
517, 46160
