# trial, bytes, microseconds
0, 32, 942.445984
1, 32, 610.208008
2, 32, 561.179016
3, 32, 565.369019
4, 32, 569.070984
5, 32, 557.336975
6, 32, 556.638977
7, 32, 602.525024
8, 32, 622.219971
9, 32, 552.728027
0, 64, 542.252014
1, 64, 549.236023
2, 64, 681.796021
3, 64, 545.812988
4, 64, 540.017029
5, 64, 538.270996
6, 64, 550.354004
7, 64, 546.442017
8, 64, 542.671021
9, 64, 638.564026
0, 128, 538.060974
1, 128, 533.452026
2, 128, 534.219971
3, 128, 546.721008
4, 128, 547.979004
5, 128, 546.512024
6, 128, 535.127991
7, 128, 528.422974
8, 128, 549.096985
9, 128, 546.232971
0, 256, 555.382019
1, 256, 559.223022
2, 256, 562.994995
3, 256, 543.159973
4, 256, 554.195007
5, 256, 545.044983
6, 256, 642.754028
7, 256, 524.302002
8, 256, 535.755981
9, 256, 532.752991
0, 512, 554.963013
1, 512, 544.976013
2, 512, 536.874023
3, 512, 535.825989
4, 512, 542.671021
5, 512, 548.677002
6, 512, 550.981995
7, 512, 627.737976
8, 512, 531.007019
9, 512, 541.901978
0, 1024, 661.401978
1, 1024, 551.401001
2, 1024, 540.715027
3, 1024, 536.244995
4, 1024, 536.804993
5, 1024, 545.255005
6, 1024, 567.046021
7, 1024, 649.598999
8, 1024, 547.419983
9, 1024, 535.336975
0, 2048, 539.737976
1, 2048, 548.955994
2, 2048, 551.541016
3, 2048, 546.791992
4, 2048, 559.713013
5, 2048, 549.096008
6, 2048, 554.963013
7, 2048, 773.778015
8, 2048, 562.296997
9, 2048, 539.317993
0, 4096, 540.156006
1, 4096, 552.588989
2, 4096, 659.586975
3, 4096, 549.515991
4, 4096, 556.080017
5, 4096, 547.419983
6, 4096, 561.598022
7, 4096, 554.265015
8, 4096, 681.726013
9, 4096, 538.060974
0, 8192, 553.286987
1, 8192, 542.182007
2, 8192, 554.054993
3, 8192, 554.544006
4, 8192, 559.711975
5, 8192, 536.315002
6, 8192, 538.130981
7, 8192, 552.377991
8, 8192, 638.632996
9, 8192, 549.236023
0, 16384, 548.885986
1, 16384, 552.239990
2, 16384, 547.908997
3, 16384, 571.026978
4, 16384, 561.528992
5, 16384, 680.747986
6, 16384, 550.562988
7, 16384, 539.317993
8, 16384, 646.245972
9, 16384, 555.031982
0, 32768, 559.781982
1, 32768, 540.994995
2, 32768, 568.721985
3, 32768, 561.388000
4, 32768, 566.906006
5, 32768, 550.841980
6, 32768, 547.000977
7, 32768, 546.442993
8, 32768, 655.466003
9, 32768, 562.296997
0, 65536, 574.309021
1, 65536, 559.223999
2, 65536, 595.820984
3, 65536, 578.919006
4, 65536, 577.242981
5, 65536, 563.903015
6, 65536, 575.495972
7, 65536, 591.072021
8, 65536, 763.231995
9, 65536, 562.575989
0, 131072, 594.494019
1, 131072, 724.749023
2, 131072, 598.754028
3, 131072, 593.377014
4, 131072, 589.116028
5, 131072, 603.294006
6, 131072, 596.797974
7, 131072, 595.331970
8, 131072, 605.668030
9, 131072, 594.145020
0, 262144, 661.820984
1, 262144, 631.997986
2, 262144, 638.283997
3, 262144, 637.585999
4, 262144, 861.359009
5, 262144, 639.262024
6, 262144, 647.294006
7, 262144, 638.075012
8, 262144, 631.369995
9, 262144, 640.450012
0, 524288, 795.359009
1, 524288, 739.693970
2, 524288, 730.195984
3, 524288, 718.880981
4, 524288, 733.059021
5, 524288, 723.560974
6, 524288, 835.307983
7, 524288, 729.288025
8, 524288, 720.278992
9, 524288, 806.184021
0, 1048576, 1020.737976
1, 1048576, 956.413025
2, 1048576, 1056.496948
3, 1048576, 954.039001
4, 1048576, 946.916016
5, 1048576, 1072.561035
6, 1048576, 953.619995
7, 1048576, 967.797974
8, 1048576, 933.854980
9, 1048576, 942.026001
0, 2097152, 1649.244995
1, 2097152, 1423.095947
2, 2097152, 1551.814941
3, 2097152, 1425.890991
4, 2097152, 1414.436035
5, 2097152, 1394.740967
6, 2097152, 1419.395996
7, 2097152, 1508.163940
8, 2097152, 1408.989014
9, 2097152, 1431.687012
0, 4194304, 3557.113037
1, 4194304, 2572.414062
2, 4194304, 2506.343018
3, 4194304, 2497.752930
4, 4194304, 2484.971924
5, 4194304, 2544.126953
6, 4194304, 2486.577881
7, 4194304, 2489.441895
8, 4194304, 2561.587891
9, 4194304, 2482.318115
0, 8388608, 6403.308105
1, 8388608, 4524.631836
2, 8388608, 4416.027832
3, 8388608, 4476.440918
4, 8388608, 4409.252930
5, 8388608, 4478.046875
6, 8388608, 4452.346191
7, 8388608, 4417.285156
8, 8388608, 4414.491211
9, 8388608, 4542.931152
0, 16777216, 12039.332031
1, 16777216, 8337.576172
2, 16777216, 8322.141602
3, 16777216, 8314.598633
4, 16777216, 8329.334961
5, 16777216, 8338.065430
6, 16777216, 8276.325195
7, 16777216, 8365.511719
8, 16777216, 8273.879883
9, 16777216, 8260.750000
