# trial, microseconds
0, 120
1, 69
2, 83
3, 67
4, 68
5, 69
6, 68
7, 67
8, 64
9, 67
10, 68
11, 68
12, 68
13, 65
14, 67
15, 68
16, 68
17, 86
18, 65
19, 68
20, 68
21, 68
22, 67
23, 67
24, 67
25, 74
26, 69
27, 69
28, 69
29, 67
30, 68
31, 68
32, 68
33, 86
34, 68
35, 69
36, 68
37, 68
38, 67
39, 67
40, 67
41, 84
42, 65
43, 68
44, 68
45, 68
46, 67
47, 68
48, 68
49, 82
50, 68
51, 68
52, 68
53, 67
54, 67
55, 68
56, 68
57, 127
58, 65
59, 68
60, 68
61, 69
62, 65
63, 68
64, 68
65, 69
66, 65
67, 68
68, 68
69, 69
70, 68
71, 68
72, 67
73, 69
74, 68
75, 68
76, 69
77, 68
78, 67
79, 68
80, 80
81, 66
82, 65
83, 68
84, 68
85, 68
86, 68
87, 67
88, 83
89, 65
90, 68
91, 69
92, 68
93, 68
94, 68
95, 69
96, 84
97, 69
98, 68
99, 68
100, 67
101, 68
102, 68
103, 67
104, 84
105, 68
106, 68
107, 68
108, 67
109, 68
110, 69
111, 68
112, 85
113, 68
114, 65
115, 67
116, 68
117, 68
118, 69
119, 68
120, 151
121, 71
122, 68
123, 69
124, 68
125, 67
126, 68
127, 85
128, 69
129, 68
130, 69
131, 68
132, 68
133, 68
134, 68
135, 87
136, 69
137, 68
138, 68
139, 68
140, 51
141, 51
142, 67
143, 78
144, 65
145, 67
146, 50
147, 67
148, 68
149, 72
150, 68
151, 68
152, 66
153, 68
154, 68
155, 67
156, 68
157, 69
158, 65
159, 84
160, 69
161, 69
162, 67
163, 68
164, 68
165, 67
166, 65
167, 82
168, 69
169, 68
170, 67
171, 68
172, 68
173, 68
174, 68
175, 86
176, 69
177, 67
178, 68
179, 68
180, 68
181, 69
182, 51
183, 114
184, 70
185, 68
186, 51
187, 65
188, 68
189, 68
190, 68
191, 81
192, 65
193, 68
194, 67
195, 68
196, 68
197, 68
198, 68
199, 74
200, 69
201, 69
202, 68
203, 68
204, 68
205, 50
206, 68
207, 83
208, 68
209, 64
210, 67
211, 68
212, 68
213, 50
214, 68
215, 85
216, 68
217, 67
218, 67
219, 68
220, 68
221, 68
222, 68
223, 81
224, 68
225, 68
226, 69
227, 67
228, 67
229, 68
230, 67
231, 84
232, 69
233, 68
234, 69
235, 64
236, 67
237, 68
238, 68
239, 84
240, 68
241, 68
242, 68
243, 68
244, 68
245, 68
246, 64
247, 96
248, 68
249, 68
250, 65
251, 68
252, 68
253, 69
254, 69
255, 65
256, 68
257, 69
258, 68
259, 68
260, 67
261, 68
262, 67
263, 69
264, 65
265, 68
266, 68
267, 68
268, 68
269, 68
270, 65
271, 66
272, 68
273, 68
274, 68
275, 68
276, 67
277, 68
278, 67
279, 70
280, 70
281, 68
282, 68
283, 68
284, 67
285, 68
286, 68
287, 71
288, 67
289, 68
290, 69
291, 68
292, 68
293, 67
294, 83
295, 69
296, 68
297, 64
298, 67
299, 68
300, 68
301, 67
302, 82
303, 51
304, 68
305, 68
306, 69
307, 67
308, 52
309, 67
310, 68
311, 69
312, 69
313, 64
314, 68
315, 67
316, 67
317, 69
318, 68
319, 68
320, 68
321, 67
322, 68
323, 52
324, 64
325, 67
326, 68
327, 70
328, 68
329, 67
330, 67
331, 68
332, 68
333, 68
334, 65
335, 71
336, 68
337, 68
338, 67
339, 67
340, 67
341, 67
342, 68
343, 69
344, 69
345, 68
346, 68
347, 67
348, 67
349, 67
350, 82
351, 68
352, 68
353, 67
354, 67
355, 68
356, 68
357, 68
358, 81
359, 68
360, 51
361, 67
362, 68
363, 68
364, 68
365, 64
366, 86
367, 68
368, 67
369, 68
370, 68
371, 68
372, 65
373, 68
374, 81
375, 64
376, 68
377, 68
378, 69
379, 68
380, 67
381, 68
382, 82
383, 68
384, 68
385, 69
386, 69
387, 69
388, 68
389, 67
390, 84
391, 64
392, 67
393, 68
394, 70
395, 68
396, 67
397, 68
398, 82
399, 69
400, 69
401, 68
402, 68
403, 68
404, 68
405, 69
406, 73
407, 64
408, 68
409, 68
410, 68
411, 68
412, 68
413, 68
414, 65
415, 68
416, 67
417, 68
418, 69
419, 67
420, 67
421, 68
422, 69
423, 68
424, 68
425, 68
426, 69
427, 67
428, 64
429, 68
430, 71
431, 68
432, 67
433, 68
434, 68
435, 68
436, 67
437, 67
438, 67
439, 69
440, 69
441, 68
442, 68
443, 68
444, 68
445, 67
446, 69
447, 65
448, 67
449, 68
450, 72
451, 68
452, 68
453, 68
454, 70
455, 68
456, 65
457, 67
458, 68
459, 67
460, 69
461, 83
462, 65
463, 68
464, 67
465, 68
466, 67
467, 64
468, 68
469, 103
470, 66
471, 67
472, 67
473, 68
474, 68
475, 66
476, 68
477, 80
478, 68
479, 67
480, 68
481, 52
482, 67
483, 67
484, 67
485, 86
486, 68
487, 67
488, 68
489, 67
490, 67
491, 68
492, 67
493, 83
494, 68
495, 67
496, 65
497, 68
498, 68
499, 67
500, 68
501, 83
502, 67
503, 67
504, 68
505, 68
506, 51
507, 64
508, 67
509, 81
510, 68
511, 68
512, 68
513, 67
514, 68
515, 68
516, 69
517, 84
518, 51
519, 67
520, 68
521, 67
522, 68
523, 68
524, 68
525, 75
526, 68
527, 67
528, 68
529, 69
530, 67
531, 68
532, 68
533, 109
534, 68
535, 67
536, 51
537, 67
538, 68
539, 67
540, 68
541, 86
542, 71
543, 68
544, 67
545, 68
546, 68
547, 68
548, 68
549, 83
550, 68
551, 67
552, 70
553, 68
554, 65
555, 67
556, 68
557, 85
558, 69
559, 65
560, 68
561, 68
562, 68
563, 67
564, 52
565, 83
566, 68
567, 68
568, 68
569, 65
570, 64
571, 68
572, 67
573, 81
574, 51
575, 68
576, 68
577, 68
578, 68
579, 68
580, 68
581, 81
582, 68
583, 68
584, 68
585, 68
586, 68
587, 68
588, 68
589, 84
590, 69
591, 64
592, 68
593, 68
594, 68
595, 67
596, 69
597, 115
598, 68
599, 68
600, 64
601, 68
602, 68
603, 67
604, 68
605, 71
606, 68
607, 68
608, 67
609, 69
610, 51
611, 50
612, 65
613, 81
614, 68
615, 67
616, 52
617, 50
618, 51
619, 68
620, 68
621, 80
622, 68
623, 69
624, 64
625, 67
626, 67
