# trial, us for 1000 calls
0, 124337
1, 123492
2, 123789
3, 123903
4, 123778
5, 123542
6, 123701
7, 123783
8, 123734
9, 123748
10, 123967
11, 123856
12, 124319
13, 125222
14, 125335
15, 125516
16, 125416
17, 124007
18, 123951
19, 122880
20, 122979
21, 123198
22, 123309
23, 123306
24, 123169
25, 124779
26, 124522
27, 124528
28, 125141
29, 125614
30, 125063
31, 124586
32, 124123
33, 124371
34, 115656
35, 114555
36, 119508
37, 124685
38, 124440
39, 124313
40, 124150
41, 123569
42, 123938
43, 123879
44, 123658
45, 124286
46, 124131
47, 124302
48, 125301
49, 123896
50, 122793
51, 122442
52, 122806
53, 123126
54, 124799
55, 125159
56, 124974
57, 124863
58, 124531
59, 124513
60, 124894
61, 125045
62, 124626
63, 124568
64, 124449
65, 124604
66, 124459
67, 124977
68, 124644
69, 124350
70, 120979
71, 114136
72, 114360
73, 114347
74, 114152
75, 114155
76, 114369
77, 121678
78, 125704
79, 124778
80, 125151
81, 124650
82, 124562
83, 124553
84, 124110
85, 124178
86, 124225
87, 123965
88, 123981
89, 123891
90, 123674
91, 123319
92, 114495
93, 114634
94, 114480
95, 114326
96, 114302
97, 114389
98, 114282
99, 114386
