# trial, microseconds
0, 1203
1, 142
2, 129
3, 128
4, 128
5, 128
6, 129
7, 128
8, 130
9, 128
10, 128
11, 144
12, 126
13, 127
14, 127
15, 126
16, 142
17, 128
18, 126
19, 126
20, 128
21, 128
22, 129
23, 131
24, 127
25, 128
26, 128
27, 125
28, 127
29, 132
30, 128
31, 127
32, 144
33, 128
34, 131
35, 127
36, 128
37, 146
38, 128
39, 127
40, 127
41, 128
42, 127
43, 137
44, 126
45, 131
46, 128
47, 127
48, 145
49, 127
50, 130
51, 131
52, 127
53, 141
54, 127
55, 126
56, 127
57, 127
58, 127
59, 130
60, 129
61, 127
62, 127
63, 132
64, 179
65, 127
66, 130
67, 127
68, 127
69, 144
70, 127
71, 130
72, 126
73, 127
74, 127
75, 129
76, 127
77, 129
78, 130
79, 127
80, 146
81, 127
82, 127
83, 128
84, 130
85, 151
86, 127
87, 126
88, 127
89, 127
90, 130
91, 128
92, 126
93, 128
94, 131
95, 127
96, 144
97, 130
98, 127
99, 127
100, 130
101, 148
102, 127
103, 127
104, 127
105, 128
106, 130
107, 129
108, 127
109, 128
110, 127
111, 129
112, 149
113, 127
114, 126
115, 127
116, 126
117, 143
118, 128
119, 126
120, 127
121, 126
122, 126
123, 131
124, 127
125, 127
126, 128
127, 128
128, 162
129, 127
130, 127
131, 127
132, 131
133, 144
134, 129
135, 127
136, 127
137, 126
138, 142
139, 130
140, 126
141, 126
142, 130
143, 130
144, 152
145, 127
146, 127
147, 128
148, 126
149, 141
150, 128
151, 127
152, 128
153, 127
154, 127
155, 129
156, 126
157, 128
158, 127
159, 128
160, 142
161, 129
162, 130
163, 127
164, 129
165, 144
166, 126
167, 127
168, 128
169, 127
170, 127
171, 128
172, 127
173, 126
174, 127
175, 126
176, 141
177, 127
178, 130
179, 127
180, 128
181, 141
182, 127
183, 127
184, 130
185, 127
186, 128
187, 129
188, 126
189, 127
190, 128
191, 127
192, 148
193, 128
194, 127
195, 127
196, 126
197, 142
198, 130
199, 125
200, 127
201, 128
202, 127
203, 128
204, 127
205, 126
206, 127
207, 127
208, 147
209, 129
210, 126
211, 127
212, 128
213, 141
214, 127
215, 128
216, 126
217, 127
218, 129
219, 127
220, 128
221, 128
222, 126
223, 127
224, 142
225, 128
226, 131
227, 128
228, 128
229, 145
230, 129
231, 127
232, 130
233, 128
234, 127
235, 141
236, 130
237, 127
238, 126
239, 130
240, 140
241, 127
242, 128
243, 131
244, 126
245, 140
246, 128
247, 126
248, 128
249, 129
250, 126
251, 129
252, 126
253, 130
254, 129
255, 129
256, 144
257, 131
258, 127
259, 128
260, 130
261, 141
262, 128
263, 128
264, 127
265, 127
266, 127
267, 130
268, 127
269, 127
270, 128
271, 126
272, 147
273, 127
274, 126
275, 127
276, 127
277, 127
278, 134
279, 127
280, 125
281, 127
282, 126
283, 132
284, 127
285, 126
286, 127
287, 127
288, 146
289, 127
290, 126
291, 127
292, 127
293, 138
294, 128
295, 130
296, 127
297, 127
298, 127
299, 142
300, 127
301, 126
302, 127
303, 127
304, 169
305, 131
306, 127
307, 127
308, 127
309, 147
310, 128
311, 127
312, 128
313, 130
314, 127
315, 128
316, 127
317, 127
318, 127
319, 134
320, 146
321, 128
322, 129
323, 127
324, 128
325, 140
326, 131
327, 126
328, 127
329, 127
330, 127
331, 128
332, 127
333, 127
334, 128
335, 127
336, 146
337, 128
338, 127
339, 130
340, 126
341, 127
342, 131
343, 127
344, 128
345, 130
346, 125
347, 127
348, 127
349, 127
350, 127
351, 130
352, 148
353, 131
354, 127
355, 126
356, 127
357, 149
358, 133
359, 128
360, 130
361, 126
362, 127
363, 125
364, 127
365, 127
366, 126
367, 127
368, 143
369, 127
370, 127
371, 127
372, 126
373, 127
374, 131
375, 130
376, 126
377, 128
378, 127
379, 144
380, 129
381, 130
382, 126
383, 127
384, 155
385, 128
386, 127
387, 131
388, 126
389, 126
390, 128
391, 129
392, 127
393, 126
394, 126
395, 140
396, 127
397, 127
398, 128
399, 126
400, 142
401, 126
402, 127
403, 131
404, 126
405, 126
406, 122
407, 127
408, 130
409, 127
410, 127
411, 140
412, 127
413, 128
414, 129
415, 126
416, 144
417, 127
418, 127
419, 127
420, 130
421, 127
422, 129
423, 126
424, 127
425, 127
426, 127
427, 144
428, 127
429, 126
430, 126
431, 130
432, 143
433, 128
434, 127
435, 129
436, 126
437, 128
438, 129
439, 126
440, 126
441, 131
442, 126
443, 145
444, 128
445, 127
446, 127
447, 127
448, 158
449, 129
450, 126
451, 127
452, 128
453, 126
454, 138
455, 126
456, 126
457, 126
458, 126
459, 142
460, 127
461, 127
462, 127
463, 126
464, 146
465, 128
466, 127
467, 126
468, 129
469, 127
470, 128
471, 127
472, 127
473, 127
474, 128
475, 142
476, 128
477, 127
478, 129
479, 126
480, 139
481, 131
482, 126
483, 127
484, 130
485, 127
486, 142
487, 127
488, 126
489, 127
490, 127
491, 155
492, 127
493, 127
494, 130
495, 127
496, 127
497, 128
498, 126
499, 129
500, 126
501, 128
502, 140
503, 126
504, 127
505, 130
506, 127
507, 152
508, 128
509, 127
510, 127
511, 128
512, 128
513, 133
514, 127
515, 126
516, 126
517, 126
518, 140
519, 127
520, 126
521, 126
522, 131
523, 141
524, 128
525, 127
526, 126
527, 127
528, 125
529, 127
530, 127
531, 127
532, 127
533, 127
534, 171
535, 128
536, 126
537, 129
538, 126
539, 149
540, 128
541, 127
542, 129
543, 126
544, 127
545, 129
546, 126
547, 127
548, 127
549, 127
550, 146
551, 127
552, 127
553, 126
554, 126
555, 147
556, 127
557, 130
558, 127
559, 126
560, 126
561, 128
562, 127
563, 127
564, 127
565, 128
566, 142
567, 127
568, 129
569, 126
570, 128
571, 144
572, 128
573, 126
574, 126
575, 127
576, 130
577, 128
578, 128
579, 131
580, 127
581, 128
582, 141
583, 127
584, 127
585, 126
586, 126
587, 141
588, 127
589, 127
590, 127
591, 126
592, 126
593, 127
594, 126
595, 127
596, 126
597, 127
598, 141
599, 128
600, 130
601, 126
602, 127
603, 127
604, 128
605, 129
606, 126
607, 127
608, 126
609, 141
610, 130
611, 130
612, 127
613, 127
614, 145
615, 127
616, 128
617, 131
618, 126
619, 127
620, 127
621, 129
622, 127
623, 127
624, 129
625, 141
626, 127
627, 126
628, 126
629, 127
630, 143
631, 131
632, 126
633, 127
634, 127
635, 126
636, 129
637, 128
638, 126
639, 130
640, 130
641, 142
642, 126
643, 126
644, 127
645, 127
646, 139
647, 128
648, 130
649, 126
650, 127
651, 127
652, 128
653, 126
654, 126
655, 127
656, 126
657, 145
658, 127
659, 127
660, 127
661, 126
662, 126
663, 129
664, 127
665, 127
666, 127
667, 127
668, 137
669, 128
670, 129
671, 126
672, 127
673, 140
674, 127
675, 127
676, 130
677, 126
678, 127
679, 128
680, 126
681, 126
682, 126
683, 125
684, 176
685, 127
686, 127
687, 127
688, 127
689, 141
690, 131
691, 127
692, 127
693, 128
694, 142
695, 129
696, 127
697, 127
698, 130
699, 127
700, 123
701, 127
702, 127
703, 127
704, 127
705, 141
706, 126
707, 127
708, 126
709, 126
