# trial, microseconds
0, 1305
1, 134
2, 128
3, 126
4, 126
5, 140
6, 128
7, 125
8, 125
9, 125
10, 127
11, 129
12, 125
13, 130
14, 128
15, 125
16, 142
17, 125
18, 129
19, 126
20, 127
21, 151
22, 129
23, 126
24, 127
25, 132
26, 127
27, 129
28, 129
29, 129
30, 125
31, 125
32, 146
33, 128
34, 125
35, 125
36, 127
37, 152
38, 126
39, 127
40, 130
41, 125
42, 127
43, 132
44, 125
45, 127
46, 125
47, 126
48, 142
49, 126
50, 127
51, 124
52, 128
53, 142
54, 126
55, 125
56, 128
57, 127
58, 125
59, 129
60, 125
61, 128
62, 125
63, 132
64, 169
65, 127
66, 125
67, 126
68, 127
69, 145
70, 126
71, 127
72, 125
73, 124
74, 127
75, 132
76, 128
77, 125
78, 125
79, 128
80, 154
81, 125
82, 124
83, 126
84, 124
85, 138
86, 128
87, 125
88, 130
89, 124
90, 126
91, 132
92, 126
93, 125
94, 125
95, 127
96, 142
97, 125
98, 123
99, 124
100, 128
101, 123
102, 128
103, 125
104, 127
105, 124
106, 125
107, 141
108, 128
109, 125
110, 128
111, 126
112, 137
113, 126
114, 127
115, 125
116, 126
117, 124
118, 142
119, 124
120, 125
121, 127
122, 124
123, 157
124, 130
125, 127
126, 124
127, 126
128, 126
129, 130
130, 125
131, 126
132, 126
133, 124
134, 140
135, 124
136, 125
137, 126
138, 127
139, 143
140, 126
141, 124
142, 128
143, 124
144, 125
145, 126
146, 124
147, 125
148, 127
149, 124
150, 140
151, 128
152, 124
153, 127
154, 127
155, 124
156, 127
157, 125
158, 124
159, 129
160, 124
161, 143
162, 127
163, 124
164, 125
165, 125
166, 158
167, 129
168, 126
169, 124
170, 125
171, 124
172, 129
173, 127
174, 125
175, 125
176, 129
177, 142
178, 125
179, 125
180, 125
181, 125
182, 124
183, 129
184, 124
185, 127
186, 124
187, 127
188, 168
189, 125
190, 127
191, 125
192, 131
193, 142
194, 129
195, 125
196, 128
197, 124
198, 124
199, 130
200, 127
201, 124
202, 127
203, 125
204, 140
205, 128
206, 128
207, 128
208, 125
209, 138
210, 127
211, 125
212, 128
213, 124
214, 125
215, 141
216, 124
217, 127
218, 125
219, 126
220, 146
221, 128
222, 128
223, 125
224, 123
225, 127
