# trial, us for 1000 calls
0, 186204
1, 192039
2, 208859
3, 200956
4, 185333
5, 185078
6, 185260
7, 185808
8, 185366
9, 185245
10, 185179
11, 184077
12, 185083
13, 185044
14, 185516
15, 185153
16, 185655
17, 185583
18, 185625
19, 185360
20, 184943
21, 204086
22, 215667
23, 216367
24, 208168
25, 185042
26, 184951
27, 184824
28, 184907
29, 185057
30, 185183
31, 185298
32, 185336
33, 185148
34, 185262
35, 185423
36, 185659
37, 186303
38, 185998
39, 185756
40, 185597
41, 185594
42, 184704
43, 215946
44, 217070
45, 217279
46, 217133
47, 217295
48, 213582
49, 196740
50, 183850
51, 183740
52, 183793
53, 183601
54, 183656
55, 183516
56, 183910
57, 183849
58, 183991
59, 183944
60, 183952
61, 184003
62, 183950
63, 183547
64, 183485
65, 183534
66, 183331
67, 183489
68, 183853
69, 183718
70, 183992
71, 183748
72, 183591
73, 184107
74, 185546
75, 185233
76, 185335
77, 185240
78, 185295
79, 185445
80, 185343
81, 185229
82, 185185
83, 185107
84, 185515
85, 185151
86, 185113
87, 184774
88, 183967
89, 183971
90, 183510
91, 183598
92, 183505
93, 183492
94, 183573
95, 183929
96, 183875
97, 183660
98, 183801
99, 184283
