# trial, us for 1000 calls
0, 190529
1, 210168
2, 210056
3, 210004
4, 206050
5, 186005
6, 186272
7, 185777
8, 185823
9, 188715
10, 189019
11, 186484
12, 186400
13, 186494
14, 186308
15, 186212
16, 208483
17, 209359
18, 209481
19, 209396
20, 209440
21, 209410
22, 209628
23, 209930
24, 209683
25, 190622
26, 186442
27, 186121
28, 186010
29, 186186
30, 185969
31, 185958
32, 186003
33, 186120
34, 185903
35, 185946
36, 185778
37, 185906
38, 185651
39, 186017
40, 185672
41, 185743
42, 185550
43, 186074
44, 185817
45, 185924
46, 185730
47, 185728
48, 185645
49, 185511
50, 185297
51, 185349
52, 186048
53, 186145
54, 185824
55, 185901
56, 186157
57, 185871
58, 185644
59, 185434
60, 185218
61, 185375
62, 185274
63, 184957
64, 185079
65, 185031
66, 184868
67, 184843
68, 184861
69, 184990
70, 184872
71, 184852
72, 184844
73, 185032
74, 185225
75, 185250
76, 184980
77, 184944
78, 185091
79, 185194
80, 185204
81, 185097
82, 185168
83, 185965
84, 186299
85, 186274
86, 186105
87, 185875
88, 192955
89, 185023
90, 184729
91, 184797
92, 184731
93, 184602
94, 184435
95, 184595
96, 184653
97, 184786
98, 184835
99, 184689
