# trial, latency
0,2273
1,724
2,682
3,711
4,691
5,671
6,684
7,686
8,687
9,670
10,681
11,686
12,671
13,683
14,688
15,666
16,679
17,680
18,666
19,681
20,686
21,669
22,683
23,685
24,668
25,681
26,684
27,667
28,681
29,680
30,665
31,681
32,688
33,683
34,670
35,686
36,685
37,669
38,683
39,681
40,668
41,681
42,683
43,672
44,684
45,685
46,671
47,683
48,685
49,672
50,685
51,688
52,672
53,683
54,686
55,684
56,675
57,683
58,682
59,670
60,683
61,682
62,670
63,690
64,687
65,670
66,687
67,682
68,670
69,684
70,684
71,671
72,686
73,687
74,685
75,670
76,684
77,681
78,669
79,682
80,686
81,670
82,684
83,682
84,669
85,686
86,688
87,673
88,686
89,686
90,669
91,685
92,685
93,670
94,682
95,686
96,682
97,671
98,685
99,683
