# trial, latency
0,1993
1,590
2,562
3,573
4,576
5,562
6,635
7,560
8,575
9,559
10,577
11,574
12,559
13,588
14,559
15,578
16,560
17,576
18,573
19,560
20,586
21,560
22,574
23,557
24,575
25,573
26,561
27,577
28,561
29,575
30,559
31,575
32,572
33,558
34,575
35,562
36,574
37,558
38,576
39,574
40,563
41,571
42,559
43,575
44,557
45,572
46,574
47,559
48,573
49,560
50,575
51,561
52,574
53,575
54,563
55,575
56,560
57,574
58,559
59,573
60,571
61,561
62,573
63,568
64,574
65,557
66,574
67,574
68,556
69,573
70,560
71,575
72,558
73,572
74,575
75,562
76,577
77,561
78,575
79,563
80,573
81,579
82,556
83,571
84,559
85,572
86,558
87,575
88,573
89,561
90,574
91,558
92,575
93,560
94,574
95,570
96,558
97,575
98,561
99,573
