# trial, latency
0,2520
1,347
2,343
3,323
4,320
5,335
6,318
7,317
8,350
9,318
10,315
11,334
12,316
13,315
14,330
15,315
16,318
17,329
18,316
19,316
20,334
21,318
22,317
23,316
24,334
25,316
26,316
27,333
28,316
29,316
30,329
31,317
32,316
33,340
34,316
35,315
36,331
37,317
38,317
39,330
40,317
41,314
42,330
43,317
44,316
45,331
46,315
47,316
48,329
49,316
50,315
51,329
52,315
53,315
54,328
55,317
56,316
57,316
58,331
59,318
60,315
61,332
62,316
63,326
64,334
65,316
66,317
67,332
68,317
69,318
70,333
71,317
72,316
73,333
74,316
75,316
76,331
77,316
78,318
79,328
80,316
81,316
82,329
83,318
84,316
85,332
86,316
87,316
88,329
89,317
90,315
91,328
92,318
93,318
94,316
95,333
96,317
97,318
98,332
99,316
