# trial, latency
0,2418
1,234
2,236
3,216
4,216
5,214
6,232
7,215
8,213
9,216
10,216
11,235
12,215
13,214
14,213
15,245
16,216
17,214
18,214
19,214
20,230
21,214
22,213
23,214
24,228
25,215
26,215
27,214
28,214
29,237
30,214
31,214
32,213
33,230
34,214
35,215
36,215
37,213
38,228
39,213
40,214
41,215
42,228
43,215
44,215
45,215
46,214
47,239
48,215
49,214
50,212
51,227
52,216
53,215
54,214
55,213
56,230
57,214
58,216
59,216
60,227
61,218
62,215
63,224
64,216
65,229
66,215
67,215
68,214
69,217
70,230
71,214
72,214
73,214
74,230
75,214
76,215
77,214
78,214
79,229
80,215
81,215
82,214
83,231
84,214
85,214
86,215
87,215
88,229
89,215
90,214
91,214
92,227
93,216
94,215
95,214
96,215
97,233
98,214
99,214
