# trial, latency (cycles)
0, 260043
1, 106155
2, 105294
3, 105294
4, 105105
5, 105273
6, 104622
7, 104664
8, 104580
9, 104643
10, 104559
11, 140742
12, 106785
13, 104853
14, 104559
15, 104643
16, 104622
17, 104580
18, 104538
19, 104706
20, 104601
21, 104664
22, 104538
23, 104664
24, 104601
25, 104538
26, 104580
27, 104559
28, 104643
29, 131418
30, 105819
31, 104937
32, 104895
33, 105126
34, 104664
35, 104622
36, 104538
37, 104601
38, 104664
39, 104622
40, 104643
41, 104622
42, 104538
43, 104622
44, 104517
45, 104580
46, 104601
47, 104664
48, 132027
49, 106407
50, 104559
51, 104727
52, 104685
53, 104706
54, 104622
55, 104580
56, 104643
57, 104538
58, 104517
59, 104559
60, 104580
61, 104580
62, 104727
63, 104685
64, 104433
65, 104559
66, 104475
67, 130368
68, 105294
69, 104601
70, 104517
71, 104643
72, 104580
73, 104538
74, 104517
75, 104517
76, 104622
77, 104664
78, 104643
79, 104664
80, 104454
81, 104664
82, 104643
83, 104664
84, 104643
85, 164325
86, 105609
87, 104685
88, 104643
89, 104559
90, 104538
91, 104622
92, 104622
93, 104643
94, 104643
95, 104664
96, 104622
97, 104664
98, 104559
99, 104517
100, 104601
101, 104622
102, 104643
103, 104685
104, 132405
105, 106449
106, 104559
107, 104685
108, 104622
109, 104706
110, 104559
111, 104601
112, 104538
113, 104643
114, 104706
115, 104622
116, 104559
117, 104580
118, 104559
119, 104727
120, 104517
121, 104685
122, 131208
123, 105882
124, 104559
125, 104601
126, 104685
127, 104622
128, 104538
129, 104601
130, 104517
131, 104601
132, 104559
133, 104580
134, 104538
135, 104622
136, 104559
137, 104538
138, 104622
139, 104643
140, 104601
141, 131922
142, 105315
143, 105189
144, 104538
145, 104622
146, 104559
147, 104622
148, 104601
149, 104685
150, 104580
151, 104622
152, 104601
153, 104622
154, 104559
155, 104643
156, 104559
157, 104685
158, 104496
159, 104643
160, 184800
161, 106092
162, 104580
163, 104727
164, 104538
165, 104643
166, 104601
167, 104706
168, 104517
169, 104580
170, 104601
171, 104685
172, 104517
173, 104622
174, 104601
175, 104643
176, 104580
177, 104643
178, 132552
179, 106596
180, 104622
181, 104622
182, 104517
183, 104580
184, 104601
185, 104622
186, 104643
187, 104622
188, 104643
189, 104601
190, 104622
191, 104496
192, 104664
193, 104601
194, 104622
195, 104643
196, 130158
197, 104664
198, 105798
199, 104664
200, 104559
201, 104643
202, 104643
203, 104685
204, 104559
205, 104664
206, 104559
207, 104664
208, 104538
209, 104685
210, 104601
211, 104664
212, 104559
213, 104727
214, 104559
215, 130767
216, 105378
217, 106365
218, 104664
219, 104601
220, 104622
221, 104748
222, 104559
223, 104664
224, 104643
225, 104538
226, 104601
227, 104664
228, 104559
229, 104622
230, 104601
231, 104622
232, 104601
233, 104622
234, 137844
235, 105378
236, 104496
237, 104790
238, 104538
239, 104622
240, 104601
241, 104664
242, 104601
243, 104538
244, 104580
245, 104643
246, 104601
247, 104538
248, 104601
249, 104685
250, 104559
251, 104664
252, 132468
253, 106596
254, 104622
255, 104622
256, 104517
257, 104622
258, 104664
259, 104685
260, 104580
261, 104643
262, 104685
263, 104664
264, 104601
265, 104601
266, 104664
267, 104622
268, 104643
269, 104727
270, 104664
271, 131691
272, 105882
273, 104748
274, 104601
275, 104685
276, 104622
277, 104622
278, 104601
279, 104664
280, 104601
281, 104706
282, 104538
283, 104622
284, 104559
285, 104601
286, 104559
287, 104622
288, 104580
289, 104748
290, 135324
291, 105294
292, 105042
293, 105357
294, 104622
295, 104601
296, 104538
297, 104559
298, 104622
299, 104685
300, 104601
301, 104622
302, 104538
303, 104601
304, 104622
305, 104706
306, 104664
307, 104622
308, 131313
309, 105714
310, 106449
311, 104706
312, 104706
313, 104706
314, 104664
315, 104727
316, 104664
317, 104664
318, 104580
319, 104601
320, 104622
321, 104601
322, 104622
323, 104580
324, 104664
325, 104601
326, 104685
327, 133287
328, 105546
329, 104832
330, 104643
331, 104643
332, 104622
333, 104769
334, 104664
335, 104580
336, 104580
337, 104601
338, 104559
339, 104601
340, 104622
341, 104538
342, 104601
343, 104622
344, 104601
345, 104622
346, 106953
347, 105714
348, 104622
349, 104559
350, 104643
351, 104559
352, 104685
353, 104622
354, 104643
355, 104685
356, 104664
357, 104538
358, 104622
359, 104601
360, 104664
361, 104517
362, 104643
363, 104727
364, 131460
365, 105252
366, 104601
367, 104727
368, 104622
369, 104601
370, 104580
371, 104559
372, 104643
373, 104643
374, 104580
375, 104601
376, 104622
377, 104601
378, 104580
379, 104622
380, 104643
381, 104601
382, 104622
383, 140007
384, 105357
385, 104601
386, 104601
387, 104559
388, 104643
389, 104559
390, 104769
391, 104664
392, 104706
393, 104517
394, 104727
395, 104643
396, 104706
397, 104643
398, 104643
399, 104643
400, 104727
401, 130872
402, 104811
403, 104622
404, 104664
405, 104643
406, 104622
407, 104643
408, 104706
409, 104685
410, 104706
411, 104664
412, 104643
413, 104664
414, 104727
415, 104643
416, 104622
417, 104643
418, 104622
419, 104748
420, 130977
421, 104790
422, 104622
423, 104601
424, 104706
425, 104685
426, 104643
427, 104727
428, 104706
429, 104706
430, 104517
431, 104622
432, 104580
433, 104664
434, 104601
435, 104664
436, 104643
437, 104622
438, 104580
439, 132426
440, 104601
441, 104748
442, 104601
443, 104643
444, 104622
445, 104559
446, 104580
447, 104727
448, 104601
449, 104580
450, 104601
451, 104559
452, 104601
453, 104559
454, 104622
455, 104580
456, 104538
457, 130998
458, 104706
459, 106134
460, 104580
461, 104559
462, 104622
463, 104601
464, 104664
465, 104622
466, 104622
467, 104748
468, 104685
469, 104559
470, 104664
471, 104580
472, 104643
473, 104622
474, 104664
475, 104622
476, 130872
477, 104790
478, 104559
479, 104559
480, 104601
481, 104559
482, 104643
483, 104580
484, 104685
485, 105126
486, 104748
487, 104643
488, 104622
