PAE,kmain(),after recv(),after send()
31437,31773,68110,136891
24255,24528,53552,118151
20055,20349,48424,111498
20181,20475,48869,111016
20307,20622,48002,109193
19635,19971,46149,108743
20349,20643,50298,114224
19761,20055,48867,112420
20601,20895,48543,111489
19488,19824,46241,109961
20013,20307,46891,109754
19404,19677,48211,112393
19761,20055,46075,110045
19740,20034,46958,109884
19782,20076,47016,109838
19635,19929,45809,105493
20391,20685,47974,109831
19887,20202,50183,112501
20223,20538,48177,109347
19551,19845,46164,108482
19509,19824,47110,107966
22869,23184,50285,119758
20790,21063,47267,109274
20811,21105,48567,111472
20979,21273,47692,109468
20202,20496,48074,371868
20307,20580,48744,107820
20223,20517,47281,108178
20160,20454,46549,108598
20055,20349,46470,106468
19824,20118,46714,109011
20328,20622,47721,109120
20580,20874,49251,113350
19740,20034,46682,106324
19509,19803,46161,108125
20706,20979,46808,111467
20118,20433,46347,105761
19782,20076,47480,110071
21126,21399,47619,111886
21231,21525,49178,114069
20622,20916,47665,108416
20538,20832,48440,113623
19488,19761,47329,113076
19656,19929,47480,110386
20643,20937,47680,111841
19866,20160,47291,108858
20307,20580,47690,111935
19593,19887,47638,114119
20349,20643,47022,112103
19215,19509,47208,110051
20517,20811,47088,112295
19614,19908,46946,108179
20559,20853,47274,109301
20013,20307,47441,145850
20853,21126,47497,113559
19761,20034,46959,109841
21063,21357,48648,112768
19908,20202,48628,109609
21504,21798,48793,109984
20475,20769,48061,111425
20916,21210,79349,139386
20412,20706,47542,110175
20412,20706,45665,107651
19677,19950,47728,110799
21315,21630,48351,110274
19614,19908,48272,110090
19740,20013,47018,110007
20013,20307,47081,109004
20286,20601,47308,111698
19635,19929,46842,108846
20517,20790,48788,114767
20433,20748,47938,110925
20223,20517,47232,109133
20076,20370,44684,108950
21441,21714,47340,109326
19614,19908,47423,109283
19866,20160,84733,144093
20202,20496,48687,112471
19656,19929,46266,108420
19614,19908,45601,110620
20601,20916,47048,108637
19866,20181,46504,108406
20265,20559,47358,110200
21084,21399,51285,116738
20769,21063,48768,111359
19992,20286,48545,112601
20223,20496,49864,110363
19824,20118,48499,112324
20202,20496,47362,108553
20874,21168,47665,108941
20853,21126,47783,109831
19635,19929,47399,110408
20202,20496,46791,108654
20202,20517,47792,110509
20664,20937,47795,108902
19950,20223,46627,108445
19761,20055,46490,107639
19887,20181,48591,114443
19908,20202,45849,110262
19635,19929,86017,147769
19635,19929,46771,109739
19551,19845,45703,109675
22344,22596,48765,111691
20412,20706,46825,111570
20139,20454,46875,109280
19635,19929,46196,108413
20118,20391,47120,110214
19824,20118,46148,109200
21546,21840,49095,111290
20244,20538,45800,108790
20034,20328,46729,111560
58023,58317,88292,151739
19992,20286,47709,111660
19845,20139,46821,110899
21063,21336,48210,112767
19908,20181,47558,110568
20580,20874,47967,109827
20034,20349,46191,110121
20958,21231,49217,112374
19719,20013,48757,109403
20223,20517,46443,107506
19908,20223,46559,110615
20202,20475,48069,110075
19614,19908,46863,112757
21021,21294,48240,111122
19383,19656,45177,107643
21021,21294,48882,111850
20748,21063,47153,110059
20580,20895,46453,110781
19656,19929,46807,110778
19635,19929,46984,142013
20139,20433,47022,112437
20034,20328,47479,112517
19593,19887,45747,111518
20181,20454,47148,109026
19887,20181,46291,111058
19803,20097,46602,108503
19278,19572,45325,141867
20916,21210,47518,112451
19614,19908,46939,109487
20097,20370,46436,109342
19971,20265,48390,112194
20328,20601,48037,111946
19950,20223,46841,108761
20076,20370,46417,109259
20727,21021,47816,111746
20307,20601,46993,109584
20160,20454,47982,114045
19845,20139,46140,109170
19908,20202,46350,110385
19761,20055,45615,143746
20160,20475,46962,110140
19824,20118,46946,109495
19698,19992,46525,107109
20748,21042,47148,111413
19992,20286,47550,110454
20370,20685,47585,111495
20580,20874,50099,113774
20454,20748,48068,111099
19467,19740,47724,108787
20622,20916,47592,112566
20475,20769,47600,108666
20076,20349,46269,108465
20475,20769,48920,112098
21126,21420,47577,110609
19803,20097,45438,106650
19824,20118,45368,142767
19866,20160,47393,109108
20034,20328,47170,108298
21063,21357,48176,110078
21126,21420,47264,109102
20160,20454,46693,110602
19908,20223,47535,113429
20055,20349,48300,144364
20118,20391,48401,111076
19824,20097,46412,112349
20412,20685,45874,107357
20475,20769,46069,107971
19929,20223,45964,110980
19992,20307,47393,111240
20139,20433,47284,108892
19530,19824,46641,109714
19992,20265,46119,109151
19782,20076,46399,109536
20370,20664,47100,109984
19656,19950,46704,109358
19950,20223,48170,109068
19635,19929,46679,108308
20202,20496,47622,110945
19698,19992,46772,110410
21609,21903,48920,114690
20286,20580,46262,108436
21651,21945,48863,110975
19698,20013,46883,108826
19572,19866,47886,111985
19593,19887,47114,109414
19824,20118,46945,109725
20139,20433,46241,110945
20076,20349,46833,110114
19719,19992,46333,111267
20391,20685,46178,110319
19257,19551,45889,107706
19677,19950,46812,109404
19971,20244,46439,112837
20013,20307,46830,107812
19635,19929,46920,109887
20475,20769,47757,581159
21336,21630,48683,110564
19887,20181,46815,107608
19887,20181,49552,109086
20244,20538,46438,107545
19656,19950,45884,107954
20601,20895,46998,110364
19971,20265,45615,107811
19908,20181,46583,108254
20202,20496,46368,107455
20811,21126,48461,108207
19908,20202,47564,110512
29022,29337,68542,175216
21021,21315,52090,117023
20496,20811,50133,114814
19383,19698,48295,115046
19887,20202,48428,114429
19572,19866,56483,151936
20412,20706,49061,111901
