# trial, latency (cycles)
0, 742350
1, 606984
2, 591612
3, 560616
4, 579558
5, 551775
6, 568869
7, 550263
8, 563682
9, 573993
10, 554883
11, 540183
12, 564648
13, 899094
14, 557256
15, 555660
16, 597429
17, 567840
18, 550305
19, 568491
20, 605577
21, 562212
22, 556773
23, 551397
24, 577605
25, 549528
26, 553350
27, 1060185
28, 579348
29, 553917
30, 588357
31, 555366
32, 571578
33, 554505
34, 613851
35, 556584
36, 580230
37, 579894
38, 570024
39, 562989
40, 569688
41, 594531
42, 570423
43, 553161
44, 576135
45, 575757
46, 568386
47, 557592
48, 591675
49, 568260
50, 547722
51, 544929
52, 593754
53, 566664
54, 554022
55, 552195
56, 639450
57, 576786
58, 574854
59, 599844
60, 600642
61, 568134
62, 565887
63, 607824
64, 557655
65, 569499
66, 581889
67, 574413
68, 552342
69, 560595
70, 591528
71, 596064
72, 575946
73, 575547
74, 595455
75, 596883
76, 577500
77, 598668
78, 574182
79, 625716
80, 574686
81, 620067
82, 588840
83, 592473
84, 622272
85, 592284
86, 571809
87, 581910
88, 626808
89, 563241
90, 565089
91, 635334
92, 586047
93, 584766
94, 573258
95, 645876
96, 582834
97, 568092
98, 610911
99, 593838
100, 575694
101, 571956
102, 623574
103, 600831
104, 579495
105, 608433
106, 573867
107, 615174
108, 577794
109, 594888
110, 587139
111, 604884
112, 605388
113, 567168
114, 581868
115, 584766
116, 589470
117, 575547
118, 568365
119, 606480
120, 571242
121, 572019
122, 566685
123, 614082
124, 606732
125, 578529
126, 690606
127, 599088
128, 591780
129, 596841
130, 621411
131, 583758
132, 573972
133, 593481
134, 588546
135, 574497
136, 602931
137, 599739
138, 589449
139, 570087
140, 660030
141, 581910
142, 593439
143, 598227
144, 591381
145, 583443
146, 620466
147, 615027
148, 597576
149, 584241
150, 611016
151, 621033
152, 572166
153, 570150
154, 618114
155, 603540
156, 566202
157, 565383
158, 636405
159, 583884
160, 562569
161, 593964
162, 607551
163, 559923
164, 567231
165, 605052
166, 593376
167, 573342
168, 564480
169, 690060
170, 611268
171, 569793
172, 607929
173, 572754
174, 616875
175, 604611
176, 575001
177, 584892
178, 592746
179, 602532
180, 581280
181, 599214
182, 701127
183, 575064
184, 590247
185, 576954
186, 596316
187, 568449
188, 568197
189, 604422
190, 587013
191, 589218
192, 573573
193, 609084
194, 595875
195, 590205
196, 678363
197, 593628
198, 568701
199, 559923
200, 589260
201, 583359
202, 583023
203, 574140
204, 594090
205, 574182
206, 590751
207, 590751
208, 566391
209, 576072
210, 595854
211, 640458
212, 566916
213, 580293
214, 607824
215, 591423
216, 579432
217, 580146
218, 630987
219, 573888
220, 583065
221, 608412
222, 600768
223, 568764
224, 566181
225, 721161
226, 580146
227, 572082
228, 589575
229, 609714
230, 580125
231, 581679
232, 603666
233, 581700
234, 562086
235, 584850
236, 584094
237, 610890
238, 568722
239, 589113
240, 588273
241, 608349
242, 602742
243, 566538
244, 586656
245, 597513
246, 595833
247, 576765
248, 576870
249, 603183
250, 582498
251, 581112
252, 582309
253, 584430
254, 565950
255, 565152
256, 581028
257, 593523
258, 591675
259, 576072
260, 610764
261, 580839
262, 596106
263, 592494
264, 615993
265, 587559
266, 597513
267, 585417
268, 581658
269, 558033
270, 589470
271, 595203
272, 585732
273, 563703
274, 598395
275, 567567
276, 588777
277, 580314
278, 590709
279, 558390
280, 600369
281, 576723
282, 703353
283, 560763
284, 596106
285, 636720
286, 575505
287, 575820
288, 605787
289, 589617
290, 590037
291, 561414
292, 634053
293, 576366
294, 568659
295, 565131
296, 631932
