# trial, latency (cycles)
0, 193788
1, 99372
2, 102207
3, 97104
4, 95781
5, 96453
6, 95361
7, 90363
8, 94101
9, 96831
10, 96474
11, 96810
12, 97104
13, 92316
14, 126504
15, 94626
16, 97251
17, 94542
18, 94815
19, 91161
20, 96894
21, 95193
22, 97797
23, 91644
24, 92967
25, 93807
26, 91854
27, 89754
28, 95781
29, 91161
30, 93597
31, 98889
32, 91707
33, 89607
34, 101640
35, 147441
36, 97272
37, 93240
38, 95760
39, 95235
40, 91770
41, 94773
42, 91098
43, 90636
44, 94227
45, 94521
46, 94752
47, 97230
48, 91560
49, 91749
50, 95508
51, 89775
52, 92883
53, 95865
54, 92757
55, 95067
56, 100695
57, 124320
58, 97671
59, 98007
60, 97440
61, 98448
62, 94479
63, 100275
64, 95949
65, 99792
66, 96642
67, 96873
68, 89502
69, 91707
70, 102816
71, 93660
72, 94269
73, 94101
74, 89712
75, 90363
76, 96768
77, 88998
78, 110229
79, 100023
80, 88851
81, 90846
82, 95235
83, 91560
84, 92883
85, 107898
86, 91413
87, 92631
88, 95025
89, 94017
90, 90741
91, 94794
92, 88746
93, 90825
94, 95781
95, 94185
96, 92757
97, 91518
98, 89649
99, 93282
100, 112791
101, 104727
102, 90762
103, 99456
104, 90888
105, 93135
106, 95067
107, 90552
108, 95928
109, 91224
110, 92631
111, 91056
112, 93282
113, 90468
114, 88851
115, 95151
116, 93513
117, 105441
118, 94731
119, 92862
120, 91938
121, 95844
122, 199836
123, 120939
124, 117159
125, 108591
126, 107520
127, 109956
128, 108360
129, 112980
130, 106365
131, 107604
132, 109788
133, 104265
134, 107163
135, 109284
136, 109473
137, 103572
138, 110166
139, 107142
140, 139377
141, 111846
142, 105357
143, 104811
144, 107394
145, 108591
146, 105168
147, 107856
148, 105399
149, 104895
150, 109179
151, 107289
152, 107772
153, 111321
154, 107394
155, 106848
156, 108990
157, 105273
158, 104181
159, 212247
160, 105273
161, 105840
162, 106596
163, 105966
164, 103635
165, 107436
166, 102648
167, 102711
168, 110565
169, 106155
170, 103257
171, 107100
172, 104097
173, 105357
174, 107016
175, 113736
176, 100968
177, 107016
178, 115143
179, 106428
180, 106365
181, 106932
182, 104601
183, 108255
184, 105861
185, 105651
186, 108129
187, 102921
188, 102291
189, 108675
190, 117243
191, 102858
192, 104202
193, 108738
194, 102333
195, 106806
196, 103845
197, 109746
198, 111153
199, 104328
200, 102984
201, 107646
202, 106953
203, 104958
204, 105546
205, 104580
206, 117705
207, 104769
208, 103194
209, 102480
210, 110229
211, 105567
212, 102543
213, 111510
214, 106365
215, 103929
216, 106680
217, 141477
218, 105441
219, 106764
220, 105294
221, 102123
222, 119259
223, 103824
224, 101997
225, 109305
226, 101031
227, 105252
228, 105987
229, 103740
230, 100821
231, 107289
232, 103509
233, 106323
234, 111678
235, 102753
236, 373044
237, 124803
238, 110691
239, 109578
240, 112308
241, 110040
242, 107436
243, 107877
244, 110208
245, 104811
246, 107541
247, 109032
248, 109347
249, 111489
250, 109410
251, 106155
252, 109368
253, 155148
254, 111951
255, 106260
256, 106239
257, 111930
258, 107730
259, 104118
260, 110418
261, 105147
262, 106764
263, 109368
264, 104076
265, 109851
266, 109809
267, 105756
268, 105147
269, 131397
270, 103614
271, 110313
272, 109788
273, 103950
274, 104517
275, 106869
276, 106260
277, 103593
278, 112707
279, 103257
280, 105777
281, 110082
282, 107583
283, 105840
284, 120813
285, 103068
286, 103488
287, 106575
288, 103656
289, 105357
290, 108318
291, 135933
292, 107940
293, 107688
294, 103383
295, 104013
296, 106806
297, 106533
298, 106827
299, 107457
300, 113064
301, 103068
