# trial, latency (cycles)
0, 1512126
1, 1002288
2, 927297
3, 944958
4, 930594
5, 917868
6, 929649
7, 935907
8, 934353
9, 963837
10, 951951
11, 918099
12, 919548
13, 904827
14, 915390
15, 941745
16, 951657
17, 940737
18, 949998
19, 942417
20, 982506
21, 951930
22, 962934
23, 971880
24, 1128834
25, 939813
26, 932673
27, 1169343
28, 943509
29, 937902
30, 991683
31, 970515
32, 964614
33, 957789
34, 954765
35, 1374996
36, 907893
37, 935886
38, 924315
39, 926940
40, 924840
41, 904176
42, 932463
43, 922026
44, 888846
45, 912723
46, 940170
47, 965895
48, 944055
49, 947436
50, 1299774
51, 942270
52, 922089
53, 935655
54, 946617
55, 1103634
56, 973938
57, 940527
58, 988617
59, 921270
60, 918372
61, 910203
62, 907872
63, 911883
64, 913185
65, 905415
66, 902307
67, 914277
68, 892605
69, 902433
70, 911106
71, 892647
72, 919044
73, 918855
74, 898128
75, 892584
76, 897015
77, 909699
78, 930720
79, 930447
80, 921396
81, 933660
82, 1095927
83, 944601
84, 945336
85, 929691
86, 1073709
87, 942375
88, 929061
89, 932106
90, 953652
91, 956340
92, 1107330
93, 929880
94, 953316
95, 1055838
96, 915873
97, 925071
98, 942774
99, 929796
