# trial, latency (cycles)
# trial, latency (cycles)
0, 1765008
1, 23772
2, 13377
3, 13188
4, 12852
5, 12873
6, 12768
7, 12894
8, 12894
9, 12873
10, 13167
11, 13608
12, 12768
13, 12873
14, 12810
15, 12705
16, 12852
17, 12768
18, 12831
19, 12705
20, 12747
21, 12705
22, 12768
23, 13314
24, 13692
25, 12894
26, 12747
27, 12663
28, 12768
29, 12684
30, 12747
31, 12684
32, 12747
33, 12684
34, 12768
35, 12789
36, 13335
37, 13335
38, 12726
39, 13020
40, 13230
41, 12705
42, 12747
43, 12726
44, 12768
45, 12705
46, 12684
47, 12747
48, 14238
49, 17262
50, 16443
51, 13041
52, 12705
53, 13608
54, 15960
55, 13713
56, 13041
57, 12684
58, 12789
59, 12768
60, 13440
61, 13671
62, 12873
63, 24927
64, 21000
65, 12768
66, 12705
67, 12747
68, 12894
69, 12705
70, 12726
71, 12915
72, 13566
73, 13398
74, 12747
75, 12684
76, 12747
77, 12726
78, 12705
79, 12768
80, 12726
81, 12726
82, 12705
83, 12621
84, 12915
85, 13167
86, 13209
87, 12684
88, 12600
89, 12726
90, 12579
91, 12726
92, 12726
93, 12705
94, 12726
95, 12726
96, 12768
97, 12810
98, 13482
99, 13125
100, 12747
101, 12705
102, 12768
103, 12705
104, 12810
105, 12705
106, 12726
107, 12726
108, 12768
109, 12705
110, 48342
111, 14175
112, 13125
113, 14007
114, 13482
115, 12579
116, 12747
117, 12810
118, 12789
119, 12747
120, 13020
121, 13440
122, 16002
123, 15183
124, 16023
125, 13524
126, 12726
127, 14406
128, 15960
129, 14763
130, 12915
131, 13020
132, 13818
133, 13566
134, 12747
135, 12726
136, 12747
137, 12726
138, 12726
139, 12579
140, 12747
141, 12726
142, 12747
143, 12684
144, 12957
145, 13461
146, 13188
147, 12747
148, 12726
149, 12726
150, 12726
151, 12726
152, 12726
153, 12726
154, 12747
155, 12726
156, 12789
157, 13125
158, 14154
159, 12873
160, 12768
161, 12726
162, 12705
163, 12600
164, 12705
165, 12768
166, 12705
167, 12579
168, 12747
169, 12789
170, 13272
171, 13188
172, 12726
173, 12726
174, 12726
175, 12579
176, 12726
177, 12768
178, 12726
179, 12558
180, 12726
181, 12810
182, 13104
183, 13461
184, 12768
185, 12747
186, 12726
187, 12726
188, 12768
189, 12558
190, 12726
191, 13125
192, 12999
193, 12747
194, 12957
195, 13713
196, 13650
197, 12600
198, 12726
199, 12810
200, 12852
201, 12726
202, 12726
203, 12789
204, 12831
205, 12747
206, 12684
207, 13041
208, 13566
209, 13167
210, 12726
211, 12726
212, 12726
213, 12705
214, 12726
215, 12600
216, 12726
217, 12705
218, 12768
219, 12642
220, 13377
221, 13986
222, 12957
223, 12705
224, 12789
225, 12684
226, 12747
227, 12558
228, 12726
229, 12747
230, 12747
231, 12684
232, 12810
233, 13020
234, 13440
235, 12579
236, 12726
237, 12726
238, 12726
239, 12579
240, 12747
241, 12705
242, 12747
243, 12726
244, 12705
245, 12873
246, 13503
247, 13524
248, 12789
249, 12747
250, 12726
251, 12726
252, 12852
253, 12747
254, 12684
255, 13104
256, 13062
257, 12663
258, 12978
259, 13503
260, 13146
261, 12747
262, 12726
263, 12726
264, 12747
265, 12726
266, 12726
267, 12579
268, 38283
269, 15540
270, 14616
271, 12432
272, 12726
273, 12684
274, 12726
275, 12726
276, 12747
277, 12726
278, 12726
279, 12705
280, 12747
281, 12873
282, 13167
283, 13314
284, 12831
285, 12705
286, 12705
287, 12705
288, 12747
289, 12747
290, 12789
291, 12705
292, 12747
293, 12726
294, 12978
295, 13671
296, 13356
297, 12600
298, 12726
299, 12726
300, 12726
301, 12558
302, 12747
303, 12726
304, 12705
305, 12768
306, 12768
307, 13020
308, 13419
309, 12600
310, 12768
311, 12726
312, 12726
313, 12558
314, 12747
315, 12747
316, 12705
317, 12558
318, 12726
319, 22071
320, 13818
321, 12684
322, 12705
323, 12726
324, 12705
325, 12600
326, 12579
327, 12705
328, 12726
329, 12726
330, 12726
331, 13020
332, 13755
333, 13524
334, 12621
335, 12726
336, 12726
337, 12726
338, 12726
339, 12747
340, 12747
341, 12726
342, 12705
343, 12600
344, 12936
345, 13587
346, 13230
347, 12705
348, 12747
349, 12726
350, 12747
351, 12705
352, 12726
353, 12621
354, 12747
355, 12705
356, 12726
357, 13188
358, 13860
359, 12810
360, 12747
361, 12768
362, 12726
363, 12747
364, 12726
365, 12747
366, 12747
367, 12726
368, 12705
369, 12810
370, 13188
371, 13251
372, 12747
373, 12726
374, 12726
375, 12747
376, 12705
377, 12726
378, 12726
379, 12621
380, 12705
381, 12726
382, 13041
383, 14217
384, 13902
385, 12768
386, 12726
387, 12747
388, 12726
389, 12705
390, 12726
391, 12705
392, 12768
393, 12705
394, 12768
395, 12894
396, 13482
397, 13335
398, 12768
399, 12684
400, 12621
401, 12705
402, 12768
403, 12705
404, 12600
405, 12705
406, 12726
407, 12726
408, 12789
409, 13671
410, 13608
411, 12747
412, 12747
413, 12852
414, 12789
415, 12831
416, 12747
417, 12705
418, 12747
419, 12747
420, 12831
421, 13125
422, 13482
423, 12726
424, 12747
425, 12726
426, 12768
427, 12705
428, 38199
429, 17598
430, 13272
431, 12873
432, 13629
433, 13524
434, 12789
435, 12747
436, 12705
437, 12726
438, 12768
439, 12663
440, 12768
441, 12726
442, 12726
443, 12726
444, 12894
445, 13818
446, 13020
447, 13167
448, 12936
449, 12705
450, 12726
451, 12747
452, 12726
453, 12726
454, 12726
455, 12726
456, 12789
457, 12936
458, 13860
459, 12873
460, 12726
461, 12726
462, 12726
463, 12747
464, 12705
465, 12726
466, 12726
467, 12600
468, 12726
469, 12915
470, 13461
471, 13419
472, 12810
473, 12558
474, 12726
475, 12726
476, 12747
477, 12726
478, 12705
479, 12747
480, 12705
481, 12747
482, 12873
483, 13440
484, 13503
485, 13314
486, 12684
487, 12705
488, 12747
489, 12726
490, 12705
491, 12621
492, 12726
493, 12684
494, 12936
495, 13377
496, 13419
497, 12747
498, 12705
499, 12726
500, 12768
501, 12705
502, 12705
503, 12600
504, 12726
505, 12726
506, 12768
507, 12831
508, 13608
509, 13230
510, 12768
511, 12978
512, 12999
513, 12684
514, 12726
515, 12600
516, 12747
517, 12705
518, 12747
519, 12558
520, 13230
521, 13881
522, 12999
523, 12726
524, 12705
525, 12726
526, 12726
527, 12726
528, 12726
529, 12621
530, 12705
531, 12747
532, 12789
533, 13314
534, 13419
535, 12768
536, 12684
537, 12768
538, 12789
539, 12747
540, 12705
541, 12726
542, 12726
543, 12747
544, 12726
545, 12915
546, 13755
547, 13209
548, 12579
549, 12747
550, 12726
551, 12747
552, 12726
553, 12726
554, 12579
555, 12747
556, 12705
557, 12810
558, 12957
559, 13545
560, 13314
561, 12768
562, 12705
563, 12726
564, 12705
565, 12726
566, 12726
567, 12726
568, 12579
569, 12726
570, 12747
571, 12957
572, 13566
573, 13230
574, 12747
575, 13503
576, 13146
577, 12684
578, 12747
579, 12726
580, 12726
581, 12726
582, 12726
583, 12873
584, 13188
585, 13146
586, 12663
587, 12726
588, 40152
589, 14679
590, 13251
591, 13083
592, 12726
593, 12726
594, 12873
595, 13461
596, 13125
597, 12705
598, 12705
599, 12726
600, 12558
601, 12747
602, 12705
603, 12726
604, 12579
605, 12747
606, 12726
607, 13209
608, 14049
609, 12999
610, 12726
611, 12747
612, 12726
613, 12894
614, 12705
615, 12705
616, 12726
617, 12789
618, 12726
619, 12789
620, 13062
621, 13272
622, 12705
623, 12726
624, 12747
625, 12768
626, 12726
627, 12747
628, 12705
629, 12726
630, 12705
631, 12831
632, 13335
633, 13419
634, 12789
635, 12726
636, 12726
637, 12747
638, 12726
639, 13272
640, 13062
641, 12852
642, 12684
643, 12789
644, 12999
645, 13629
646, 13398
647, 12663
648, 12579
649, 12726
650, 12705
651, 12768
652, 12684
653, 12768
654, 12705
655, 12726
656, 12726
657, 12852
658, 13713
659, 13209
660, 12726
661, 12621
662, 12726
663, 12726
664, 12726
665, 12747
666, 12726
667, 12705
668, 12726
669, 12810
670, 13461
671, 13629
672, 12768
673, 12726
674, 12747
675, 12726
676, 12726
677, 12747
678, 12747
679, 12726
680, 12726
681, 12747
682, 12789
683, 13188
684, 13440
685, 12789
686, 12726
687, 12705
688, 12726
689, 12726
690, 12747
691, 12726
692, 12726
693, 12747
694, 12747
695, 13041
696, 13755
697, 13482
698, 12663
699, 12705
700, 12726
701, 12726
702, 12747
703, 13083
704, 13020
705, 12684
706, 12726
707, 12621
