# trial, latency (cycles)
# trial, latency (cycles)
0, 1648269
1, 18858
2, 9030
3, 8925
4, 8841
5, 8673
6, 8610
7, 8673
8, 8820
9, 8694
10, 8694
11, 8694
12, 9135
13, 8715
14, 8841
15, 8736
16, 8694
17, 8736
18, 9534
19, 10584
20, 8715
21, 8589
22, 8736
23, 8736
24, 9093
25, 9177
26, 8673
27, 8589
28, 10836
29, 8820
30, 10941
31, 8694
32, 8715
33, 10899
34, 11760
35, 9387
36, 9975
37, 9198
38, 8736
39, 8715
40, 8736
41, 8736
42, 8736
43, 8715
44, 8757
45, 8883
46, 8757
47, 8694
48, 8694
49, 9240
50, 9093
51, 8736
52, 8736
53, 8757
54, 8736
55, 8736
56, 8757
57, 8736
58, 8736
59, 8715
60, 8778
61, 8841
62, 9177
63, 8652
64, 17766
65, 8757
66, 8715
67, 45549
68, 10962
69, 9072
70, 9471
71, 8841
72, 8736
73, 8715
74, 8736
75, 8736
76, 8715
77, 8736
78, 8589
79, 8862
80, 8589
81, 8778
82, 8946
83, 9240
84, 8736
85, 8862
86, 8610
87, 8715
88, 8757
89, 8736
90, 8736
91, 8736
92, 8610
93, 8736
94, 8589
95, 9072
96, 9156
97, 8736
98, 8736
99, 8715
100, 8736
101, 8715
102, 8736
103, 8715
104, 8736
105, 8736
106, 8610
107, 8925
108, 9177
109, 8736
110, 8610
111, 8736
112, 8757
113, 8757
114, 8631
115, 8757
116, 8757
117, 8757
118, 8610
119, 8757
120, 8778
121, 9282
122, 8673
123, 8757
124, 8757
125, 8757
126, 8610
127, 8715
128, 9282
129, 8673
130, 8715
131, 8757
132, 8736
133, 9198
134, 9198
135, 8736
136, 8610
137, 8757
138, 8778
139, 8757
140, 8610
141, 8757
142, 8778
143, 8736
144, 8757
145, 8673
146, 8946
147, 8694
148, 8757
149, 8757
150, 8757
151, 8736
152, 8610
153, 8757
154, 8757
155, 8757
156, 8568
157, 8757
158, 9009
159, 8988
160, 8589
161, 8757
162, 8589
163, 8736
164, 8757
165, 8757
166, 8610
167, 8757
168, 8631
169, 8736
170, 8715
171, 9093
172, 8694
173, 8736
174, 8778
175, 8736
176, 8778
177, 8757
178, 8631
179, 8757
180, 8736
181, 8904
182, 8631
183, 8904
184, 9408
185, 8715
186, 8589
187, 8757
188, 8610
189, 8904
190, 8631
191, 8757
192, 9051
193, 8736
194, 8610
195, 8757
196, 8883
197, 9135
198, 8631
199, 8736
200, 8736
201, 8757
202, 8757
203, 8757
204, 8631
205, 8904
206, 8631
207, 8757
208, 8526
209, 8904
210, 9387
211, 8820
212, 8610
213, 8778
214, 8610
215, 8736
216, 8757
217, 8778
218, 8610
219, 8736
