# trial, latency (cycles)
0, 146034
1, 11193
2, 8736
3, 8694
4, 8673
5, 8652
6, 8694
7, 8736
8, 8925
9, 8631
10, 8904
11, 9534
12, 8526
13, 8778
14, 8673
15, 8673
16, 8505
17, 8673
18, 8526
19, 8673
20, 10227
21, 11025
22, 8673
23, 8862
24, 8610
25, 8652
26, 8463
27, 8652
28, 8547
29, 8505
30, 12600
31, 8904
32, 10899
33, 8631
34, 8610
35, 10122
36, 11214
37, 9135
38, 9681
39, 8652
40, 8484
41, 8652
42, 8505
43, 8652
44, 8526
45, 8652
46, 8526
47, 8736
48, 9009
49, 8631
50, 8673
51, 8652
52, 8694
53, 8652
54, 8652
55, 8652
56, 8505
57, 8631
58, 8652
59, 8673
60, 8589
61, 8904
62, 8505
63, 8673
64, 8484
65, 8526
66, 8505
67, 8652
68, 8526
69, 8652
70, 8463
71, 8631
72, 8526
73, 8925
74, 9366
75, 8568
76, 8652
77, 8652
78, 8526
79, 8652
80, 8463
81, 8652
82, 8505
83, 8652
84, 8526
85, 8610
86, 42819
87, 9450
88, 8589
89, 8631
90, 8652
91, 8673
92, 8631
93, 8673
94, 8652
95, 8673
96, 8967
97, 8946
98, 8526
99, 8694
100, 8652
101, 8631
102, 8505
103, 8652
104, 8652
105, 8673
106, 8526
107, 8673
108, 8568
109, 8946
110, 8568
111, 8673
112, 8526
113, 8673
114, 8673
115, 8673
116, 8652
117, 8673
118, 8505
119, 8673
120, 8652
121, 8715
122, 9303
123, 8694
124, 8463
125, 8694
126, 8652
127, 8694
128, 8505
129, 8673
130, 8673
131, 8673
132, 8526
133, 8694
134, 8778
135, 9030
136, 8631
137, 8673
138, 8526
139, 8673
140, 8652
141, 8673
142, 8673
143, 8673
144, 8463
145, 8673
146, 8694
147, 8988
148, 8652
149, 8694
150, 8652
151, 8673
152, 8673
153, 8673
154, 8547
155, 8673
156, 8631
157, 8673
158, 8526
159, 8778
160, 9198
161, 8757
162, 8652
163, 8673
164, 8652
165, 8673
166, 8673
167, 8673
168, 8526
169, 8673
170, 8652
171, 8799
172, 8841
173, 9093
174, 8610
175, 8694
176, 8652
177, 8652
178, 8526
179, 8694
180, 8652
181, 8673
182, 8652
183, 8652
184, 8820
185, 9324
186, 8568
187, 8673
188, 8652
189, 8673
190, 8652
191, 8673
192, 8505
193, 8694
