# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
0, 42, 3423, 6552, 210, 49959, 3423, 168
1, 63, 105, 3864, 189, 15267, 210, 210
2, 42, 126, 3591, 210, 14280, 231, 210
3, 42, 126, 3633, 210, 14763, 231, 210
4, 63, 105, 3549, 189, 13881, 231, 189
5, 63, 105, 3528, 210, 13902, 231, 210
6, 42, 126, 3528, 189, 13818, 210, 210
7, 63, 105, 3591, 189, 16212, 231, 210
8, 42, 126, 3486, 210, 14847, 441, 210
9, 63, 105, 3528, 189, 13818, 231, 189
10, 42, 126, 3465, 210, 14091, 210, 210
11, 63, 105, 3528, 210, 14259, 231, 189
12, 42, 126, 3507, 210, 13734, 231, 210
13, 42, 126, 3486, 210, 13797, 231, 189
14, 63, 105, 3486, 210, 13776, 231, 189
15, 42, 126, 3486, 210, 13755, 210, 210
16, 63, 105, 3528, 189, 14574, 210, 210
17, 63, 105, 3507, 210, 14028, 210, 210
18, 42, 126, 3507, 189, 14679, 231, 189
19, 63, 105, 3801, 210, 14217, 210, 210
20, 63, 105, 4641, 210, 15036, 210, 210
21, 63, 105, 3507, 189, 13734, 231, 210
22, 42, 126, 3486, 210, 13713, 231, 210
23, 63, 105, 3507, 210, 13713, 231, 210
24, 42, 126, 3507, 210, 13923, 231, 189
25, 63, 105, 3528, 210, 15540, 231, 210
26, 63, 105, 3507, 189, 13755, 210, 210
27, 42, 126, 3486, 210, 13734, 231, 210
28, 63, 105, 3507, 210, 13713, 210, 210
29, 63, 105, 3507, 210, 15120, 210, 210
30, 63, 105, 3507, 210, 13734, 210, 210
31, 42, 126, 3486, 210, 13797, 231, 210
32, 63, 105, 3507, 210, 13776, 210, 210
33, 42, 126, 3486, 189, 13797, 210, 210
34, 63, 231, 4074, 210, 14973, 210, 210
35, 42, 126, 3507, 210, 13818, 210, 210
36, 63, 105, 3507, 210, 13755, 231, 210
37, 42, 126, 3507, 189, 13776, 231, 189
38, 63, 105, 3507, 210, 13776, 210, 210
39, 63, 105, 4179, 210, 13734, 210, 210
40, 42, 126, 3507, 210, 13755, 210, 210
41, 42, 126, 3507, 189, 13755, 231, 189
42, 42, 126, 3486, 189, 14049, 210, 210
43, 42, 126, 3486, 210, 14700, 210, 210
44, 42, 126, 3507, 189, 13755, 210, 210
45, 42, 126, 3507, 210, 13734, 231, 210
46, 42, 126, 3486, 210, 13734, 231, 189
47, 63, 105, 3507, 189, 14091, 210, 210
48, 63, 105, 3528, 210, 13713, 231, 189
49, 42, 126, 3507, 210, 13776, 231, 189
50, 42, 126, 3486, 210, 13734, 231, 189
51, 42, 168, 3507, 210, 13776, 462, 210
52, 63, 105, 3528, 210, 14637, 210, 210
53, 42, 126, 3507, 189, 13776, 210, 210
54, 63, 105, 3528, 210, 13755, 210, 210
55, 63, 105, 3507, 210, 13776, 210, 210
56, 63, 105, 3528, 210, 13818, 210, 210
57, 63, 105, 3717, 210, 49728, 210, 210
58, 42, 126, 3633, 210, 14154, 231, 189
59, 63, 105, 3507, 210, 13734, 231, 210
60, 42, 126, 3507, 189, 14175, 231, 210
61, 42, 126, 3486, 210, 13713, 210, 210
62, 63, 105, 3486, 210, 13755, 210, 210
63, 42, 126, 3528, 189, 14007, 210, 210
64, 42, 126, 3507, 210, 13755, 231, 210
65, 63, 105, 3612, 210, 14532, 231, 210
66, 42, 126, 3486, 189, 13986, 231, 189
67, 63, 105, 3528, 210, 13776, 210, 210
68, 63, 105, 3528, 189, 13776, 231, 210
69, 42, 126, 3486, 210, 13755, 210, 210
70, 63, 105, 3696, 210, 13965, 231, 189
71, 42, 126, 3486, 210, 14091, 231, 210
72, 63, 105, 3507, 210, 13734, 231, 210
73, 42, 126, 3780, 210, 14280, 210, 210
74, 42, 126, 3486, 210, 14532, 210, 210
75, 63, 105, 3507, 189, 13797, 210, 210
76, 63, 105, 3528, 189, 13776, 231, 189
77, 42, 126, 3507, 210, 13713, 210, 210
78, 42, 126, 3528, 189, 13797, 210, 210
79, 63, 105, 3633, 210, 14280, 231, 189
80, 63, 105, 3528, 189, 13776, 210, 210
81, 63, 105, 3528, 189, 13776, 231, 189
82, 42, 126, 3528, 189, 13755, 231, 189
83, 63, 105, 3507, 210, 14007, 231, 210
84, 63, 105, 3528, 210, 13734, 231, 210
85, 63, 105, 3528, 189, 13755, 210, 210
86, 63, 105, 3507, 189, 13734, 231, 210
87, 63, 168, 3507, 210, 13755, 210, 210
88, 63, 105, 3528, 210, 14742, 231, 210
89, 63, 105, 3507, 210, 13713, 231, 189
90, 63, 105, 3528, 210, 13734, 231, 189
91, 63, 105, 3507, 210, 13713, 210, 210
92, 63, 105, 3528, 210, 13860, 210, 210
93, 42, 126, 3633, 210, 13692, 231, 210
94, 42, 126, 3507, 210, 13755, 231, 210
95, 42, 126, 3486, 210, 13692, 231, 210
96, 42, 126, 3528, 189, 13755, 231, 210
97, 42, 126, 3507, 189, 14154, 210, 210
98, 42, 126, 3507, 210, 13776, 210, 210
99, 42, 126, 3906, 210, 13944, 231, 210
100, 42, 126, 3549, 210, 14973, 231, 210
101, 42, 126, 3528, 189, 13713, 231, 210
102, 42, 126, 3528, 189, 13755, 231, 189
103, 42, 126, 3507, 189, 13692, 231, 210
104, 42, 126, 3507, 210, 13713, 231, 210
105, 42, 126, 3633, 210, 13860, 210, 210
106, 42, 126, 3465, 210, 13755, 210, 210
107, 42, 126, 3612, 210, 13713, 231, 210
108, 42, 126, 3507, 210, 13755, 210, 210
109, 42, 126, 3528, 210, 14238, 210, 210
110, 63, 105, 3528, 210, 13713, 231, 210
111, 42, 126, 3507, 210, 13713, 210, 210
