# trial, bytes, microseconds
0, 32, 1086.156982
1, 32, 567.835022
2, 32, 601.028015
3, 32, 543.789978
4, 32, 525.354980
5, 32, 526.046997
6, 32, 524.564026
7, 32, 521.898987
8, 32, 523.853027
9, 32, 519.304993
0, 64, 523.041016
1, 64, 533.812012
2, 64, 515.507019
3, 64, 512.471985
4, 64, 503.734985
5, 64, 510.558014
6, 64, 512.421997
7, 64, 512.711975
8, 64, 521.739014
9, 64, 512.341003
0, 128, 513.414001
1, 128, 513.973999
2, 128, 509.915985
3, 128, 512.091003
4, 128, 497.071991
5, 128, 492.984985
6, 128, 483.717010
7, 128, 483.747986
8, 128, 474.971008
9, 128, 478.446991
0, 256, 460.002991
1, 256, 465.352997
2, 256, 466.375000
3, 256, 467.596985
4, 256, 461.765991
5, 256, 451.105988
6, 256, 446.096985
7, 256, 448.872986
8, 256, 440.837006
9, 256, 448.731995
0, 512, 452.238007
1, 512, 443.893005
2, 512, 443.721985
3, 512, 439.654999
4, 512, 485.399994
5, 512, 450.144989
6, 512, 438.803009
7, 512, 439.505005
8, 512, 438.703003
9, 512, 455.424988
0, 1024, 445.626007
1, 1024, 442.971008
2, 1024, 447.329010
3, 1024, 446.256989
4, 1024, 445.636993
5, 1024, 443.451996
6, 1024, 455.074005
7, 1024, 444.503998
8, 1024, 451.427002
9, 1024, 441.718994
0, 2048, 451.647003
1, 2048, 442.651001
2, 2048, 440.066010
3, 2048, 441.368011
4, 2048, 452.438995
5, 2048, 444.222992
6, 2048, 445.165009
7, 2048, 444.533997
8, 2048, 438.532990
9, 2048, 451.085999
0, 4096, 451.997986
1, 4096, 446.979004
2, 4096, 448.791992
3, 4096, 442.359985
4, 4096, 447.329987
5, 4096, 450.144989
6, 4096, 440.886993
7, 4096, 441.087006
8, 4096, 448.541992
9, 4096, 443.221008
0, 8192, 460.644012
1, 8192, 449.072998
2, 8192, 445.476013
3, 8192, 451.397003
4, 8192, 454.171997
5, 8192, 452.869995
6, 8192, 449.973999
7, 8192, 445.335999
8, 8192, 451.377014
9, 8192, 448.652008
0, 16384, 452.368988
1, 16384, 445.756012
2, 16384, 446.346985
3, 16384, 451.277008
4, 16384, 442.519989
5, 16384, 448.471008
6, 16384, 449.734009
7, 16384, 446.398010
8, 16384, 439.894989
9, 16384, 442.410004
0, 32768, 451.747986
1, 32768, 448.670990
2, 32768, 453.450989
3, 32768, 446.768005
4, 32768, 449.664001
5, 32768, 457.067993
6, 32768, 447.278992
7, 32768, 445.265991
8, 32768, 443.571991
9, 32768, 449.743988
0, 65536, 457.569000
1, 65536, 466.876007
2, 65536, 453.100006
3, 65536, 463.690002
4, 65536, 461.246002
5, 65536, 452.428009
6, 65536, 456.005005
7, 65536, 454.722992
8, 65536, 452.868988
9, 65536, 460.433990
0, 131072, 484.028015
1, 131072, 467.237000
2, 131072, 464.210999
3, 131072, 465.113007
4, 131072, 471.674988
5, 131072, 473.769012
6, 131072, 464.903015
7, 131072, 470.442993
8, 131072, 464.121002
9, 131072, 483.557007
0, 262144, 554.510010
1, 262144, 523.922974
2, 262144, 525.745972
3, 262144, 528.210999
4, 262144, 530.335022
5, 262144, 524.544006
6, 262144, 529.122009
7, 262144, 518.973022
8, 262144, 526.948975
9, 262144, 526.757996
0, 524288, 619.791992
1, 524288, 578.155029
2, 524288, 580.619019
3, 524288, 579.908020
4, 524288, 587.642029
5, 524288, 580.117981
6, 524288, 578.666016
7, 524288, 577.513000
8, 524288, 578.484985
9, 524288, 580.328979
0, 1048576, 868.007996
1, 1048576, 701.497009
2, 1048576, 691.668030
3, 1048576, 696.135986
4, 1048576, 691.427002
5, 1048576, 687.849976
6, 1048576, 692.780029
7, 1048576, 696.646973
8, 1048576, 709.872009
9, 1048576, 699.562012
0, 2097152, 1054.317993
1, 2097152, 901.521973
2, 2097152, 877.958008
3, 2097152, 972.013000
4, 2097152, 879.088989
5, 2097152, 877.385986
6, 2097152, 879.690979
7, 2097152, 884.629028
8, 2097152, 879.820984
9, 2097152, 882.776978
0, 4194304, 1613.156982
1, 4194304, 1278.568970
2, 4194304, 1240.156982
3, 4194304, 1269.953003
4, 4194304, 1239.685059
5, 4194304, 1221.020996
6, 4194304, 1220.399048
7, 4194304, 1198.067017
8, 4194304, 1208.767944
9, 4194304, 1206.302979
0, 8388608, 2722.528076
1, 8388608, 2224.483887
2, 8388608, 2171.705078
3, 8388608, 2155.083984
4, 8388608, 2380.575928
5, 8388608, 2126.289062
6, 8388608, 2118.564941
7, 8388608, 2181.072021
8, 8388608, 2274.406982
9, 8388608, 2167.175049
0, 16777216, 5087.834961
1, 16777216, 4453.154785
2, 16777216, 4478.541016
3, 16777216, 4298.483887
4, 16777216, 4319.463867
5, 16777216, 4256.895996
6, 16777216, 4307.981934
7, 16777216, 4278.166016
8, 16777216, 4241.708008
9, 16777216, 4394.153809
