# trial, microseconds
0, 1048
1, 102
2, 97
3, 96
4, 95
5, 95
6, 94
7, 95
8, 95
9, 103
10, 95
11, 94
12, 95
13, 94
14, 95
15, 94
16, 95
17, 96
18, 95
19, 95
20, 95
21, 100
22, 95
23, 95
24, 95
25, 95
26, 95
27, 96
28, 94
29, 95
30, 118
31, 115
32, 95
33, 94
34, 94
35, 95
36, 94
37, 94
38, 101
39, 117
40, 113
41, 95
42, 96
43, 94
44, 100
45, 95
46, 95
47, 96
48, 95
49, 94
50, 95
51, 95
52, 96
53, 94
54, 96
55, 95
56, 95
57, 97
58, 94
59, 95
60, 96
61, 94
62, 95
63, 98
64, 109
65, 105
66, 118
67, 105
68, 95
69, 95
70, 94
71, 95
72, 95
73, 94
74, 109
75, 118
76, 103
77, 95
78, 95
79, 95
80, 102
81, 95
82, 100
83, 96
84, 95
85, 96
86, 94
87, 95
88, 94
89, 95
90, 94
91, 95
92, 95
93, 95
94, 94
95, 95
96, 95
97, 95
98, 95
99, 95
100, 95
101, 115
102, 114
103, 95
104, 94
105, 96
106, 94
107, 95
108, 95
109, 95
110, 118
111, 102
112, 94
113, 94
114, 95
115, 95
116, 97
117, 94
118, 95
119, 95
120, 95
121, 94
122, 95
123, 95
124, 94
125, 94
126, 95
127, 95
128, 95
129, 95
130, 95
131, 95
132, 94
133, 95
134, 95
135, 95
136, 95
137, 115
138, 115
139, 95
140, 95
141, 94
142, 95
143, 94
144, 93
145, 95
146, 117
147, 112
148, 95
149, 94
150, 94
151, 100
152, 97
153, 95
154, 95
155, 95
156, 96
157, 95
158, 95
159, 94
160, 95
161, 94
162, 94
163, 95
164, 95
165, 96
166, 94
167, 95
168, 94
169, 95
170, 95
171, 95
172, 94
173, 118
174, 109
175, 94
176, 95
177, 94
178, 95
179, 95
180, 95
181, 95
182, 95
183, 100
184, 95
185, 95
186, 95
187, 103
188, 96
189, 94
190, 95
191, 95
192, 96
193, 95
194, 96
195, 96
196, 94
197, 94
198, 94
199, 94
200, 94
201, 95
202, 95
203, 94
204, 95
205, 95
206, 94
207, 95
208, 95
209, 107
210, 115
211, 97
212, 94
213, 95
214, 95
215, 95
216, 95
