# trial, microseconds
0, 1181
1, 104
2, 91
3, 91
4, 90
5, 90
6, 90
7, 90
8, 90
9, 90
10, 90
11, 90
12, 90
13, 90
14, 90
15, 112
16, 111
17, 90
18, 90
19, 89
20, 90
21, 91
22, 90
23, 89
24, 89
25, 90
26, 90
27, 90
28, 89
29, 91
30, 90
31, 90
32, 90
33, 95
34, 90
35, 90
36, 90
37, 90
38, 90
39, 89
40, 90
41, 98
42, 90
43, 90
44, 90
45, 90
46, 90
47, 90
48, 90
49, 90
50, 89
51, 90
52, 90
53, 90
54, 90
55, 90
56, 90
57, 89
58, 90
59, 90
60, 90
61, 90
62, 95
63, 93
64, 114
65, 90
66, 90
67, 90
68, 89
69, 90
70, 104
71, 90
72, 90
73, 90
74, 91
75, 89
76, 90
77, 90
78, 90
79, 90
80, 90
81, 90
82, 89
83, 90
84, 90
85, 90
86, 90
87, 90
88, 90
89, 90
90, 90
91, 89
92, 90
93, 90
94, 89
95, 90
96, 90
97, 90
98, 90
99, 90
100, 90
101, 90
102, 90
103, 90
104, 89
105, 90
106, 90
107, 89
108, 102
109, 91
110, 90
111, 90
112, 90
113, 90
114, 90
115, 90
116, 89
117, 90
118, 90
119, 90
120, 90
121, 90
122, 90
123, 91
124, 90
125, 90
126, 89
127, 90
128, 92
129, 91
130, 91
131, 90
132, 90
133, 89
134, 90
135, 89
136, 90
137, 90
138, 89
139, 90
140, 90
141, 89
142, 89
143, 90
144, 89
145, 89
146, 95
147, 90
148, 90
149, 90
150, 90
151, 89
152, 90
153, 90
154, 90
155, 90
156, 90
157, 90
158, 89
159, 90
160, 90
161, 90
162, 89
163, 89
164, 90
165, 90
166, 100
167, 112
168, 99
169, 90
170, 89
171, 90
172, 89
173, 89
174, 91
175, 90
176, 89
177, 90
178, 89
179, 90
180, 97
181, 90
182, 89
183, 90
184, 99
185, 95
186, 90
187, 91
188, 90
189, 91
190, 90
191, 91
192, 91
193, 90
194, 90
195, 90
196, 90
197, 89
198, 90
199, 90
200, 89
201, 89
202, 89
203, 89
204, 112
205, 112
206, 90
207, 91
208, 90
209, 89
210, 90
211, 89
212, 89
213, 94
214, 89
215, 89
216, 90
217, 89
218, 91
219, 90
220, 89
221, 94
222, 91
223, 90
224, 90
225, 90
226, 91
227, 90
228, 90
229, 90
230, 89
231, 90
232, 90
233, 90
234, 90
235, 90
236, 90
237, 89
238, 90
239, 91
240, 90
241, 93
242, 112
243, 105
244, 90
245, 90
246, 90
247, 90
248, 90
249, 90
250, 89
251, 90
252, 90
253, 90
254, 90
255, 91
256, 91
257, 91
258, 91
259, 105
260, 91
261, 91
262, 90
263, 89
264, 90
265, 97
266, 91
267, 90
268, 90
269, 90
270, 90
271, 90
272, 89
273, 90
274, 90
275, 90
276, 90
277, 90
278, 90
279, 103
280, 112
281, 94
282, 90
283, 90
284, 90
285, 90
286, 90
287, 91
288, 90
289, 89
290, 90
291, 90
292, 90
293, 89
294, 90
295, 89
296, 110
297, 91
298, 90
299, 90
300, 90
301, 90
302, 90
303, 89
304, 91
305, 90
306, 90
307, 90
308, 89
309, 90
310, 89
311, 89
312, 89
313, 90
314, 90
315, 90
316, 90
317, 90
318, 90
319, 94
320, 91
321, 90
322, 90
323, 90
324, 90
325, 90
326, 90
327, 90
328, 90
329, 89
330, 90
331, 90
332, 90
333, 90
334, 102
335, 91
336, 95
337, 90
338, 90
339, 89
340, 90
341, 90
342, 90
343, 90
344, 90
345, 90
346, 90
347, 90
348, 89
349, 90
350, 90
351, 90
352, 90
353, 89
354, 90
355, 90
356, 90
357, 90
358, 90
359, 90
360, 90
361, 90
362, 89
363, 89
364, 90
365, 90
366, 89
367, 90
368, 89
369, 90
370, 90
371, 90
372, 97
373, 90
374, 90
375, 90
376, 90
377, 90
378, 89
379, 90
380, 89
381, 90
382, 90
383, 91
384, 90
385, 89
386, 89
387, 90
388, 93
389, 90
390, 90
391, 90
392, 89
393, 89
394, 89
395, 90
396, 90
397, 90
398, 90
399, 90
400, 90
401, 89
402, 90
403, 90
404, 93
405, 90
406, 90
407, 89
408, 89
409, 90
410, 100
411, 92
412, 90
413, 90
414, 90
415, 90
416, 90
417, 90
418, 89
419, 90
420, 93
421, 90
422, 95
423, 90
424, 90
425, 90
426, 90
427, 90
428, 89
429, 90
430, 90
431, 90
432, 97
433, 90
434, 90
435, 90
436, 95
437, 90
438, 90
439, 90
440, 89
441, 90
442, 89
443, 89
444, 89
445, 90
446, 89
447, 90
448, 95
449, 89
450, 93
451, 90
452, 92
453, 90
454, 90
455, 89
456, 90
457, 90
458, 90
459, 90
460, 90
461, 90
462, 90
463, 90
464, 90
465, 90
466, 90
467, 90
468, 92
469, 90
470, 89
471, 89
472, 90
473, 90
474, 89
475, 89
476, 89
477, 89
478, 90
479, 95
480, 90
481, 89
482, 90
483, 90
484, 93
485, 89
486, 122
487, 92
488, 90
489, 90
490, 90
491, 90
492, 89
493, 90
494, 90
495, 90
496, 90
497, 90
498, 89
499, 90
500, 90
501, 90
502, 90
503, 90
504, 90
505, 90
506, 91
507, 90
508, 90
509, 91
510, 90
511, 91
512, 90
513, 89
514, 90
515, 89
516, 90
517, 91
518, 90
519, 90
520, 90
521, 90
522, 90
523, 90
524, 94
525, 90
526, 90
527, 90
528, 90
529, 90
530, 89
531, 89
532, 90
533, 90
534, 90
535, 90
536, 90
537, 90
538, 90
539, 90
540, 90
541, 90
542, 90
543, 90
544, 89
545, 90
546, 90
547, 89
548, 90
549, 89
550, 90
551, 89
552, 90
553, 90
554, 89
555, 90
556, 90
557, 90
558, 89
559, 89
560, 89
561, 91
562, 90
563, 101
564, 91
565, 90
566, 90
567, 90
568, 90
569, 90
570, 89
571, 89
572, 89
573, 90
574, 90
575, 92
576, 92
577, 90
578, 89
579, 89
580, 89
581, 90
582, 90
583, 90
584, 90
585, 90
586, 90
587, 90
588, 90
589, 89
590, 90
591, 90
592, 92
593, 90
594, 90
595, 90
596, 90
597, 90
598, 90
599, 90
600, 90
601, 121
602, 91
603, 90
604, 90
605, 90
606, 89
607, 90
608, 90
609, 90
610, 89
611, 90
612, 89
613, 89
614, 90
615, 90
616, 90
617, 90
618, 89
619, 91
620, 90
621, 89
622, 90
623, 89
624, 90
625, 89
626, 89
627, 90
628, 89
629, 90
630, 89
631, 89
632, 90
633, 90
634, 90
635, 91
636, 90
637, 89
638, 89
639, 102
640, 91
641, 90
642, 90
643, 90
644, 90
645, 90
646, 91
647, 89
648, 90
649, 90
650, 90
651, 90
652, 90
653, 90
654, 90
655, 90
656, 89
657, 90
658, 90
659, 90
660, 92
661, 91
662, 90
663, 90
664, 90
665, 90
666, 90
667, 90
668, 90
669, 90
670, 90
671, 89
672, 89
673, 90
674, 90
675, 90
676, 90
677, 94
678, 90
679, 89
680, 90
681, 90
682, 90
683, 90
684, 90
685, 90
686, 91
687, 89
688, 89
689, 90
690, 89
691, 90
692, 90
693, 90
694, 90
695, 89
696, 90
697, 90
698, 89
699, 94
700, 90
701, 89
702, 89
703, 90
704, 90
705, 89
706, 90
707, 90
708, 90
709, 90
710, 89
711, 89
712, 89
713, 90
714, 90
715, 93
716, 94
717, 90
718, 90
719, 89
720, 90
721, 90
722, 89
723, 89
724, 89
725, 89
726, 90
727, 90
728, 90
729, 90
730, 90
731, 89
732, 90
733, 90
734, 90
735, 90
736, 90
737, 90
738, 89
739, 90
740, 90
741, 89
742, 90
743, 90
744, 90
745, 91
746, 90
747, 89
748, 90
749, 90
750, 89
751, 89
752, 90
753, 90
754, 136
755, 91
756, 91
757, 89
758, 90
759, 90
760, 90
761, 89
762, 90
763, 90
764, 90
765, 90
766, 90
767, 90
768, 91
769, 90
770, 89
771, 89
772, 90
773, 90
774, 89
775, 89
776, 91
777, 89
778, 90
779, 89
780, 89
781, 90
782, 90
783, 89
784, 90
785, 94
786, 90
787, 90
788, 90
789, 90
790, 90
791, 90
792, 95
793, 90
794, 90
795, 89
796, 90
797, 89
798, 89
799, 90
800, 90
801, 90
802, 89
803, 90
804, 89
805, 90
806, 90
807, 90
808, 90
809, 90
810, 89
811, 90
812, 90
813, 90
814, 93
815, 89
816, 89
817, 90
818, 90
819, 90
820, 90
821, 90
822, 90
823, 90
824, 90
825, 90
826, 90
827, 90
828, 90
829, 90
830, 127
831, 92
832, 90
833, 91
834, 90
835, 90
836, 90
837, 90
838, 90
839, 90
840, 90
841, 90
842, 95
843, 90
844, 90
845, 90
846, 90
847, 90
848, 90
849, 89
850, 90
851, 90
852, 90
853, 90
854, 90
855, 90
856, 90
857, 90
