# trial, latency
0,1718
1,453
2,440
3,435
4,472
5,433
6,497
7,438
8,436
9,430
10,429
11,472
12,434
13,482
14,428
15,441
16,430
17,428
18,430
19,428
20,471
21,428
22,478
23,429
24,444
25,436
26,434
27,429
28,427
29,474
30,431
31,490
32,431
33,436
34,435
35,434
36,430
37,429
38,435
39,430
40,487
41,432
42,437
43,431
44,431
45,432
46,432
47,438
48,435
49,468
50,446
51,435
52,431
53,434
54,432
55,430
56,476
57,431
58,463
59,451
60,434
61,435
62,435
63,435
64,432
65,437
66,435
67,460
68,461
69,429
70,438
71,432
72,429
73,433
74,471
75,430
76,438
77,468
78,432
79,438
80,432
81,435
82,435
83,473
84,436
85,449
86,469
87,432
88,438
89,433
90,434
91,430
92,464
93,438
94,430
95,470
96,434
97,439
98,431
99,434
