# trial, latency (cycles)
0, 451890
1, 371160
2, 357720
3, 337830
4, 327540
5, 320550
6, 307020
7, 282600
8, 289530
9, 277110
10, 306180
11, 315870
12, 277620
13, 283980
14, 284220
15, 335040
16, 380520
17, 343770
18, 310290
19, 312210
20, 335070
21, 302850
22, 298980
23, 300960
24, 298440
25, 318840
26, 300840
27, 299610
28, 337650
29, 295950
30, 327810
31, 297870
32, 305310
33, 293820
34, 291270
35, 319890
36, 285930
37, 288900
38, 281580
39, 282900
40, 290220
41, 295500
42, 302760
43, 297720
44, 282900
45, 412320
46, 360300
47, 355650
48, 277200
49, 304290
50, 256260
51, 333150
52, 255450
53, 295230
54, 532470
55, 271530
56, 327570
57, 261660
58, 256320
59, 261420
60, 255450
61, 272880
62, 265710
63, 261810
64, 263880
65, 290310
66, 293460
67, 280530
68, 262800
69, 259470
70, 265140
71, 254460
72, 276000
73, 258690
74, 260430
75, 284730
76, 287970
77, 297600
78, 265650
79, 258240
80, 254040
81, 272130
82, 269880
83, 271320
84, 266760
85, 253590
86, 253350
87, 260370
88, 344850
89, 277110
90, 271740
91, 277530
92, 273060
93, 325290
94, 287970
95, 283770
96, 285570
97, 289260
98, 329880
99, 289410
100, 278970
101, 276720
102, 294150
103, 308610
104, 287250
105, 290640
106, 277650
107, 285120
108, 295170
109, 274290
110, 270600
111, 286200
112, 284220
113, 274380
114, 303120
115, 284460
116, 271050
117, 273510
118, 282210
119, 309600
120, 284730
121, 281400
122, 277800
123, 278550
124, 317460
125, 278550
126, 280890
127, 279300
128, 275880
129, 312000
130, 285600
131, 307290
132, 276330
133, 290880
134, 310440
135, 273690
136, 288600
137, 282090
138, 302130
139, 277860
140, 313890
141, 290040
142, 267780
143, 271800
144, 267210
145, 297930
146, 282180
147, 273810
148, 270480
149, 274710
150, 291600
151, 290730
152, 269400
153, 280890
154, 274260
155, 294300
156, 276570
157, 289560
158, 270660
159, 266670
160, 288750
161, 301860
162, 294480
163, 272370
164, 263280
165, 264630
166, 303540
167, 283350
168, 288270
169, 272940
170, 264690
171, 297810
172, 282150
173, 269640
174, 264450
175, 266400
176, 310080
177, 269670
178, 264360
179, 270450
180, 428250
181, 326010
182, 273120
183, 267240
184, 263310
185, 276900
186, 297420
187, 301650
188, 273150
189, 281820
190, 280620
191, 292290
192, 320580
193, 283740
194, 284520
195, 271530
196, 304860
197, 306120
198, 255450
199, 246540
200, 246870
201, 261810
202, 267720
203, 248670
204, 252270
205, 248340
206, 281250
207, 252930
208, 265830
209, 252480
210, 241470
211, 269100
212, 248610
213, 260550
214, 253440
215, 244260
216, 265050
217, 275340
218, 270270
219, 250140
220, 261090
221, 253950
222, 259680
223, 282600
224, 324840
225, 282720
226, 281040
227, 276570
228, 284220
229, 311340
230, 275370
231, 274950
232, 297690
233, 255630
234, 268050
235, 256710
236, 252090
237, 269700
238, 265470
239, 267360
240, 261120
241, 248370
242, 246600
243, 252840
244, 257970
245, 267030
246, 250200
247, 253470
248, 258180
249, 265500
250, 256770
251, 260940
252, 262440
253, 270600
254, 258210
255, 288660
256, 252480
257, 245040
258, 266850
259, 249930
260, 273510
261, 251160
262, 250290
263, 271050
264, 251130
265, 287430
266, 246840
267, 276690
268, 316140
269, 328830
270, 311100
271, 287370
272, 277980
273, 286530
274, 274620
275, 278430
276, 287970
277, 269760
278, 277770
279, 263640
280, 278100
281, 274620
282, 262440
283, 258960
284, 259980
285, 262890
286, 276990
287, 262920
288, 267420
289, 260550
290, 254310
291, 269310
292, 257010
293, 265020
294, 258090
295, 259410
296, 271770
297, 258480
298, 253380
299, 266520
300, 259260
301, 259770
302, 291300
303, 262680
304, 265080
305, 257190
306, 259470
307, 290400
308, 266640
309, 264090
310, 249750
311, 251070
312, 755580
313, 295920
314, 275790
315, 278550
316, 286020
317, 309750
318, 284250
319, 290520
320, 279420
321, 272520
322, 298350
323, 301500
324, 268710
325, 266430
326, 273240
327, 296100
328, 326910
329, 271470
330, 273990
331, 273780
332, 285720
333, 328470
334, 291660
335, 299790
336, 289470
337, 287190
338, 302790
339, 275580
340, 272220
341, 302730
342, 290250
343, 289080
344, 310500
345, 275610
346, 271980
347, 294210
348, 277860
349, 296880
350, 278790
351, 270270
352, 468900
353, 290940
354, 330420
355, 328710
356, 284580
357, 289950
358, 289440
359, 321420
360, 271020
361, 274200
362, 274800
363, 278310
364, 291090
365, 288840
366, 259290
367, 267600
368, 283980
369, 256980
370, 267210
371, 252510
372, 256290
373, 259350
374, 253650
375, 261360
376, 247200
377, 272610
378, 262530
379, 259530
380, 267450
381, 279750
382, 256620
383, 256470
384, 252600
385, 288540
386, 292770
387, 266310
388, 256320
389, 257790
390, 287370
391, 285510
392, 262680
393, 258180
394, 273690
395, 311430
396, 290340
397, 273450
398, 270240
399, 276270
400, 295890
401, 306990
402, 286020
403, 278280
404, 288210
405, 281880
406, 310950
407, 266010
408, 265440
409, 261810
410, 268740
411, 324480
412, 289170
413, 313770
414, 284220
415, 292110
416, 296670
417, 287610
418, 293610
419, 278310
420, 281880
421, 302520
422, 308130
423, 287910
424, 281580
425, 297810
426, 278490
427, 294420
428, 265290
429, 275700
430, 288810
431, 274950
432, 297000
433, 276180
434, 266160
435, 284910
436, 319590
437, 292290
438, 282720
439, 305070
440, 319260
441, 266880
442, 266490
443, 297570
444, 277770
445, 276180
446, 290010
447, 276720
448, 289170
449, 299460
450, 290520
451, 270480
452, 269430
453, 301050
454, 284940
455, 275520
456, 275160
457, 273390
458, 279990
459, 272010
460, 310380
461, 265830
462, 267180
463, 282390
464, 273300
465, 282930
466, 329640
467, 264630
468, 262530
469, 272790
470, 270840
471, 265830
472, 259350
473, 260850
474, 285960
475, 276420
476, 340500
477, 281430
478, 605490
479, 296940
480, 281580
481, 281730
482, 275370
483, 279960
484, 289320
485, 271590
486, 310620
487, 288750
488, 300900
489, 285870
490, 298740
491, 301830
492, 281100
493, 300630
494, 272550
495, 293340
496, 266940
497, 290730
498, 290730
499, 257070
500, 271860
501, 249090
502, 251070
503, 261450
504, 247050
505, 271020
506, 251760
507, 260370
508, 266700
509, 248490
510, 279630
511, 260970
512, 257670
513, 274170
514, 278640
515, 254670
516, 274350
517, 249180
518, 268860
519, 263280
520, 325920
521, 302010
522, 276480
523, 275010
524, 290550
525, 277020
526, 295380
527, 279300
528, 277140
529, 280380
530, 280470
531, 288600
532, 357810
533, 274620
534, 298710
535, 278100
536, 277680
537, 333600
538, 277020
539, 288900
540, 274140
541, 265770
542, 389700
543, 283980
544, 291780
545, 273090
546, 277800
547, 316590
548, 275010
549, 279960
550, 269940
551, 264000
552, 297930
553, 290550
554, 272820
555, 288540
556, 263100
557, 285390
558, 274680
559, 269280
560, 264270
561, 658800
562, 309720
563, 298980
564, 276240
565, 275340
566, 271950
567, 275100
568, 272730
569, 255540
570, 273510
571, 258240
572, 261960
573, 275160
574, 287100
575, 300150
576, 278460
577, 276540
578, 292530
579, 273540
580, 295650
581, 273960
582, 281520
583, 280530
584, 298140
585, 302940
586, 267960
587, 263430
588, 268110
589, 280140
590, 269220
591, 262080
592, 254700
593, 248490
594, 259650
595, 251070
596, 244620
597, 264060
598, 249360
599, 257550
600, 248310
601, 243300
602, 261720
603, 261240
604, 283890
605, 306030
606, 274590
607, 266010
608, 267840
609, 268530
610, 293040
611, 261060
612, 259770
613, 261240
614, 258300
615, 297030
616, 262470
617, 267150
618, 260850
619, 262080
620, 277500
621, 287460
622, 262710
623, 259440
624, 259380
625, 283170
626, 279930
627, 266880
628, 265080
629, 256620
630, 264030
631, 293580
632, 272670
633, 270870
634, 262080
635, 261120
636, 287940
637, 296790
638, 277020
639, 268080
640, 269790
641, 298590
642, 300330
643, 304110
644, 281280
645, 278880
646, 323670
647, 919500
648, 285840
649, 271800
650, 276180
651, 298350
652, 300000
653, 278010
654, 278100
655, 269160
656, 273030
657, 332040
658, 303240
659, 283770
660, 279630
661, 274860
662, 317310
663, 311040
664, 320550
665, 286560
666, 277470
667, 297180
668, 290910
669, 277860
670, 284490
671, 278400
672, 296820
673, 289620
674, 283680
675, 278790
676, 265560
677, 265560
678, 294540
679, 271560
680, 270780
681, 271050
682, 258930
683, 284640
684, 309720
685, 326520
686, 302250
687, 325380
688, 294810
689, 266850
690, 270840
691, 264540
692, 290040
693, 286530
694, 269820
695, 264330
696, 261510
697, 273360
698, 264300
699, 274200
700, 260970
701, 263490
702, 294960
703, 286110
704, 284340
705, 266550
706, 264840
707, 273840
708, 266880
709, 280110
710, 274710
711, 270840
712, 274410
713, 277830
714, 291510
715, 266190
716, 262530
717, 339330
718, 326880
719, 288390
720, 315780
721, 287340
722, 307890
723, 277950
724, 264120
725, 290130
726, 279450
727, 304980
728, 488310
729, 276150
730, 289140
731, 273870
732, 280830
733, 269640
734, 279630
735, 291240
736, 269160
737, 266010
738, 287700
739, 280710
740, 308040
741, 288750
742, 280590
743, 281880
744, 273150
745, 291150
746, 327660
747, 283740
748, 273930
749, 271290
750, 295320
751, 301980
752, 268140
753, 271710
754, 271080
755, 267900
756, 291780
757, 268440
758, 274350
759, 265890
760, 286560
761, 314190
762, 303450
763, 277500
764, 284310
765, 280110
766, 307500
767, 302880
768, 276390
769, 290100
770, 302490
771, 280950
772, 292770
773, 264870
774, 275610
775, 325650
776, 269460
777, 284970
778, 259830
779, 267600
780, 271020
781, 258750
782, 269370
783, 302280
784, 295860
785, 291660
786, 278910
787, 295230
788, 266010
789, 289680
790, 325560
791, 272160
792, 267720
793, 358710
794, 284310
795, 280230
796, 267300
797, 258270
798, 301470
799, 271200
800, 284940
801, 263130
802, 257160
803, 309420
804, 269610
805, 278820
806, 272190
807, 274830
808, 305760
809, 270540
810, 284880
811, 286050
812, 265620
813, 281220
814, 282150
815, 333750
816, 320430
817, 263370
818, 268140
819, 302580
820, 305190
821, 274740
822, 274950
823, 271500
824, 292230
825, 289260
826, 278550
827, 278610
828, 272100
829, 295650
830, 309510
831, 286710
832, 267960
833, 267330
834, 265170
835, 329160
836, 280680
837, 273990
838, 266670
839, 257850
840, 300150
841, 267750
842, 264060
843, 267000
844, 265140
845, 289290
846, 290910
847, 265470
848, 284910
849, 266280
850, 333180
851, 265320
852, 271410
853, 268860
854, 283890
855, 321690
856, 273810
857, 268470
858, 264690
859, 261180
860, 279450
861, 309600
862, 270750
863, 268500
864, 262830
865, 274410
866, 283980
867, 271170
868, 260340
869, 252240
870, 276750
871, 352860
872, 282510
873, 283350
874, 272970
875, 286440
876, 294180
877, 274020
878, 269550
879, 273660
880, 283350
881, 290340
882, 303240
883, 276870
884, 266760
885, 277500
886, 268830
887, 281040
888, 295110
889, 295350
890, 278220
891, 267360
892, 296760
893, 288750
894, 280080
895, 283500
896, 703080
897, 328020
898, 317040
899, 270960
900, 271170
901, 262710
902, 291600
903, 378750
904, 287640
905, 268800
906, 267780
907, 266880
908, 283620
909, 261780
910, 264840
911, 268800
912, 275280
913, 281010
914, 261960
915, 265980
916, 259740
917, 265410
918, 302490
919, 273030
920, 268680
921, 272520
922, 267480
923, 303900
924, 259860
925, 265590
926, 271290
927, 273930
928, 284640
929, 277080
930, 262800
931, 259890
932, 257160
933, 274320
934, 297420
935, 261600
936, 308730
937, 309690
938, 260700
939, 286920
940, 267480
941, 273450
942, 268950
943, 273090
944, 290730
945, 260370
946, 269100
947, 275610
948, 272340
949, 268200
950, 300120
951, 275250
952, 289770
953, 270660
954, 263370
955, 314220
956, 273330
957, 275580
958, 279990
959, 259650
960, 281640
961, 266970
962, 280470
963, 285540
964, 263910
965, 275550
966, 282630
967, 276750
968, 258810
969, 264960
970, 301770
971, 313290
972, 275760
973, 262860
974, 285450
975, 271020
976, 302430
977, 259740
978, 255390
979, 257190
980, 673920
981, 301560
982, 270360
983, 264360
984, 267330
985, 267390
986, 284550
987, 267300
988, 286350
989, 265170
990, 275070
991, 318480
992, 304230
993, 262680
994, 274230
995, 254490
996, 257550
997, 279750
998, 257490
999, 272400
