# trial, us for 1000 calls
0, 109358
1, 106727
2, 106692
3, 106230
4, 104534
5, 104485
6, 104565
7, 104530
8, 104336
9, 104353
10, 104455
11, 104376
12, 104492
13, 104538
14, 104423
15, 104433
16, 104433
17, 104267
18, 104041
19, 104076
20, 104010
21, 103954
22, 103944
23, 103923
24, 104008
25, 103977
26, 103918
27, 104523
28, 104249
29, 104125
30, 104115
31, 104056
32, 104242
33, 107659
34, 107655
35, 107648
36, 107642
37, 107586
38, 107748
39, 107717
40, 107667
41, 107493
42, 107557
43, 107415
44, 107457
45, 107671
46, 106154
47, 106792
48, 106657
49, 106498
50, 106387
51, 106550
52, 106288
53, 106661
54, 114948
55, 118486
56, 117920
57, 108377
58, 107155
59, 106867
60, 106923
61, 107044
62, 107219
63, 106776
64, 106773
65, 106799
66, 109059
67, 109156
68, 109302
69, 109150
70, 107746
71, 106404
72, 106343
73, 106445
74, 106418
75, 106205
76, 106127
77, 106391
78, 106345
79, 106391
80, 106528
81, 106418
82, 106287
83, 106132
84, 105375
85, 104191
86, 104212
87, 104151
88, 104140
89, 104126
90, 104444
91, 104352
92, 104175
93, 104033
94, 103951
95, 103910
96, 103881
97, 104059
98, 103619
99, 103577
