# trial, us for 1000 calls
0, 121227
1, 114302
2, 110405
3, 110732
4, 111324
5, 110868
6, 110821
7, 110811
8, 110817
9, 114361
10, 122028
11, 122047
12, 116687
13, 110990
14, 110998
15, 110759
16, 110728
17, 114539
18, 114968
19, 110446
20, 110113
21, 109953
22, 117848
23, 118554
24, 109906
25, 110055
26, 110204
27, 110053
28, 108601
29, 108505
30, 108321
31, 108410
32, 108191
33, 107785
34, 109565
35, 115488
36, 108151
37, 107967
38, 107959
39, 107699
40, 107731
41, 107631
42, 107471
43, 107325
44, 107160
45, 107143
46, 107326
47, 107354
48, 110022
49, 110603
50, 115115
51, 114954
52, 108076
53, 108042
54, 108138
55, 108136
56, 108074
57, 108730
58, 108199
59, 108241
60, 108355
61, 108066
62, 107771
63, 107811
64, 107914
65, 114033
66, 116804
67, 111059
68, 110287
69, 110505
70, 110038
71, 110107
72, 110477
73, 109971
74, 110012
75, 110037
76, 109880
77, 119536
78, 121777
79, 121558
80, 121063
81, 120902
82, 120650
83, 120790
84, 115656
85, 110118
86, 109895
87, 109866
88, 110087
89, 110774
90, 110840
91, 110674
92, 110956
93, 110409
94, 110626
95, 110475
96, 110392
97, 110138
98, 109869
99, 109909
