# trial, latency
0,412
1,322
2,308
3,310
4,307
5,306
6,306
7,309
8,307
9,314
10,306
11,304
12,304
13,304
14,302
15,306
16,304
17,303
18,302
19,304
20,302
21,302
22,306
23,302
24,301
25,302
26,301
27,301
28,301
29,307
30,302
31,300
32,300
33,301
34,299
35,305
36,300
37,301
38,301
39,306
40,300
41,299
42,301
43,301
44,300
45,301
46,300
47,300
48,304
49,300
50,300
51,301
52,301
53,300
54,301
55,302
56,299
57,300
58,300
59,301
60,300
61,301
62,304
63,301
64,300
65,300
66,300
67,300
68,299
69,301
70,301
71,300
72,300
73,305
74,302
75,305
76,301
77,300
78,301
79,300
80,301
81,305
82,301
83,301
84,300
85,301
86,300
87,300
88,303
89,304
90,306
91,300
92,300
93,300
94,300
95,299
96,302
97,302
98,301
99,300
100,302
101,303
102,303
103,301
104,299
105,299
106,299
107,299
108,299
109,300
110,299
111,299
112,299
113,298
114,304
115,304
116,302
117,301
118,300
119,300
120,300
121,300
122,300
123,300
124,299
125,300
126,300
127,299
128,306
129,300
130,302
131,301
132,300
133,300
134,299
135,299
136,300
137,301
138,300
139,300
140,299
141,302
142,301
143,300
144,300
145,299
146,299
147,300
148,300
149,299
150,300
151,301
152,300
153,299
154,301
155,304
156,300
157,301
158,300
159,300
160,301
161,300
162,299
163,300
164,301
165,300
166,299
167,300
168,302
169,301
170,301
171,301
172,300
173,301
174,300
175,299
176,299
177,299
178,299
179,299
180,300
181,302
182,300
183,298
184,300
185,300
186,299
187,300
188,299
189,299
190,298
191,300
192,299
193,300
194,300
195,303
196,300
197,301
198,299
199,298
200,300
201,300
202,299
203,300
204,301
205,299
206,298
207,299
208,302
209,299
210,299
211,300
212,301
213,298
214,299
215,299
216,299
217,299
218,299
219,300
220,299
221,303
222,299
223,299
224,300
225,300
226,300
227,299
228,299
229,299
230,299
231,299
232,299
233,299
234,300
235,301
236,300
237,299
238,299
239,299
240,299
241,300
242,299
243,299
244,300
245,299
246,299
247,299
248,301
249,300
250,300
251,298
252,298
253,299
254,299
255,304
256,302
257,301
258,300
259,298
260,303
261,303
262,300
263,299
264,299
265,299
266,302
267,301
268,300
269,300
270,299
271,299
272,298
273,300
274,300
275,310
276,300
277,299
278,300
279,301
280,300
281,300
282,300
283,300
284,303
285,301
286,301
287,299
288,303
289,299
290,298
291,299
292,299
293,298
294,302
295,300
296,301
297,299
298,302
299,302
300,300
301,302
302,299
303,299
304,299
305,300
306,299
307,299
308,299
309,299
310,299
311,299
312,298
313,299
314,300
315,302
316,301
317,298
318,298
319,299
320,299
321,301
322,304
323,302
324,300
325,299
326,298
327,298
328,302
329,300
330,298
331,298
332,300
333,299
334,298
335,300
336,299
337,300
338,300
339,301
340,300
341,300
342,300
343,300
344,298
345,299
346,298
347,298
348,299
349,299
350,298
351,297
352,299
353,299
354,299
355,302
356,299
357,299
358,298
359,297
360,298
361,298
362,298
363,299
364,298
365,298
366,299
367,299
368,301
369,298
370,299
371,299
372,305
373,300
374,300
375,300
376,304
377,299
378,299
379,299
380,300
381,303
382,299
383,300
384,299
385,298
386,304
387,302
388,300
389,300
390,299
391,302
392,301
393,299
394,298
395,303
396,299
397,300
398,299
399,299
400,299
401,299
402,298
403,299
404,299
405,299
406,298
407,299
408,304
409,299
410,299
411,299
412,299
413,299
414,298
415,299
416,299
417,298
418,299
419,301
420,298
421,303
422,298
423,299
424,300
425,299
426,298
427,298
428,299
429,297
430,299
431,299
432,303
433,302
434,299
435,305
436,300
437,301
438,300
439,299
440,298
441,299
442,300
443,300
444,302
445,300
446,298
447,299
448,299
449,301
450,299
451,300
452,300
453,298
454,299
455,299
456,300
457,299
458,299
459,300
460,304
461,302
462,299
463,299
464,299
465,299
466,299
467,298
468,299
469,302
470,301
471,299
472,302
473,305
474,301
475,302
476,301
477,299
478,297
479,299
480,299
481,299
482,299
483,299
484,299
485,303
486,299
487,300
488,315
489,300
490,299
491,299
492,299
493,299
494,299
495,300
496,300
497,298
498,298
499,299
500,299
501,302
502,301
503,298
504,299
505,298
506,298
507,298
508,298
509,296
510,299
511,299
512,299
513,305
514,301
515,303
516,298
517,302
518,301
519,299
520,299
521,299
522,298
523,299
524,301
525,298
526,298
527,298
528,302
529,298
530,299
531,297
532,299
533,299
534,299
535,298
536,298
537,299
538,298
539,298
540,299
541,301
542,299
543,303
544,301
545,299
546,299
547,299
548,299
549,300
550,299
551,299
552,299
553,300
554,298
555,300
556,299
557,298
558,298
559,297
560,298
561,298
562,297
563,297
564,299
565,298
566,298
567,299
568,301
569,298
570,299
571,298
572,298
573,298
574,299
575,299
576,299
577,298
578,298
579,299
580,299
581,297
582,300
583,298
584,300
585,299
586,298
587,299
588,299
589,299
590,298
591,298
592,298
593,298
594,299
595,300
596,299
597,299
598,299
599,297
600,300
601,298
602,298
603,299
604,299
605,304
606,299
607,300
608,303
609,302
610,305
611,300
612,298
613,301
614,300
615,299
616,299
617,300
618,299
619,303
620,306
621,299
622,303
623,298
624,299
625,299
626,298
627,298
628,297
629,298
630,299
631,298
632,300
633,299
634,299
635,301
636,298
637,298
638,303
639,302
640,300
641,302
642,301
643,301
644,301
645,300
646,302
647,300
648,300
649,299
650,300
651,300
652,299
653,299
654,297
655,300
656,298
657,299
658,297
659,299
660,298
661,300
662,303
663,304
664,301
665,299
666,299
667,298
668,298
669,301
670,300
671,299
672,300
673,298
674,298
675,301
676,299
677,298
678,298
679,299
680,299
681,298
682,299
683,299
684,299
685,298
686,299
687,298
688,302
689,299
690,299
691,299
692,300
693,304
694,307
695,300
696,299
697,301
698,302
699,300
700,300
701,300
702,300
703,300
704,304
705,300
706,299
707,299
708,301
709,300
710,298
711,298
712,298
713,298
714,297
715,300
716,299
717,299
718,299
719,297
720,297
721,298
722,297
723,297
724,297
725,299
726,299
727,298
728,301
729,298
730,298
731,298
732,299
733,298
734,299
735,297
736,297
737,298
738,298
739,298
740,298
741,299
742,300
743,297
744,298
745,298
746,298
747,299
748,298
749,298
750,298
751,299
752,298
753,298
754,298
755,300
756,298
757,302
758,300
759,299
760,298
761,299
762,298
763,297
764,297
765,297
766,297
767,301
768,299
769,301
770,297
771,298
772,297
773,297
774,296
775,298
776,298
777,297
778,298
779,296
780,302
781,298
782,301
783,297
784,301
785,299
786,298
787,298
788,299
789,298
790,298
791,298
792,298
793,297
794,298
795,300
796,298
797,298
798,298
799,297
800,298
801,298
802,300
803,299
804,299
805,298
806,297
807,298
808,298
809,300
810,299
811,299
812,298
813,297
814,298
815,298
816,297
817,298
818,298
819,299
820,298
821,298
822,302
823,298
824,297
825,297
826,299
827,297
828,298
829,299
830,298
831,297
832,298
833,299
834,299
835,298
836,301
837,297
838,296
839,299
840,297
841,299
842,303
843,299
844,299
845,299
846,298
847,299
848,298
849,302
850,299
851,303
852,299
853,299
854,298
855,298
856,298
857,298
858,299
859,298
860,299
861,298
862,301
863,298
864,297
865,298
866,298
867,298
868,299
869,298
870,298
871,298
872,298
873,299
874,298
875,299
876,300
877,302
878,299
879,301
880,300
881,299
882,298
883,299
884,299
885,299
886,298
887,297
888,298
889,301
890,298
891,297
892,299
893,299
894,299
895,298
896,298
897,299
898,298
899,299
900,298
901,303
902,301
903,300
904,299
905,299
906,299
907,297
908,297
909,296
910,298
911,296
912,298
913,298
914,302
915,305
916,300
917,299
918,298
919,299
920,298
921,298
922,297
923,300
924,299
925,304
926,300
927,298
928,299
929,302
930,297
931,299
932,298
933,299
934,298
935,298
936,297
937,298
938,298
939,297
940,297
941,298
942,297
943,306
944,302
945,299
946,301
947,299
948,298
949,302
950,300
951,299
952,300
953,300
954,299
955,297
956,312
957,299
958,299
959,290
960,300
961,299
962,299
963,299
964,299
965,299
966,301
967,300
968,299
969,301
970,301
971,298
972,298
973,299
974,297
975,299
976,301
977,299
978,298
979,298
980,298
981,298
982,298
983,301
984,299
985,298
986,301
987,300
988,298
989,298
990,299
991,298
992,298
993,302
994,300
995,301
996,301
997,300
998,298
999,299
