# trial, latency
0,2154
1,528
2,514
3,555
4,503
5,548
6,504
7,503
8,517
9,527
10,528
11,511
12,501
13,507
14,512
15,503
16,504
17,503
18,503
19,503
20,504
21,519
22,508
23,503
24,510
25,503
26,503
27,504
28,548
29,506
30,556
31,503
32,504
33,502
34,503
35,505
36,554
37,504
38,556
39,504
40,505
41,505
42,542
43,511
44,557
45,503
46,502
47,524
48,524
49,538
50,524
51,515
52,504
53,502
54,504
55,547
56,504
57,512
58,504
59,515
60,504
61,504
62,503
63,548
64,507
65,516
66,504
67,516
68,505
69,503
70,502
71,514
72,503
73,512
74,503
75,512
76,502
77,543
78,501
79,557
80,503
81,504
82,517
83,537
84,516
85,534
86,502
87,503
88,542
89,509
90,556
91,507
92,502
93,504
94,544
95,503
96,559
97,502
98,510
99,503
