# trial, latency
0,2125
1,260
2,244
3,240
4,237
5,267
6,234
7,233
8,233
9,278
10,234
11,232
12,233
13,234
14,232
15,232
16,233
17,240
18,270
19,230
20,230
21,239
22,263
23,230
24,232
25,231
26,236
27,233
28,232
29,231
30,232
31,232
32,232
33,231
34,244
35,268
36,232
37,230
38,239
39,258
40,231
41,232
42,231
43,237
44,229
45,232
46,231
47,233
48,231
49,232
50,231
51,248
52,260
53,233
54,231
55,236
56,257
57,231
58,230
59,231
60,232
61,230
62,230
63,235
64,235
65,231
66,232
67,232
68,255
69,259
70,231
71,230
72,248
73,249
74,231
75,231
76,247
77,236
78,232
79,230
80,231
81,231
82,231
83,230
84,230
85,236
86,229
87,230
88,232
89,242
90,254
91,231
92,231
93,235
94,232
95,230
96,230
97,231
98,231
99,230
