# trial, latency
0,1727
1,183
2,171
3,168
4,165
5,162
6,162
7,162
8,161
9,160
10,160
11,161
12,161
13,160
14,159
15,167
16,164
17,159
18,159
19,159
20,161
21,158
22,165
23,160
24,158
25,160
26,159
27,159
28,160
29,160
30,161
31,160
32,160
33,160
34,161
35,159
36,161
37,159
38,161
39,160
40,169
41,160
42,158
43,159
44,160
45,159
46,159
47,160
48,161
49,159
50,160
51,160
52,159
53,159
54,159
55,160
56,158
57,158
58,158
59,159
60,160
61,158
62,158
63,163
64,163
65,166
66,159
67,159
68,158
69,160
70,159
71,160
72,159
73,159
74,160
75,158
76,158
77,158
78,179
79,190
80,159
81,160
82,159
83,158
84,160
85,160
86,160
87,160
88,158
89,159
90,168
91,159
92,161
93,159
94,160
95,158
96,160
97,159
98,158
99,158
