# trial, latency (cycles)
0, 277200
1, 128850
2, 128190
3, 128070
4, 128010
5, 127650
6, 127650
7, 128010
8, 127890
9, 127620
10, 128010
11, 128310
12, 128070
13, 127680
14, 128250
15, 128310
16, 128070
17, 127620
18, 128250
19, 128310
20, 128070
21, 127590
22, 128250
23, 128310
24, 128070
25, 127590
26, 128250
27, 128310
28, 128040
29, 135270
30, 160320
31, 160380
32, 206310
33, 143760
34, 128130
35, 127830
36, 127740
37, 127800
38, 127800
39, 127980
40, 128010
41, 127740
42, 128010
43, 128010
44, 128010
45, 128010
46, 128010
47, 128460
48, 153180
49, 160020
50, 160020
51, 160440
52, 156330
53, 128010
54, 128010
55, 128010
56, 128010
57, 128010
58, 128010
59, 128010
60, 128010
61, 128010
62, 128010
63, 128010
64, 128010
65, 128010
66, 128010
67, 128010
68, 128040
69, 128010
70, 128010
71, 128010
72, 128010
73, 128010
74, 128010
75, 128010
76, 128010
77, 128010
78, 128010
79, 128010
80, 128010
81, 128010
82, 128010
83, 128010
84, 128010
85, 128940
86, 155430
87, 159990
88, 160470
89, 160020
90, 127980
91, 128040
92, 128010
93, 128010
94, 128040
95, 128010
96, 127980
97, 128010
98, 127980
99, 128010
100, 128040
101, 128010
102, 128010
103, 128010
104, 151830
105, 160020
106, 160020
107, 160980
108, 139020
109, 128010
110, 128130
111, 128010
112, 127860
113, 127830
114, 127860
115, 127860
116, 127860
117, 127830
118, 127860
119, 127830
120, 127860
121, 127860
122, 127830
123, 142860
124, 127860
125, 127860
126, 127860
127, 127830
128, 127860
129, 127830
130, 127860
131, 127830
132, 127830
133, 127830
134, 127830
135, 127830
136, 127830
137, 127830
138, 127830
139, 127860
140, 127830
141, 127830
142, 150270
143, 159780
144, 160230
145, 159810
146, 131280
147, 127830
148, 127860
149, 127830
150, 127860
151, 127830
152, 127860
153, 127830
154, 127860
155, 127830
156, 127860
157, 127860
158, 127830
159, 127830
160, 129360
161, 138870
162, 159810
163, 159810
164, 160110
165, 149400
166, 127860
167, 127830
168, 127830
169, 127860
170, 127830
171, 127860
172, 127860
173, 127830
174, 127860
175, 127830
176, 127860
177, 127830
178, 127830
179, 130140
180, 135300
181, 127830
182, 146880
183, 128220
184, 127920
185, 128220
186, 127830
187, 128040
188, 127770
189, 128190
190, 127890
191, 128220
192, 127890
193, 128190
194, 127890
195, 127920
196, 128190
197, 128190
198, 127920
199, 127920
200, 128220
201, 128190
202, 127890
203, 127920
204, 128190
205, 128220
206, 127890
207, 127920
208, 128190
209, 128190
210, 127890
211, 127920
212, 128220
213, 127830
214, 128040
215, 127800
216, 127890
217, 128640
218, 159030
219, 160050
220, 160170
221, 159900
222, 128190
223, 127830
224, 128040
225, 127800
226, 127890
227, 128220
228, 127830
229, 128070
230, 127800
231, 127920
232, 128190
233, 128220
234, 127890
235, 127920
236, 146040
237, 160260
238, 159840
239, 160320
240, 134850
241, 128220
242, 127890
243, 127920
244, 128190
245, 128220
246, 127890
247, 127920
248, 128190
249, 128220
250, 127890
251, 127920
252, 128190
253, 127830
254, 128040
255, 127800
256, 127890
257, 128220
258, 128070
259, 128190
260, 127770
261, 127740
262, 127830
263, 128040
264, 127980
265, 127890
266, 127860
267, 128040
268, 127980
269, 127890
270, 127830
271, 128040
272, 127980
273, 127890
274, 127830
275, 135780
276, 128790
277, 127920
278, 127770
279, 127740
280, 127740
281, 127770
282, 127740
283, 127770
284, 127740
285, 127770
286, 127740
287, 127740
288, 127740
289, 127770
