PAE,kmain(),after recv(),after send()
31830,32130,84330,152970
21570,21810,58260,121200
20970,21210,57690,121950
21480,21660,58440,121050
21030,21270,57240,118320
21030,21270,57960,124920
22260,22500,58170,118890
21840,22050,58200,122580
20850,21060,58080,120990
22170,22350,58440,118200
21240,21420,58440,119310
20820,21060,56760,116940
21150,21360,56460,118380
21330,21540,56010,120270
21150,21360,56520,116670
21270,21420,56190,118470
20970,21150,57360,117420
22710,22920,57780,118710
22080,22290,57630,116790
20880,21120,56280,117240
21120,21360,57810,119280
21030,21270,55740,120750
21450,21660,55860,116130
21000,21180,56430,119940
21000,21240,56370,121170
21960,22170,57870,118800
21090,21360,55860,118350
20910,21150,55650,116970
20970,21180,56640,119730
22230,22470,57390,118590
22230,22470,57270,117660
21480,21720,57390,119370
20880,21120,55710,119730
21120,21360,57480,117900
21090,21300,56190,117060
21240,21450,55380,116760
21270,21510,57600,118770
20850,21060,54930,117210
21090,21330,56400,117120
21060,21300,56580,117180
22560,22830,56940,116640
21450,21690,56550,116790
20970,21180,55350,118980
21030,21270,57960,121740
21060,21300,57630,118830
20850,21060,56700,121620
21180,21420,55860,119100
21060,21270,56100,117780
21330,21570,56550,119010
21000,21210,55470,120120
21810,22050,56610,120180
22080,22350,56970,119250
21090,21360,57120,120720
22080,22320,57990,119310
22200,22470,56880,116430
21060,21270,55890,115740
22110,22320,56640,158370
21000,21240,55950,116340
21600,21840,57240,118800
20970,21180,56790,116910
21120,21390,56370,116610
21090,21330,55590,113760
21330,21570,56550,117600
20910,21150,55860,115890
21510,21720,57060,115170
21000,21210,57690,119550
21030,21180,56490,116400
20910,21150,56160,116640
21930,22170,58890,120630
21090,21330,58110,120150
21330,21540,56400,116700
20910,21120,57900,119040
21000,21240,55950,118320
21030,21240,57360,119700
21150,21390,56220,117900
21450,21690,56250,116820
21120,21330,56460,118530
20880,21120,58170,119580
21030,21270,56760,117420
21000,21240,56220,119220
20940,21180,56910,117060
20940,21180,56820,116310
21030,21270,56280,117600
21360,21630,57450,117420
21960,22230,58200,118920
21030,21240,57510,116550
21060,21300,55320,116580
21120,21330,55830,114240
21060,21330,55800,117480
21000,21210,55530,116010
20970,21210,55830,116070
22380,22620,57540,118170
21150,21390,55290,115470
20940,21150,56220,118110
21000,21240,56880,118230
21090,21360,56280,117510
20970,21180,56010,118470
21420,21660,56580,118500
21150,21330,55590,115650
20970,21210,56670,116580
21180,21450,55530,116280
20910,21120,56760,117450
21000,21240,55680,117900
20970,21180,53430,108330
22290,22500,58920,120210
21540,21750,57600,119730
21030,21240,56640,117870
21180,21360,57030,118080
21090,21330,56640,115560
21120,21330,57240,120930
21270,21540,57960,119880
20970,21210,56130,115380
21030,21180,57750,118170
21690,21930,57900,120720
20940,21180,56550,118680
20820,21060,77340,140820
21600,21810,58890,119820
21630,21870,57480,119490
21000,21240,56970,118890
21030,21270,57150,118830
20940,21090,57390,122460
20940,21180,55470,117360
21210,21450,56550,117360
21510,21750,58020,117450
21870,22080,57510,117330
20940,21180,56820,118170
21120,21360,57420,118380
21000,21210,56670,118860
20940,21180,56910,116580
20880,21150,58380,118620
21600,21780,57270,116730
21690,21900,57060,117060
21180,21390,56490,116970
21630,21870,57270,117090
21210,21450,56850,118770
21030,21300,57540,119460
21030,21240,56700,119190
21000,21270,56280,117120
21150,21330,56820,118920
21300,21570,57720,125160
21120,21360,56070,119130
21240,21480,57390,119880
21150,21360,57270,120720
21000,21270,59070,121560
21090,21360,57300,117690
21060,21330,57120,117990
20970,21180,56310,116280
20910,21150,57270,118650
21150,21360,57690,118170
21930,22140,58050,118710
21810,21990,56760,119880
21090,21330,57270,116790
21090,21300,58500,119850
20940,21150,56550,120270
21030,21300,57000,117630
21120,21360,59160,118860
21060,21300,56100,115530
21630,21840,56400,115800
21030,21270,57030,117480
20880,21120,56910,119070
20910,21090,57090,127110
20850,21060,57420,119430
21000,21240,57510,122040
21720,21930,57030,118170
21180,21390,57060,120030
23460,23730,59640,120810
21180,21390,58410,122220
21300,21510,57300,119370
21900,22080,57750,119790
21330,21570,57390,117690
21150,21390,57450,118320
21960,22170,57660,119460
20970,21210,56670,118560
21630,21780,57840,117630
21090,21300,56580,120060
21450,21690,59550,119760
21600,21810,57690,118440
21570,21810,57000,117510
21240,21480,57120,119130
20760,21000,56580,117450
20850,21060,58800,118200
21600,21840,57750,119340
21090,21330,57810,119280
21510,21720,56790,121530
21450,21690,57660,121590
21150,21360,56430,122100
21090,21360,57360,117660
22230,22440,58380,120090
21060,21210,56850,116550
20970,21150,58590,121800
21900,22170,58470,121140
21150,21390,57270,118410
21090,21300,57420,120180
21180,21420,56820,117570
21090,21330,56370,117390
20910,21120,56460,116310
21570,21750,57990,119610
21060,21270,57210,117180
21570,21780,57720,118080
20970,21210,57090,117270
20910,21120,57030,117420
21180,21420,56250,117330
21330,21600,57210,116670
20850,21060,57030,120840
20910,21150,58230,119460
20820,21030,58410,120660
21000,21240,57210,122490
21000,21210,56760,120630
21540,21780,58260,121380
20880,21090,57060,120120
20970,21180,58290,122070
21090,21300,57120,118140
21180,21390,57240,119910
21000,21240,56100,116880
20940,21150,56670,117180
21210,21420,57300,117330
22080,22320,57660,117960
21000,21210,58050,119700
20940,21150,57390,117570
21120,21330,57720,117660
21060,21270,55650,117540
21090,21300,56610,117900
21900,22110,58140,117480
21150,21420,57060,117390
21060,21330,57600,119340
22290,22500,57450,116640
21150,21390,57600,118140
21060,21240,56400,120330
20880,21090,56730,121320
21360,21570,58530,120030
20970,21240,57810,120930
22110,22380,57510,119700
21030,21300,56880,122100
20970,21210,58020,120120
20970,21180,57150,119820
21120,21300,56490,119010
21420,21570,56640,118050
20850,21060,56490,116550
21540,21750,57240,118530
20820,21090,57000,117120
21450,21660,57120,120030
21030,21210,56580,119910
20910,21090,56910,118650
21150,21390,56760,118050
21000,21210,56250,117450
21240,21420,57780,118140
21660,21840,57360,118500
20790,21030,56910,118200
21000,21180,56940,117750
21330,21570,58290,118680
20940,21150,56970,118500
20940,21150,57120,118770
21000,21210,57360,121980
20850,21060,56670,119400
