# trial, latency (cycles)
# trial, latency (cycles)
0, 2257290
1, 44790
2, 34710
3, 34350
4, 34230
5, 34230
6, 34260
7, 34290
8, 34230
9, 34230
10, 34260
11, 34230
12, 34230
13, 34230
14, 34200
15, 34230
16, 34230
17, 34200
18, 34200
19, 34230
20, 34200
21, 34230
22, 34230
23, 34200
24, 34230
25, 34200
26, 34200
27, 34230
28, 34200
29, 34230
30, 34200
31, 34230
32, 34200
33, 34260
34, 34230
35, 34230
36, 34200
37, 34230
38, 34200
39, 34230
40, 34200
41, 34230
42, 34200
43, 34200
44, 34200
45, 34200
46, 34260
47, 34230
48, 34200
49, 34230
50, 34200
51, 34200
52, 34200
53, 34200
54, 34200
55, 34200
56, 34200
57, 34230
58, 34260
59, 34230
60, 34200
61, 34230
62, 34200
63, 48960
64, 42180
65, 34290
66, 34200
67, 34200
68, 34170
69, 34170
70, 34230
71, 34170
72, 34170
73, 34200
74, 34170
75, 34170
76, 34170
77, 34170
78, 34170
79, 34170
80, 34170
81, 34200
82, 34200
83, 34200
84, 34140
85, 34170
86, 34170
87, 34170
88, 34170
89, 34200
90, 34170
91, 34170
92, 34170
93, 34170
94, 34230
95, 34170
96, 34170
97, 34200
98, 34170
99, 34170
100, 34170
101, 34170
102, 34140
103, 34170
104, 34170
105, 34170
106, 34230
107, 34170
108, 34170
109, 34170
110, 34170
111, 34170
112, 34170
113, 34170
114, 34170
115, 34170
116, 34140
117, 34200
118, 34200
119, 34200
120, 34140
121, 34200
122, 34200
123, 34200
124, 34170
125, 34170
126, 34170
127, 34920
128, 34740
129, 34260
130, 34230
131, 34170
132, 34170
133, 34170
134, 34170
135, 34140
136, 34140
137, 34170
138, 34170
139, 34170
140, 34170
141, 34170
142, 34200
143, 34170
144, 34170
145, 34170
146, 34170
147, 34140
148, 34140
149, 34170
150, 34170
151, 34170
152, 34410
153, 39780
154, 42690
155, 42750
156, 42720
157, 42720
158, 42720
159, 42690
160, 42690
161, 42690
162, 43050
163, 42810
164, 42720
165, 42690
166, 42690
167, 42750
168, 42720
169, 36870
170, 34170
171, 34140
172, 34170
173, 34170
174, 34170
175, 34170
176, 34170
177, 34170
178, 34140
179, 34170
180, 34140
181, 34170
182, 34170
183, 34170
184, 34170
185, 34170
186, 34170
187, 34140
188, 34140
189, 34170
190, 34170
191, 34590
192, 34410
193, 34170
194, 34170
195, 34170
196, 34170
197, 34170
198, 34170
199, 34170
200, 34170
201, 51930
202, 34740
203, 34260
204, 34260
205, 34230
206, 34260
207, 34230
208, 34230
209, 34230
210, 34230
211, 34230
212, 34230
213, 34230
214, 34260
215, 34230
216, 34230
217, 34230
218, 34230
219, 34260
220, 34230
221, 34230
222, 34230
223, 34260
224, 34230
225, 34230
226, 34260
227, 34290
228, 34230
229, 34230
230, 34230
231, 34260
232, 34230
233, 34230
234, 34260
235, 35160
236, 34230
237, 40200
238, 42780
239, 42870
240, 42810
241, 42810
242, 42780
243, 42780
244, 42780
245, 42780
246, 40560
247, 34230
248, 34230
249, 34230
250, 34230
251, 34260
252, 34260
253, 34230
254, 34230
255, 34680
256, 34560
257, 34260
258, 34260
259, 34230
260, 34230
261, 34230
262, 34260
263, 34290
264, 34260
265, 34230
266, 34230
267, 34260
268, 34260
269, 34230
270, 34230
271, 34230
272, 34260
273, 34260
274, 34260
275, 34260
276, 34230
277, 34230
278, 34260
279, 34260
280, 34230
281, 34230
282, 34260
283, 34260
284, 34260
285, 34230
286, 34260
287, 34290
288, 34260
289, 34260
290, 34230
291, 34230
292, 34260
293, 34260
294, 34230
295, 34230
296, 34260
297, 34260
298, 34260
299, 34290
300, 34260
301, 34230
302, 34230
303, 34260
304, 34260
305, 34260
306, 34260
307, 34230
308, 34260
309, 34260
310, 34260
311, 34290
312, 34260
313, 34230
314, 34230
315, 34260
316, 34260
317, 34230
318, 34260
319, 47160
320, 34740
321, 34290
322, 34290
323, 34290
324, 34260
325, 34230
326, 34260
327, 34230
328, 34230
329, 34230
330, 34260
331, 34230
332, 34230
333, 34230
334, 34260
335, 34260
336, 34260
337, 34230
338, 34230
339, 34230
340, 34260
341, 34230
342, 34230
343, 34230
344, 34230
345, 34230
346, 34230
347, 34290
348, 34230
349, 34230
350, 34230
351, 34230
352, 34230
353, 34230
354, 34260
355, 34230
356, 34230
357, 34260
358, 34230
359, 34260
360, 34230
361, 34230
362, 34230
363, 34230
364, 34260
365, 34230
366, 34230
367, 34230
368, 34230
369, 34230
370, 34230
371, 34260
372, 34230
373, 34230
374, 34230
375, 34230
376, 34260
377, 34230
378, 34230
379, 34230
380, 34230
381, 34230
382, 34230
383, 34650
384, 34500
385, 34230
386, 34200
387, 34230
388, 34230
389, 34230
390, 34260
391, 34230
392, 34230
393, 34260
394, 34230
395, 34230
396, 34290
397, 34230
398, 34230
399, 34260
400, 34230
401, 34230
402, 34260
403, 34230
404, 34230
405, 34230
406, 34260
407, 34230
408, 38850
409, 42780
410, 42780
411, 42810
412, 42810
413, 42780
414, 42780
415, 42780
416, 42810
417, 42810
418, 42810
419, 42780
420, 42840
421, 42810
422, 42810
423, 42780
424, 42780
425, 34500
426, 34230
427, 34230
428, 34230
429, 34230
430, 34230
431, 34230
432, 34260
433, 34230
434, 34230
435, 34230
436, 34260
437, 34230
438, 34230
439, 34230
440, 34260
441, 34230
442, 34230
443, 34260
444, 34260
445, 34230
446, 34230
447, 34650
448, 34470
449, 34200
450, 34230
451, 34230
452, 34260
453, 34230
454, 34230
455, 34260
456, 34260
457, 34230
458, 34260
459, 34230
460, 34230
461, 34230
462, 34230
463, 34230
464, 34260
465, 34230
466, 34230
467, 34230
468, 34260
469, 34230
470, 34230
471, 34230
472, 34230
473, 34230
474, 34260
475, 34230
476, 34230
477, 34230
478, 34230
479, 34230
480, 34260
481, 34260
482, 34230
483, 34260
484, 34230
485, 34230
486, 34260
487, 34230
488, 34230
489, 34230
490, 34260
491, 39210
492, 42780
493, 42840
494, 42780
495, 42780
496, 42810
497, 42780
498, 42810
499, 42810
500, 42810
501, 42810
502, 37860
503, 34230
504, 34230
505, 34740
506, 34290
507, 34260
508, 34230
509, 34260
510, 34260
511, 34680
512, 34470
513, 34320
514, 34260
515, 34290
516, 34290
517, 34320
518, 34260
519, 34260
520, 34260
521, 34260
522, 34260
523, 34260
524, 34230
525, 34260
526, 34230
527, 34260
528, 34290
529, 34290
530, 34230
531, 34230
532, 34260
533, 34260
534, 34260
535, 34260
536, 34230
537, 34260
538, 34260
539, 34260
540, 80820
541, 36180
542, 34440
543, 34380
544, 34350
545, 34350
546, 34350
547, 34380
548, 34380
549, 34350
550, 34380
551, 34410
552, 34350
553, 34350
554, 34350
555, 34380
556, 34350
557, 34350
558, 34350
559, 34350
560, 34350
561, 34350
562, 34380
563, 34380
564, 34350
565, 34350
566, 34350
567, 34350
568, 34350
569, 34380
570, 34350
571, 34380
572, 34350
573, 34380
574, 34350
575, 35280
576, 34770
577, 34350
578, 34380
579, 34350
580, 34380
581, 34350
582, 34380
583, 34350
584, 34350
585, 34380
586, 34350
587, 34350
588, 34410
589, 34350
590, 34350
591, 34320
592, 34350
593, 34350
594, 34350
595, 34350
596, 34350
597, 34350
598, 34380
599, 34350
600, 34410
601, 34350
602, 34380
603, 34350
604, 34350
605, 34350
606, 34350
607, 34350
608, 34350
609, 34350
610, 34350
611, 34350
612, 34380
613, 34350
614, 34350
615, 34350
616, 34380
617, 34350
618, 34350
619, 34350
620, 34350
621, 34350
622, 34350
623, 34350
624, 34410
625, 34380
626, 34350
627, 34350
628, 34380
629, 34350
630, 34350
631, 34380
632, 34350
633, 34380
634, 34380
635, 34350
636, 34440
637, 34350
638, 34380
639, 34770
640, 34590
641, 34380
642, 34380
643, 34380
644, 34380
645, 34350
646, 34380
647, 34350
648, 34410
649, 34350
650, 34380
651, 34350
652, 34350
653, 34350
654, 34380
655, 34380
656, 34350
657, 34380
658, 34380
659, 34350
660, 34410
661, 34380
662, 34350
663, 34380
664, 34380
665, 34350
666, 34380
667, 34350
668, 34350
669, 34380
670, 34440
671, 35190
672, 34410
673, 34380
674, 34380
675, 34380
676, 34350
677, 34350
678, 34380
679, 34350
680, 34380
681, 34380
682, 34350
683, 34350
684, 34410
685, 34350
686, 34350
687, 34380
688, 34350
689, 34350
690, 34350
691, 34380
692, 34350
693, 34350
694, 34350
695, 34380
696, 34380
697, 34350
698, 34350
699, 34350
700, 34380
701, 34350
702, 34380
703, 34740
704, 34560
705, 34350
706, 34350
707, 34380
708, 34350
709, 34410
710, 34350
711, 34350
712, 34380
713, 34350
714, 34380
715, 34350
716, 34350
717, 34350
718, 34350
719, 34380
720, 34350
721, 34410
722, 34350
723, 34350
724, 34350
725, 34380
726, 34350
727, 34350
728, 34350
729, 34350
730, 34380
731, 34350
732, 34380
733, 34410
734, 34350
735, 34350
736, 34380
737, 34350
738, 34350
739, 34350
740, 34350
741, 34380
742, 34350
743, 34380
744, 34350
745, 34410
746, 34350
747, 34350
748, 34380
749, 34350
750, 34380
751, 34350
752, 34380
753, 34350
754, 34350
755, 34350
756, 34350
757, 34410
758, 34380
759, 34350
760, 34350
761, 34380
762, 34350
763, 34350
764, 34350
765, 34350
766, 34350
767, 34770
768, 34530
769, 34410
770, 34350
771, 34380
772, 34350
773, 34380
774, 34350
775, 34350
776, 34380
777, 34350
778, 34350
779, 34350
780, 34350
781, 34380
782, 34380
783, 34350
784, 34350
785, 34350
786, 34350
787, 34350
788, 34380
789, 34350
790, 34380
791, 34350
792, 34380
793, 34380
794, 34380
795, 34350
796, 34350
797, 34350
798, 34350
799, 34350
800, 34350
801, 34380
802, 34350
803, 34380
804, 34350
805, 34410
806, 34350
807, 34380
808, 34350
809, 34350
810, 34380
811, 34350
812, 34350
813, 34350
814, 34350
815, 34350
816, 34380
817, 34380
818, 34380
819, 34350
820, 34350
821, 34350
822, 34350
823, 34350
824, 34350
825, 34380
826, 34350
827, 34350
828, 34380
829, 34380
830, 34380
831, 35010
832, 34590
833, 34320
834, 34350
835, 34350
836, 34320
837, 34320
838, 34350
839, 34320
840, 34350
841, 34320
842, 34410
843, 34350
844, 34350
845, 34350
846, 34350
847, 34350
848, 34350
849, 34350
850, 34350
851, 34320
852, 34320
853, 34320
854, 34410
855, 34350
856, 34380
857, 34350
858, 34350
859, 34350
860, 34350
861, 34350
862, 34350
863, 34350
864, 34350
865, 34320
866, 34410
867, 34350
868, 34350
869, 34350
870, 34350
871, 34350
872, 34320
873, 34320
874, 34350
875, 34350
876, 34350
877, 34350
878, 34380
879, 34320
880, 34350
881, 34320
882, 34350
883, 34350
884, 34350
885, 34350
886, 34350
887, 57930
888, 34470
889, 34410
890, 34350
891, 34350
892, 34320
893, 34320
894, 34320
895, 34770
896, 34560
897, 34290
898, 34320
899, 34320
900, 34320
901, 34290
902, 34350
903, 34290
904, 34290
905, 34290
906, 34290
907, 34320
908, 34290
909, 34290
910, 34320
911, 34290
912, 34290
913, 34320
914, 34350
915, 34290
916, 34290
917, 34290
918, 34290
919, 34320
920, 34290
921, 34290
922, 34290
923, 34320
924, 34290
925, 34290
926, 41910
927, 39180
928, 36840
929, 34290
930, 34320
931, 34320
932, 34320
933, 34320
934, 34290
935, 34290
936, 34320
937, 34290
938, 34320
939, 34290
940, 34290
941, 34320
942, 34290
943, 34320
944, 34290
945, 34290
946, 34290
947, 34320
948, 34290
949, 34320
950, 34350
951, 34290
952, 34290
953, 34290
954, 34290
955, 34320
956, 34320
957, 34290
958, 34290
959, 34710
960, 34590
961, 34320
962, 34350
963, 34320
964, 34290
965, 34320
966, 34290
967, 34320
968, 34290
969, 34290
970, 34320
971, 34290
972, 34320
973, 34290
974, 34350
975, 34320
976, 34320
977, 34290
978, 34320
979, 34290
980, 34290
981, 34320
982, 34290
983, 34290
984, 34320
985, 34290
986, 34350
987, 34290
988, 34320
989, 34290
990, 34320
991, 34290
992, 34320
993, 34290
994, 34320
995, 34290
996, 34320
997, 34290
998, 34350
999, 34290
