# trial, latency (cycles)
# trial, latency (cycles)
0, 1875270
1, 26580
2, 18540
3, 18240
4, 18150
5, 18180
6, 18210
7, 18180
8, 36690
9, 18390
10, 18210
11, 18180
12, 18180
13, 18180
14, 18180
15, 18180
16, 18180
17, 18210
18, 18180
19, 18180
20, 18180
21, 18180
22, 18180
23, 18180
24, 18180
25, 18180
26, 18180
27, 18180
28, 18180
29, 18180
30, 18210
31, 18180
32, 18180
33, 18180
34, 18210
35, 18210
36, 18210
37, 18210
38, 18180
39, 18180
40, 18180
41, 18210
42, 18180
43, 18180
44, 18210
45, 18180
46, 18180
47, 18180
48, 18150
49, 18150
50, 18180
51, 18180
52, 18150
53, 18180
54, 18180
55, 18180
56, 18180
57, 18180
58, 18180
59, 18180
60, 18180
61, 18180
62, 18180
63, 18150
64, 24750
65, 18270
66, 18240
67, 18210
68, 18240
69, 18210
70, 18210
71, 18210
72, 18240
73, 18210
74, 18210
75, 18210
76, 18210
77, 18180
78, 18210
79, 18210
80, 18210
81, 18180
82, 18180
83, 18180
84, 18210
85, 18210
86, 18210
87, 18180
88, 18180
89, 18180
90, 18180
91, 18180
92, 18180
93, 18180
94, 18180
95, 18210
96, 18180
97, 18180
98, 18210
99, 18180
100, 18180
101, 18180
102, 18180
103, 18180
104, 18180
105, 18210
106, 18180
107, 18180
108, 18180
109, 18180
110, 18180
111, 18210
112, 18210
113, 18180
114, 18180
115, 18210
116, 18180
117, 18210
118, 18210
119, 18180
120, 18180
121, 18180
122, 18180
123, 18210
124, 18180
125, 18180
126, 18180
127, 18180
128, 18480
129, 18180
130, 18180
131, 18180
132, 18180
133, 18150
134, 18180
135, 18180
136, 18180
137, 18150
138, 18150
139, 18150
140, 18150
141, 18180
142, 18150
143, 18180
144, 18180
145, 18180
146, 18150
147, 18150
148, 18180
149, 18180
150, 18180
151, 18180
152, 18180
153, 18150
154, 18150
155, 18180
156, 18180
157, 18180
158, 18180
159, 18150
160, 18180
161, 18180
162, 18180
163, 18180
164, 18180
165, 18150
166, 18150
167, 18150
168, 18150
169, 18180
170, 18180
171, 18150
172, 18150
173, 18150
174, 18180
175, 18180
176, 18180
177, 18180
178, 18150
179, 18180
180, 18150
181, 18150
182, 18150
183, 18150
184, 18150
185, 18180
186, 18150
187, 18180
188, 18180
189, 18150
190, 18180
191, 18150
192, 18420
193, 18180
194, 18150
195, 18180
196, 18180
197, 18150
198, 18150
199, 18150
200, 18150
201, 18180
202, 18150
203, 18180
204, 18150
205, 18150
206, 18180
207, 18150
208, 18150
209, 18150
210, 18150
211, 18180
212, 18150
213, 18180
214, 18150
215, 18150
216, 18150
217, 18150
218, 18180
219, 18150
220, 18150
221, 18150
222, 18150
223, 18180
224, 18150
225, 18180
226, 18150
227, 22860
228, 20670
229, 19020
230, 18150
231, 18150
232, 18180
233, 18150
234, 18150
235, 18150
236, 18150
237, 18150
238, 18150
239, 18180
240, 18180
241, 18150
242, 18150
243, 18180
244, 18180
