# trial, us for 1000 calls
0, 34514
1, 31449
2, 31583
3, 31639
4, 31540
5, 31370
6, 31293
7, 31169
8, 31032
9, 31118
10, 31029
11, 30972
12, 31121
13, 31112
14, 31521
15, 31310
16, 31345
17, 31314
18, 31282
19, 31347
20, 31350
21, 31283
22, 31555
23, 31586
24, 31426
25, 31524
26, 32235
27, 32561
28, 32738
29, 32253
30, 32125
31, 32048
32, 32227
33, 31958
34, 32607
35, 34306
36, 34112
37, 34181
38, 33966
39, 33847
40, 33893
41, 34058
42, 33864
43, 33734
44, 33517
45, 33454
46, 33486
47, 33638
48, 33933
49, 33987
50, 33786
51, 33767
52, 33547
53, 33764
54, 33393
55, 33405
56, 33413
57, 33509
58, 33583
59, 32148
60, 32669
61, 31701
62, 32010
63, 31670
64, 31920
65, 31834
66, 32153
67, 32023
68, 36720
69, 33178
70, 32343
71, 33191
72, 32172
73, 32488
74, 32301
75, 32082
76, 31807
77, 31443
78, 31892
79, 32072
80, 31972
81, 32117
82, 32017
83, 32294
84, 31827
85, 31746
86, 31503
87, 32280
88, 32158
89, 32712
90, 32195
91, 32282
92, 32122
93, 32134
94, 31879
95, 32048
96, 32064
97, 31759
98, 31685
99, 31941
