# trial, latency (cycles)
0, 245640
1, 130350
2, 128460
3, 128100
4, 128040
5, 128130
6, 127980
7, 128040
8, 128040
9, 127890
10, 127860
11, 127890
12, 127950
13, 127890
14, 127860
15, 127860
16, 127980
17, 127830
18, 127890
19, 127890
20, 127920
21, 127920
22, 127890
23, 127890
24, 127890
25, 127920
26, 127860
27, 127890
28, 127890
29, 127860
30, 127890
31, 127890
32, 127890
33, 127890
34, 127890
35, 157620
36, 160170
37, 159930
38, 159810
39, 128670
40, 127860
41, 127860
42, 127860
43, 127830
44, 127920
45, 127860
46, 127920
47, 127890
48, 127860
49, 127860
50, 127860
51, 127830
52, 127920
53, 137490
54, 159870
55, 160290
56, 159810
57, 155070
58, 127860
59, 127920
60, 127860
61, 127920
62, 127800
63, 127890
64, 127890
65, 127890
66, 127890
67, 127920
68, 127890
69, 127860
70, 127950
71, 127860
72, 142890
73, 127890
74, 144840
75, 128070
76, 127920
77, 127890
78, 127920
79, 127920
80, 127920
81, 127920
82, 127890
83, 127920
84, 127830
85, 127920
86, 127980
87, 127920
88, 127920
89, 127890
90, 127920
91, 127860
92, 127920
93, 127920
94, 127860
95, 127860
96, 127950
97, 127890
98, 127950
99, 127860
100, 127920
101, 127920
102, 127950
103, 127860
104, 127890
105, 127920
106, 127860
107, 127890
108, 127860
109, 128910
110, 129450
111, 135720
112, 128490
113, 128550
114, 129180
115, 127920
116, 127860
117, 127860
118, 127890
119, 127890
120, 127890
121, 127950
122, 127920
123, 127860
124, 127890
125, 127890
126, 127890
127, 127950
128, 127890
129, 128970
130, 128880
131, 134130
132, 135420
133, 128280
134, 129000
135, 127920
136, 127920
137, 127890
138, 127890
139, 127860
140, 127890
141, 127890
142, 127890
143, 127890
144, 127950
145, 127890
146, 127890
147, 127860
148, 127920
149, 127890
150, 127860
151, 141810
152, 128820
153, 128010
154, 127860
155, 127830
156, 127860
157, 127860
158, 127860
159, 127890
160, 127860
161, 127860
162, 127890
163, 127830
164, 127890
165, 127920
166, 127890
167, 127890
168, 127860
169, 127860
170, 127890
171, 127920
172, 127890
173, 127860
174, 127890
175, 127860
176, 127950
177, 127920
178, 127860
179, 127830
180, 127860
181, 127860
182, 127920
183, 127920
184, 127890
185, 127860
186, 146760
187, 160260
188, 159840
189, 159900
190, 141510
191, 127890
192, 127920
193, 127890
194, 127890
195, 127860
196, 127860
197, 127890
198, 127860
199, 127860
200, 127890
201, 127890
202, 127860
203, 127860
204, 127830
205, 127860
206, 127890
207, 127860
208, 127890
209, 127860
210, 127890
211, 127920
212, 127830
213, 127890
214, 127890
215, 127860
216, 127860
217, 127860
218, 127860
219, 127860
220, 127890
221, 127890
222, 127890
223, 127860
224, 127860
225, 127830
226, 127860
227, 142020
228, 128100
229, 127770
230, 127830
231, 127800
232, 127800
233, 127860
234, 127860
235, 127800
236, 127770
237, 127770
238, 127770
239, 127830
240, 127860
241, 127800
242, 127800
243, 159720
244, 159750
245, 160170
246, 158580
247, 127770
248, 127830
249, 127800
250, 127800
251, 127830
252, 127770
253, 127830
254, 127800
255, 127800
256, 127770
257, 127860
258, 127800
259, 127830
260, 127800
261, 138390
262, 160170
263, 159720
264, 159750
265, 138870
266, 127770
267, 127800
268, 127770
269, 127770
270, 127800
271, 127770
272, 127770
273, 127800
