# trial, latency (cycles)
0, 156690
1, 89700
2, 87240
3, 68790
4, 70440
5, 66060
6, 69630
7, 64350
8, 74310
9, 65310
10, 64620
11, 65100
12, 65220
13, 63840
14, 67020
15, 63570
16, 62970
17, 63570
18, 66540
19, 62460
20, 63270
21, 63450
22, 69450
23, 75000
24, 63030
25, 60570
26, 60960
27, 66240
28, 77610
29, 59580
30, 69540
31, 60660
32, 59910
33, 74970
34, 57900
35, 62880
36, 62700
37, 98640
38, 89190
39, 74460
40, 67320
41, 67440
42, 66630
43, 78300
44, 67290
45, 61050
46, 68670
47, 63270
48, 79650
49, 63690
50, 64410
51, 118890
52, 100410
53, 75960
54, 83880
55, 80070
56, 69480
57, 68880
58, 71700
59, 68280
60, 69990
61, 67170
62, 70980
63, 72240
64, 67740
65, 66900
66, 66600
67, 65700
68, 65550
69, 71040
70, 70830
71, 66390
72, 64230
73, 67050
74, 66120
75, 93210
76, 68400
77, 67050
78, 71940
79, 65640
80, 78750
81, 82320
82, 72240
83, 67530
84, 62880
85, 67950
86, 64650
87, 60360
88, 75600
89, 61290
90, 66330
91, 81690
92, 57000
93, 60480
94, 66060
95, 68910
96, 70950
97, 60960
98, 63840
99, 59190
100, 69420
101, 63720
102, 64530
103, 62040
104, 59010
105, 68430
106, 74610
107, 61020
108, 61890
109, 57210
110, 76320
111, 66180
112, 60060
113, 60690
114, 60240
115, 65250
116, 71040
117, 55230
118, 63450
119, 58590
120, 65430
121, 53940
122, 82050
123, 58350
124, 55770
125, 68760
126, 63330
127, 67440
128, 60960
129, 60090
130, 68430
131, 56280
132, 59340
133, 58920
134, 58680
135, 66510
136, 59370
137, 61710
138, 83520
139, 58980
140, 69570
141, 57870
142, 67590
143, 59880
144, 70080
145, 68100
146, 59610
147, 60240
148, 59370
149, 57750
150, 74250
151, 54000
152, 60030
153, 83700
154, 58500
155, 68340
156, 61080
157, 57720
158, 65190
159, 61650
160, 67050
161, 59490
162, 59460
163, 58920
164, 52620
165, 66720
166, 58320
167, 57000
168, 59550
169, 74280
170, 69840
171, 66660
172, 71610
173, 59760
174, 61680
175, 71910
176, 53850
177, 59100
178, 53010
179, 59100
180, 69030
181, 59010
182, 59160
183, 58710
184, 74010
185, 70500
186, 58080
187, 61500
188, 65430
189, 63330
190, 80700
191, 67200
192, 59700
193, 64710
194, 66120
195, 72720
196, 58140
197, 65250
198, 69210
199, 93330
200, 89310
201, 63060
202, 64080
203, 69360
204, 63450
205, 74640
206, 71610
207, 63630
208, 65610
209, 63240
210, 72210
211, 58830
212, 64230
213, 62550
214, 64500
215, 90480
216, 58950
217, 58950
218, 62670
219, 59850
220, 73740
221, 55200
222, 66630
223, 68670
224, 62280
225, 75540
226, 63030
227, 63600
228, 77910
229, 115770
230, 118770
231, 78570
232, 76140
233, 76620
234, 74760
235, 77250
236, 61860
237, 67350
238, 66810
239, 65370
240, 73470
241, 60870
242, 74760
243, 69210
244, 62790
245, 77100
246, 87660
247, 64320
248, 67710
249, 61350
250, 76260
251, 60480
252, 67170
253, 67500
254, 79260
255, 76230
256, 74550
257, 66420
258, 67500
259, 60570
260, 74640
261, 86790
262, 71010
263, 64380
264, 67350
265, 79740
266, 61950
267, 69810
268, 61500
269, 64980
270, 78420
271, 60690
272, 59490
273, 68670
274, 63660
275, 70710
276, 77880
277, 62130
278, 69000
279, 60660
280, 72210
281, 62970
282, 57930
283, 63840
284, 69630
285, 72270
286, 59940
287, 64860
288, 64290
289, 62310
290, 70500
291, 63720
292, 87210
293, 64500
294, 70560
295, 75150
296, 65160
297, 63810
298, 64440
299, 65850
300, 73920
301, 61710
302, 69390
303, 66030
304, 67950
305, 74160
306, 62520
307, 80760
308, 66300
309, 64470
310, 81180
311, 68730
312, 77370
313, 66270
314, 65520
315, 71730
316, 62010
317, 67230
318, 71640
319, 70590
320, 71040
321, 61800
322, 83850
323, 65400
324, 68610
325, 78900
326, 69510
327, 64920
328, 66990
329, 66090
330, 72390
331, 65430
332, 57750
333, 65220
334, 65220
335, 73620
336, 61920
337, 67380
338, 85170
339, 65070
340, 97980
341, 64830
342, 68970
343, 64950
344, 65100
345, 74250
346, 65040
347, 60180
348, 64320
349, 66780
350, 81060
351, 66780
352, 61230
353, 81870
354, 61140
355, 90510
356, 68400
357, 68400
358, 70020
359, 60270
360, 75570
361, 68190
362, 63420
363, 67050
364, 60510
365, 70830
366, 63510
367, 61680
368, 77880
369, 75930
370, 74580
371, 58470
372, 61200
373, 64440
374, 67080
375, 77250
376, 59610
377, 64350
378, 67680
379, 65970
380, 76350
381, 64290
382, 70080
383, 70110
384, 79260
385, 77760
386, 64710
387, 65490
388, 65460
389, 59850
390, 77370
391, 62760
392, 63900
393, 66330
394, 64680
395, 78330
396, 77730
397, 65130
398, 65430
399, 103140
400, 108660
401, 68880
402, 67080
403, 60840
404, 59910
405, 76320
406, 62700
407, 61830
408, 57660
409, 58020
410, 66210
411, 56820
412, 60600
413, 64890
414, 62340
415, 91680
416, 56100
417, 57720
418, 60210
419, 60000
420, 68430
421, 54270
422, 61620
423, 59580
424, 71190
425, 67650
426, 59160
427, 63780
428, 58650
429, 62910
430, 87480
431, 58440
432, 58050
433, 60180
434, 58110
435, 70740
436, 57480
437, 59250
438, 63690
439, 59820
440, 67080
441, 59580
442, 59100
443, 61230
444, 59250
445, 74010
446, 82350
447, 72990
448, 62070
449, 61380
450, 70860
451, 60630
452, 71490
453, 58290
454, 64200
455, 70110
456, 60150
457, 58350
458, 62190
459, 62520
460, 69390
461, 68250
462, 60690
463, 64380
464, 59640
465, 72960
466, 58260
467, 54990
468, 54690
469, 53460
470, 67110
471, 52230
472, 53970
473, 52950
474, 55620
475, 67380
476, 68790
477, 52770
478, 62310
479, 63780
480, 79020
481, 54600
482, 60210
483, 57960
484, 59310
485, 66270
486, 57810
487, 54990
488, 55410
489, 54300
490, 65610
491, 54150
492, 74400
493, 53190
494, 62280
495, 65340
496, 54690
497, 66330
498, 54780
499, 54480
500, 65340
501, 52350
502, 58170
503, 54720
504, 57000
505, 63480
506, 52500
507, 79530
508, 64950
509, 55380
510, 70740
511, 53190
512, 62580
513, 55260
514, 57660
515, 62940
516, 52680
517, 58770
518, 59370
519, 59160
520, 63570
521, 52950
522, 57750
523, 77700
524, 59100
525, 70470
526, 75930
527, 54180
528, 61710
529, 57720
530, 66870
531, 58620
532, 59910
533, 54270
534, 59190
535, 68310
536, 52320
537, 58470
538, 73050
539, 57690
540, 79770
541, 59490
542, 64110
543, 60720
544, 66930
545, 74250
546, 59400
547, 60120
548, 66180
549, 59970
550, 72210
551, 57930
552, 62790
553, 62520
554, 91500
555, 70350
556, 58920
557, 61800
558, 69090
559, 63750
560, 76920
561, 57600
562, 66750
563, 59040
564, 59070
565, 73170
566, 62130
567, 62910
568, 71040
569, 78690
570, 72450
571, 61890
572, 62970
573, 60420
574, 66570
575, 78030
576, 60510
577, 63630
578, 63120
579, 63090
580, 68970
581, 57810
582, 72840
583, 61980
584, 80730
585, 100710
586, 70770
587, 69570
588, 64410
589, 69990
590, 71250
591, 67170
592, 68070
593, 65370
594, 64470
595, 60240
596, 78000
597, 61530
598, 66930
599, 84030
600, 65670
601, 83730
602, 63060
603, 63300
604, 63720
605, 68160
606, 87750
607, 68610
608, 65610
609, 65820
610, 78210
611, 87960
612, 64530
613, 62820
614, 67530
615, 86550
616, 86820
617, 66000
618, 64500
619, 65820
620, 63330
621, 80250
622, 64440
623, 64470
624, 75120
625, 65040
626, 81720
627, 65040
628, 66330
629, 65010
630, 87120
631, 79560
632, 59160
633, 60930
634, 62760
635, 62100
636, 73410
637, 67800
638, 86760
639, 67170
640, 76530
641, 88740
642, 66840
643, 70260
644, 69300
645, 68430
646, 108300
647, 65100
648, 66300
649, 61740
650, 61050
651, 78390
652, 77910
653, 65670
654, 68130
655, 64980
656, 70860
657, 62340
658, 64710
659, 59940
660, 58350
661, 94440
662, 76500
663, 64380
664, 61680
665, 61560
666, 89550
667, 60540
668, 64470
669, 60000
670, 67020
671, 72180
672, 59130
673, 69480
674, 69990
675, 65010
676, 96990
677, 65130
