# trial, latency (cycles)
0, 1906770
1, 1428150
2, 1362240
3, 1312710
4, 1320870
5, 1311180
6, 1293540
7, 1270020
8, 1271910
9, 1250190
10, 1302180
11, 1265880
12, 1234440
13, 1249620
14, 1207470
15, 1232610
16, 1260870
17, 1244280
18, 1247850
19, 1222350
20, 1234620
21, 1247610
22, 1234950
23, 1233330
24, 1211970
25, 1241580
26, 1283400
27, 1238460
28, 1226160
29, 1235730
30, 1238070
31, 1277880
32, 1233450
33, 1223910
34, 1249950
35, 1236810
36, 1363050
37, 1209960
38, 1216650
39, 1206060
40, 1200120
41, 1220340
42, 1219650
43, 1206210
44, 1145910
45, 1128780
46, 1160850
47, 1157250
48, 1114290
49, 1122600
50, 1125810
51, 1114830
52, 1271790
53, 1140510
54, 1128600
55, 1117560
56, 1142100
57, 1148580
58, 1141770
59, 1123710
60, 1138200
61, 1135920
62, 1127280
63, 1179450
64, 1145700
65, 1169700
66, 1168620
67, 1164360
68, 1167750
69, 1141830
70, 1155570
71, 1157580
72, 1173270
73, 1136010
74, 1188930
75, 1155030
76, 1178970
77, 1149360
78, 1134480
79, 1165740
80, 1201860
81, 1174320
82, 1181400
83, 1167300
84, 1211730
85, 1179300
86, 1181040
87, 1158480
88, 1192920
89, 1181250
90, 1412850
91, 1186770
92, 1171710
93, 1172520
94, 1163850
95, 1190670
96, 1184370
97, 1177560
98, 1181520
99, 1166070
