# trial, latency (cycles)
0, 96630
1, 19350
2, 18150
3, 18150
4, 18060
5, 18060
6, 18030
7, 18000
8, 18030
9, 18030
10, 18060
11, 18030
12, 18060
13, 18060
14, 18060
15, 18030
16, 18060
17, 18060
18, 18030
19, 18030
20, 18030
21, 18030
22, 18030
23, 18030
24, 18030
25, 18000
26, 18030
27, 18030
28, 18030
29, 18060
30, 18030
31, 18030
32, 18030
33, 18030
34, 18030
35, 18030
36, 18030
37, 18030
38, 18030
39, 18030
40, 18030
41, 18000
42, 18030
43, 18030
44, 18030
45, 18030
46, 18000
47, 18030
48, 18030
49, 18030
50, 18030
51, 18000
52, 18030
53, 18030
54, 18000
55, 18000
56, 18000
57, 18000
58, 18030
59, 18000
60, 18030
61, 18030
62, 18030
63, 18030
64, 18030
65, 18030
66, 18060
67, 18030
68, 18030
69, 18060
70, 18060
71, 18030
72, 18030
73, 18030
74, 18030
75, 18030
76, 18060
77, 18030
78, 18060
79, 18060
80, 18060
81, 18030
82, 18030
83, 18030
84, 18030
85, 18030
86, 18000
87, 18030
88, 18030
89, 18030
90, 18030
91, 18030
92, 18060
93, 18030
94, 18030
95, 18030
96, 18060
97, 18030
98, 18030
99, 18030
100, 18060
101, 18000
102, 18030
103, 18030
104, 18030
105, 18030
106, 18030
107, 18030
108, 18030
109, 18030
110, 18030
111, 18030
112, 18060
113, 18000
114, 18060
115, 18030
116, 18030
117, 18030
118, 18030
119, 18000
120, 18030
121, 18030
122, 18030
123, 18000
124, 18030
125, 18030
126, 18030
127, 18000
128, 18030
129, 18060
130, 18060
131, 22530
132, 22560
133, 22530
134, 22560
135, 22530
136, 22530
137, 22500
138, 22530
139, 22530
140, 22710
141, 22530
142, 22530
143, 22530
144, 22530
145, 22530
146, 22530
147, 18720
148, 18030
149, 18000
150, 18030
151, 18030
152, 18030
153, 18030
154, 18030
155, 18030
156, 18030
157, 18030
158, 18060
159, 18030
160, 18060
161, 18030
162, 18030
163, 18030
164, 18030
165, 18030
166, 18060
167, 18030
168, 18030
169, 18030
170, 18030
171, 18030
172, 18030
173, 18030
174, 42450
175, 18210
176, 18090
177, 18090
178, 18090
179, 18060
180, 18060
181, 18060
182, 18060
183, 18090
184, 18060
185, 18060
186, 18060
187, 18060
188, 18060
189, 18060
190, 18060
191, 18060
192, 18060
193, 18090
194, 18060
195, 18060
196, 18060
197, 18060
198, 18060
199, 18060
200, 18060
201, 18060
202, 18060
203, 18090
204, 18060
205, 18030
206, 18060
207, 18060
208, 18090
209, 18060
210, 18060
211, 18060
212, 18090
213, 22590
214, 22560
215, 22560
216, 22560
217, 22590
218, 22590
219, 22590
220, 22560
221, 22590
222, 22590
223, 21720
224, 18060
225, 18060
226, 18060
227, 18090
228, 18060
229, 18060
230, 18030
231, 18060
232, 18060
233, 18060
234, 18060
235, 18060
236, 18090
237, 18060
238, 18060
239, 18060
240, 18060
241, 18060
242, 18060
243, 18060
244, 18060
245, 18060
246, 18060
247, 18060
248, 18090
249, 18060
250, 18060
251, 18060
252, 18060
253, 18090
254, 18060
255, 18060
256, 18060
257, 18090
258, 18090
259, 18090
260, 18060
261, 18060
262, 18060
263, 18090
264, 18060
265, 18030
266, 18060
267, 18090
268, 18060
269, 18060
270, 18030
271, 18060
272, 18090
273, 18060
274, 18060
275, 18060
276, 18060
277, 18060
278, 18060
279, 18060
280, 18060
281, 18060
282, 18060
283, 18060
284, 18060
285, 18060
286, 18060
287, 18060
288, 18090
289, 18060
290, 18060
291, 18060
292, 18060
293, 18060
294, 18090
295, 18060
296, 18060
297, 18090
298, 18090
299, 18060
300, 18030
301, 18090
302, 18090
303, 18090
304, 18060
305, 18060
306, 18060
307, 18090
308, 18060
309, 18060
310, 18060
311, 18090
312, 18060
313, 18060
314, 18060
315, 18060
316, 18060
317, 18060
318, 18060
319, 18060
320, 18060
321, 18060
322, 18060
323, 18060
324, 18060
325, 18060
326, 18060
327, 18060
328, 18090
329, 18060
330, 18060
331, 18060
332, 18090
333, 18060
334, 18060
335, 18060
336, 18060
337, 18090
338, 18090
339, 18060
340, 18060
341, 18090
342, 18090
343, 18060
344, 18060
345, 18060
346, 18090
347, 18060
348, 18060
349, 18060
350, 18060
351, 18090
352, 18060
