# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
0, 60, 3750, 7200, 240, 56130, 3840, 210
1, 90, 120, 4380, 240, 18330, 270, 240
2, 60, 120, 4350, 240, 17880, 270, 240
3, 60, 120, 4290, 270, 17280, 270, 240
4, 60, 150, 4290, 270, 17340, 270, 240
5, 60, 150, 4320, 240, 17340, 270, 240
6, 60, 150, 4320, 240, 17370, 240, 240
7, 60, 120, 4320, 240, 17340, 270, 240
8, 60, 150, 4290, 270, 17670, 270, 240
9, 60, 150, 4290, 270, 17340, 240, 240
10, 60, 120, 4320, 270, 17340, 270, 240
11, 90, 120, 4320, 240, 17340, 270, 240
12, 60, 150, 4320, 240, 17340, 270, 240
13, 90, 120, 4320, 270, 17340, 240, 240
14, 60, 150, 4320, 270, 17310, 270, 240
15, 60, 150, 4290, 270, 17280, 270, 240
16, 60, 120, 4320, 270, 17340, 270, 240
17, 60, 150, 4290, 270, 17280, 270, 240
18, 60, 120, 4320, 270, 17340, 240, 240
19, 60, 120, 4320, 240, 17310, 240, 240
20, 60, 150, 4320, 240, 17370, 240, 240
21, 90, 120, 4320, 240, 17340, 270, 240
22, 60, 150, 4290, 270, 17340, 270, 240
23, 90, 150, 5430, 330, 21840, 330, 300
24, 90, 150, 5400, 330, 18930, 270, 240
25, 60, 150, 4290, 270, 17280, 240, 240
26, 60, 150, 4290, 270, 17310, 240, 240
27, 60, 150, 4290, 270, 17310, 270, 240
28, 60, 150, 4320, 240, 17340, 270, 240
29, 60, 150, 4290, 270, 17310, 270, 240
30, 60, 120, 4320, 240, 17340, 270, 240
31, 60, 150, 4290, 270, 17310, 270, 240
32, 60, 120, 4320, 270, 17340, 270, 240
33, 60, 120, 4320, 270, 17370, 240, 240
34, 60, 120, 4320, 270, 17340, 270, 240
35, 60, 150, 4290, 270, 17340, 270, 240
36, 60, 120, 4320, 270, 17340, 270, 240
37, 60, 150, 4290, 270, 17310, 270, 240
38, 60, 120, 4320, 240, 17340, 240, 240
39, 60, 150, 4290, 270, 17340, 270, 240
40, 60, 150, 4290, 270, 17340, 270, 240
41, 60, 120, 4320, 240, 17310, 270, 240
42, 60, 120, 4320, 240, 17310, 270, 240
43, 60, 150, 4290, 270, 17340, 240, 240
44, 60, 150, 4320, 240, 17370, 240, 240
45, 60, 150, 4290, 270, 17310, 270, 240
46, 60, 120, 4320, 240, 17310, 270, 240
47, 90, 120, 4290, 270, 17310, 270, 240
48, 60, 150, 4320, 240, 17340, 270, 240
49, 60, 120, 4320, 240, 17340, 270, 240
50, 60, 120, 4320, 270, 17310, 240, 270
51, 60, 120, 4320, 240, 17310, 270, 240
52, 60, 120, 4320, 270, 17310, 240, 240
53, 60, 120, 4320, 270, 17280, 270, 240
54, 90, 120, 4320, 240, 17340, 270, 240
55, 60, 120, 4320, 240, 17340, 270, 240
56, 60, 120, 4320, 270, 17340, 240, 240
57, 90, 120, 4320, 270, 17310, 270, 240
58, 60, 150, 4320, 240, 17370, 270, 240
59, 60, 150, 4290, 270, 17340, 270, 240
60, 60, 150, 4320, 240, 17310, 270, 240
61, 60, 120, 4320, 270, 17340, 240, 270
62, 60, 120, 4320, 270, 17400, 240, 270
63, 60, 120, 4320, 240, 17340, 270, 240
64, 60, 120, 4320, 270, 17340, 270, 240
65, 60, 120, 4320, 270, 17310, 240, 240
66, 60, 120, 4320, 240, 17310, 270, 240
67, 90, 120, 4320, 240, 17370, 240, 240
68, 60, 150, 4290, 270, 17340, 240, 240
69, 60, 150, 4320, 240, 18300, 240, 240
70, 60, 180, 5430, 330, 20370, 240, 270
71, 60, 180, 5040, 270, 17340, 270, 240
72, 60, 120, 4320, 240, 17340, 270, 240
73, 90, 120, 4320, 270, 17340, 270, 240
74, 60, 150, 4290, 270, 17310, 270, 240
75, 90, 120, 4320, 240, 17370, 240, 240
76, 60, 150, 4320, 240, 17340, 270, 240
77, 60, 150, 4290, 270, 17340, 240, 240
78, 60, 120, 4320, 270, 40140, 270, 240
79, 60, 150, 4260, 240, 17220, 270, 240
80, 60, 150, 4260, 240, 17250, 270, 240
81, 60, 150, 4260, 270, 17280, 270, 240
82, 60, 150, 4260, 270, 17220, 240, 240
83, 60, 150, 4260, 240, 17280, 240, 240
84, 60, 120, 4260, 270, 17280, 270, 240
85, 60, 120, 4260, 270, 17250, 270, 240
86, 60, 150, 4260, 240, 17280, 270, 240
87, 60, 150, 4260, 270, 17220, 270, 240
88, 60, 120, 4290, 240, 17250, 270, 240
89, 60, 150, 4260, 240, 17280, 270, 240
90, 60, 150, 4260, 240, 17280, 270, 240
91, 60, 120, 4290, 240, 17280, 270, 240
92, 60, 120, 4260, 270, 17250, 270, 240
93, 60, 150, 4260, 270, 17280, 270, 240
94, 60, 120, 4290, 240, 17250, 270, 240
95, 60, 150, 4260, 240, 17250, 270, 240
96, 90, 120, 4260, 270, 17250, 270, 240
97, 60, 150, 4260, 240, 17280, 240, 270
98, 60, 120, 4260, 270, 17250, 270, 240
99, 60, 120, 4350, 270, 17430, 300, 240
100, 60, 150, 4260, 270, 17250, 270, 240
101, 60, 150, 4260, 270, 17310, 270, 240
102, 60, 120, 4290, 240, 17310, 270, 240
103, 60, 150, 4260, 240, 17280, 270, 240
104, 60, 150, 4230, 270, 17280, 240, 240
105, 60, 120, 4290, 240, 17250, 270, 240
106, 60, 150, 4230, 270, 17280, 270, 240
107, 90, 120, 4260, 270, 17310, 240, 240
108, 60, 150, 4260, 270, 17280, 240, 240
109, 60, 150, 4260, 240, 17220, 270, 240
110, 60, 150, 4260, 240, 17310, 270, 240
111, 60, 150, 4260, 270, 17310, 270, 240
112, 60, 150, 4260, 270, 17250, 270, 240
113, 60, 120, 4260, 270, 17250, 270, 240
114, 90, 120, 4260, 270, 17340, 240, 240
115, 60, 120, 4260, 270, 17250, 270, 240
116, 60, 120, 4260, 270, 17280, 270, 240
117, 60, 150, 4260, 270, 17280, 270, 240
118, 60, 150, 4260, 270, 17280, 240, 240
119, 60, 120, 4260, 270, 17280, 270, 240
120, 60, 120, 4260, 270, 17340, 270, 240
121, 60, 150, 4260, 270, 17250, 270, 240
122, 60, 150, 4260, 270, 17310, 240, 240
123, 60, 150, 4260, 270, 17280, 240, 240
124, 60, 120, 4290, 240, 17280, 270, 240
125, 60, 120, 4260, 270, 17280, 240, 270
126, 60, 120, 4260, 270, 17340, 240, 270
127, 60, 120, 4290, 240, 17310, 240, 240
128, 60, 150, 4260, 270, 17280, 270, 240
129, 90, 120, 4260, 270, 17310, 240, 270
130, 60, 150, 4260, 270, 17250, 270, 240
131, 60, 150, 4260, 240, 17310, 240, 240
132, 90, 120, 4260, 270, 17250, 270, 240
133, 60, 120, 4260, 270, 17280, 240, 240
134, 90, 120, 4260, 270, 17250, 240, 240
135, 60, 150, 4260, 270, 17280, 240, 270
136, 60, 150, 4260, 240, 17250, 270, 240
137, 60, 150, 4260, 270, 17280, 270, 240
138, 60, 150, 4260, 270, 17310, 240, 240
139, 60, 150, 4290, 270, 17250, 270, 240
140, 60, 150, 4260, 270, 17280, 270, 240
141, 60, 120, 4260, 270, 17280, 270, 240
142, 60, 150, 4260, 270, 17250, 270, 240
143, 60, 150, 4260, 270, 17310, 270, 240
144, 60, 150, 4260, 270, 17250, 270, 240
145, 60, 150, 4260, 270, 17280, 270, 240
146, 60, 120, 4290, 240, 17340, 240, 240
147, 60, 120, 4260, 270, 17310, 270, 240
148, 60, 120, 4290, 240, 17280, 240, 270
149, 60, 150, 4260, 270, 17310, 270, 240
150, 60, 150, 4260, 270, 17280, 240, 270
151, 60, 120, 4290, 240, 17280, 240, 240
152, 60, 150, 4260, 270, 17280, 240, 270
153, 90, 120, 4260, 270, 17310, 240, 270
154, 60, 150, 4260, 240, 17280, 240, 240
155, 60, 150, 4230, 270, 17340, 240, 240
156, 60, 150, 4260, 270, 17310, 270, 240
157, 60, 150, 4260, 270, 17280, 270, 240
158, 60, 120, 4260, 270, 17280, 270, 240
159, 60, 150, 4260, 240, 17310, 270, 240
160, 60, 120, 4290, 240, 17280, 270, 240
161, 60, 150, 4260, 270, 17280, 240, 240
162, 90, 120, 4260, 270, 17310, 240, 240
163, 60, 180, 5310, 330, 21660, 330, 300
164, 90, 180, 5310, 330, 21570, 330, 300
165, 90, 180, 5310, 330, 21630, 330, 300
166, 60, 180, 5340, 330, 21570, 330, 300
167, 90, 180, 5310, 330, 21600, 330, 300
168, 90, 180, 5310, 330, 21690, 300, 330
169, 60, 180, 5310, 330, 21570, 330, 300
170, 90, 150, 5340, 330, 21540, 330, 300
171, 90, 180, 5310, 330, 21660, 330, 300
172, 90, 150, 5340, 330, 21630, 300, 300
173, 60, 120, 4260, 270, 17280, 240, 240
174, 60, 120, 4290, 240, 17250, 270, 240
175, 60, 150, 4260, 270, 17310, 240, 240
176, 60, 150, 4260, 270, 17280, 270, 240
177, 60, 150, 4260, 240, 17340, 240, 240
178, 60, 150, 4260, 270, 17280, 240, 270
179, 60, 150, 4260, 240, 17310, 270, 240
180, 60, 150, 4260, 270, 17280, 270, 240
181, 60, 120, 4290, 240, 17310, 270, 240
182, 60, 150, 4260, 270, 17280, 270, 240
183, 60, 150, 4260, 270, 17250, 270, 240
184, 60, 150, 4260, 240, 17280, 270, 240
185, 60, 120, 4260, 270, 17310, 270, 240
186, 60, 150, 4230, 270, 17310, 270, 240
187, 60, 150, 4260, 270, 17310, 240, 270
188, 60, 120, 4260, 270, 17340, 240, 270
189, 90, 120, 4260, 270, 17280, 240, 240
190, 60, 150, 4260, 270, 17280, 270, 240
191, 60, 120, 4260, 270, 17310, 270, 240
192, 60, 150, 4230, 270, 17310, 240, 240
193, 90, 120, 4260, 270, 17250, 270, 240
194, 60, 120, 4260, 270, 17310, 240, 240
195, 60, 150, 4260, 240, 17250, 270, 240
196, 60, 150, 4260, 270, 17280, 240, 240
197, 60, 150, 4260, 270, 17310, 240, 240
198, 60, 150, 4260, 270, 17310, 270, 240
199, 60, 150, 4290, 270, 17400, 240, 240
200, 60, 120, 4260, 270, 17280, 270, 240
201, 60, 150, 4260, 270, 17310, 270, 240
202, 60, 120, 4290, 270, 17250, 270, 240
203, 60, 120, 4290, 270, 17310, 270, 240
204, 60, 120, 4290, 270, 17250, 270, 240
205, 60, 120, 4290, 270, 17250, 270, 240
206, 60, 150, 4260, 270, 17250, 270, 240
207, 60, 120, 4290, 270, 17310, 270, 240
208, 60, 150, 4260, 270, 21060, 300, 330
209, 60, 180, 5340, 330, 21630, 300, 300
210, 60, 180, 5340, 330, 21570, 330, 300
211, 90, 150, 5370, 330, 21600, 330, 300
212, 60, 180, 5340, 330, 21600, 330, 300
213, 90, 150, 5670, 330, 21630, 330, 300
214, 90, 150, 5370, 330, 21570, 330, 300
215, 90, 150, 5370, 330, 21630, 330, 300
216, 90, 150, 5400, 330, 21720, 330, 330
217, 60, 180, 5340, 330, 21600, 330, 300
218, 60, 150, 4260, 270, 17280, 240, 240
219, 60, 150, 4260, 270, 17280, 240, 270
220, 60, 150, 4290, 240, 17280, 270, 240
221, 60, 120, 4290, 270, 17340, 240, 240
222, 60, 120, 4290, 270, 17280, 270, 240
223, 60, 120, 4260, 270, 17250, 270, 240
224, 60, 150, 4260, 270, 17280, 270, 240
225, 60, 150, 4260, 270, 17250, 270, 240
226, 60, 150, 4260, 270, 17280, 240, 240
227, 60, 120, 4290, 270, 17250, 240, 270
228, 60, 150, 4260, 270, 17310, 240, 240
229, 60, 120, 4290, 270, 17280, 270, 240
230, 60, 120, 4290, 270, 17310, 240, 270
231, 60, 150, 4260, 270, 17280, 270, 240
232, 60, 150, 4260, 270, 17250, 270, 240
233, 60, 150, 4260, 270, 17250, 270, 240
234, 60, 120, 4290, 240, 17280, 270, 240
235, 60, 150, 4260, 270, 17280, 270, 240
236, 60, 150, 4290, 240, 17310, 240, 240
237, 60, 150, 4290, 240, 17280, 270, 240
238, 60, 120, 4290, 240, 17250, 240, 240
239, 90, 120, 4260, 270, 17250, 270, 240
240, 90, 120, 4290, 270, 17310, 240, 270
241, 60, 120, 4290, 240, 17310, 270, 240
242, 60, 150, 4260, 270, 17280, 240, 270
243, 60, 150, 4260, 270, 17280, 270, 240
244, 60, 150, 4260, 270, 17310, 240, 240
245, 60, 120, 4290, 240, 17310, 270, 240
246, 60, 150, 4260, 270, 17280, 240, 240
247, 60, 150, 4260, 270, 17280, 240, 270
248, 60, 120, 4290, 240, 17280, 270, 240
249, 60, 120, 4290, 240, 17310, 240, 240
250, 60, 120, 4290, 270, 17280, 240, 240
251, 60, 120, 4290, 270, 17250, 270, 240
252, 60, 120, 4290, 270, 17310, 270, 240
253, 60, 150, 4260, 270, 17250, 240, 240
254, 60, 120, 4290, 240, 17340, 240, 240
255, 60, 150, 4260, 270, 17310, 270, 240
256, 60, 150, 4260, 270, 17280, 240, 240
257, 60, 120, 4290, 240, 17280, 270, 240
258, 60, 150, 4260, 270, 17280, 270, 240
259, 60, 150, 4260, 270, 17250, 270, 240
260, 60, 150, 4260, 240, 17310, 240, 270
261, 60, 150, 4260, 240, 17280, 270, 240
262, 60, 150, 4290, 240, 17280, 270, 240
263, 60, 120, 4290, 270, 17280, 270, 240
264, 90, 120, 5820, 270, 24000, 270, 240
265, 60, 150, 4290, 240, 17340, 270, 240
266, 90, 120, 4290, 240, 17280, 240, 240
267, 60, 120, 4290, 240, 17250, 240, 270
268, 90, 120, 4260, 270, 17280, 240, 270
269, 60, 120, 4290, 270, 17250, 240, 270
270, 90, 120, 4260, 270, 17280, 240, 240
271, 60, 150, 4260, 270, 17280, 240, 240
272, 60, 150, 4260, 270, 17280, 240, 240
273, 60, 150, 4260, 270, 17280, 270, 240
274, 60, 120, 4260, 270, 17280, 270, 240
275, 60, 120, 4290, 270, 17250, 240, 270
276, 60, 120, 4290, 270, 17250, 270, 240
277, 60, 120, 4290, 240, 17310, 240, 240
278, 60, 150, 4260, 270, 17280, 270, 240
279, 60, 150, 4260, 270, 17220, 270, 240
280, 60, 120, 4290, 270, 17250, 270, 240
281, 60, 150, 4260, 270, 17250, 270, 240
282, 60, 150, 4260, 270, 17280, 240, 240
283, 60, 120, 4290, 240, 17310, 240, 240
284, 60, 150, 4260, 270, 17250, 240, 240
285, 60, 120, 4290, 240, 17280, 240, 240
286, 60, 150, 4260, 270, 17280, 270, 240
287, 60, 150, 4260, 270, 17250, 240, 270
288, 60, 120, 4290, 270, 17250, 270, 240
289, 60, 120, 4290, 270, 17250, 270, 240
290, 90, 120, 4290, 240, 17220, 270, 240
291, 60, 150, 4260, 270, 17280, 240, 270
292, 90, 120, 4290, 270, 17250, 270, 240
293, 60, 120, 4290, 270, 17250, 240, 240
294, 60, 150, 4260, 270, 17250, 270, 240
295, 60, 150, 4260, 270, 17250, 240, 240
296, 60, 150, 4260, 270, 17280, 240, 270
297, 60, 150, 4260, 270, 17280, 270, 240
298, 60, 150, 4260, 270, 17250, 270, 240
299, 90, 120, 4290, 270, 17430, 270, 240
