# trial, bytes, microseconds
0, 32, 854.085999
1, 32, 670.265015
2, 32, 643.375977
3, 32, 650.708984
4, 32, 634.575989
5, 32, 636.531006
6, 32, 637.997009
7, 32, 632.130981
8, 32, 629.687012
9, 32, 631.153015
0, 64, 634.086975
1, 64, 633.598022
2, 64, 636.043030
3, 64, 632.132019
4, 64, 657.552979
5, 64, 643.864990
6, 64, 637.997986
7, 64, 649.731018
8, 64, 649.731018
9, 64, 646.309021
0, 128, 630.176025
1, 128, 638.976013
2, 128, 637.997009
3, 128, 637.508972
4, 128, 638.487000
5, 128, 643.375977
6, 128, 634.085999
7, 128, 639.463989
8, 128, 630.176025
9, 128, 969.463013
0, 256, 663.908997
1, 256, 626.263977
2, 256, 626.265015
3, 256, 637.508972
4, 256, 632.130981
5, 256, 639.465027
6, 256, 646.797974
7, 256, 635.065002
8, 256, 641.908997
9, 256, 643.375000
0, 512, 644.353027
1, 512, 638.486023
2, 512, 635.065002
3, 512, 641.419983
4, 512, 964.575012
5, 512, 628.219971
6, 512, 632.619995
7, 512, 640.442017
8, 512, 633.109009
9, 512, 631.153992
0, 1024, 638.976013
1, 1024, 647.286011
2, 1024, 632.619995
3, 1024, 636.531006
4, 1024, 684.931030
5, 1024, 652.176025
6, 1024, 636.043030
7, 1024, 637.508972
8, 1024, 639.465027
9, 1024, 644.353027
0, 2048, 632.130981
1, 2048, 636.041992
2, 2048, 659.508972
3, 2048, 634.575012
4, 2048, 639.953979
5, 2048, 637.997986
6, 2048, 643.864014
7, 2048, 637.508972
8, 2048, 637.997009
9, 2048, 641.419983
0, 4096, 655.598022
1, 4096, 630.176025
2, 4096, 637.508972
3, 4096, 633.598022
4, 4096, 640.931030
5, 4096, 620.887024
6, 4096, 635.552979
7, 4096, 641.419983
8, 4096, 639.463989
9, 4096, 632.130981
0, 8192, 642.398010
1, 8192, 650.708984
2, 8192, 641.908997
3, 8192, 634.085999
4, 8192, 641.421021
5, 8192, 641.908997
6, 8192, 626.265015
7, 8192, 638.976013
8, 8192, 1023.729980
9, 8192, 672.219971
0, 16384, 639.465027
1, 16384, 637.020996
2, 16384, 634.086975
3, 16384, 635.554016
4, 16384, 645.820007
5, 16384, 648.263977
6, 16384, 646.797974
7, 16384, 643.375977
8, 16384, 652.176025
9, 16384, 662.931030
0, 32768, 675.153992
1, 32768, 664.885986
2, 32768, 664.396973
3, 32768, 689.330994
4, 32768, 656.575012
5, 32768, 659.997986
6, 32768, 672.219971
7, 32768, 679.064026
8, 32768, 664.398010
9, 32768, 650.708984
0, 65536, 698.619995
1, 65536, 710.353027
2, 65536, 713.776001
3, 65536, 1067.240967
4, 65536, 713.776001
5, 65536, 700.085999
6, 65536, 805.685974
7, 65536, 732.841980
8, 65536, 831.596985
9, 65536, 744.086975
0, 131072, 776.841980
1, 131072, 763.642029
2, 131072, 799.820007
3, 131072, 764.619019
4, 131072, 761.685974
5, 131072, 766.085999
6, 131072, 841.375000
7, 131072, 786.130981
8, 131072, 765.596985
9, 131072, 752.887024
0, 262144, 924.486023
1, 262144, 881.952026
2, 262144, 884.885986
3, 262144, 875.107971
4, 262144, 879.508972
5, 262144, 874.130005
6, 262144, 875.107971
7, 262144, 897.107971
8, 262144, 887.818970
9, 262144, 901.997009
0, 524288, 1203.640015
1, 524288, 1126.395996
2, 524288, 1383.062012
3, 524288, 1165.995972
4, 524288, 1110.262939
5, 524288, 1152.307007
6, 524288, 1113.685059
7, 524288, 1124.441040
8, 524288, 1101.463013
9, 524288, 1108.796997
0, 1048576, 1747.282959
1, 1048576, 1627.994995
2, 1048576, 1590.349976
3, 1048576, 1957.505005
4, 1048576, 1583.016968
5, 1048576, 1573.728027
6, 1048576, 1572.750977
7, 1048576, 1579.594971
8, 1048576, 1558.083008
9, 1048576, 1582.038940
0, 2097152, 2844.345947
1, 2097152, 2638.524902
2, 2097152, 2573.991943
3, 2097152, 2566.657959
4, 2097152, 2909.367920
5, 2097152, 2570.569092
6, 2097152, 2552.969971
7, 2097152, 2513.857910
8, 2097152, 2528.035889
9, 2097152, 2773.946045
0, 4194304, 5042.872070
1, 4194304, 4870.294922
2, 4194304, 4666.917969
3, 4194304, 4839.494141
4, 4194304, 4641.005859
5, 4194304, 4704.074219
6, 4194304, 4631.229004
7, 4194304, 4705.540039
8, 4194304, 4610.207031
9, 4194304, 4695.272949
0, 8388608, 12417.736328
1, 8388608, 11262.006836
2, 8388608, 11143.696289
3, 8388608, 11132.451172
4, 8388608, 11162.274414
5, 8388608, 11158.363281
6, 8388608, 11239.029297
7, 8388608, 11188.184570
8, 8388608, 11219.473633
9, 8388608, 11249.785156
0, 16777216, 24189.164062
1, 16777216, 21637.171875
2, 16777216, 21633.259766
3, 16777216, 21716.371094
4, 16777216, 21637.171875
5, 16777216, 21616.638672
6, 16777216, 21500.283203
7, 16777216, 21504.195312
8, 16777216, 21597.572266
9, 16777216, 21487.572266
