# trial, microseconds
0, 170
1, 94
2, 83
3, 92
4, 82
5, 82
6, 94
7, 89
8, 84
9, 88
10, 81
11, 81
12, 82
13, 87
14, 87
15, 87
16, 87
17, 87
18, 87
19, 88
20, 92
21, 87
22, 87
23, 88
24, 87
25, 87
26, 82
27, 87
28, 87
29, 87
30, 87
31, 91
32, 83
33, 88
34, 88
35, 87
36, 88
37, 92
38, 87
39, 89
40, 88
41, 88
42, 88
43, 82
44, 86
45, 87
46, 87
47, 87
48, 87
49, 87
50, 87
51, 87
52, 87
53, 87
54, 87
55, 88
56, 154
57, 89
58, 87
59, 92
60, 88
61, 87
62, 87
63, 82
64, 91
65, 91
66, 87
67, 87
68, 91
69, 87
70, 92
71, 88
72, 88
73, 88
74, 87
75, 87
76, 87
77, 87
78, 87
79, 87
80, 87
81, 107
82, 91
83, 83
84, 89
85, 88
86, 92
87, 88
88, 87
89, 87
90, 91
91, 87
92, 91
93, 87
94, 88
95, 87
96, 88
97, 87
98, 88
99, 90
100, 83
101, 88
102, 92
103, 88
104, 88
105, 91
106, 142
107, 91
108, 88
109, 90
110, 88
111, 87
112, 88
113, 88
114, 87
115, 82
116, 82
117, 88
118, 91
119, 88
120, 88
121, 87
122, 88
123, 87
124, 87
125, 88
126, 87
127, 88
128, 87
129, 88
130, 87
131, 91
132, 92
133, 91
134, 88
135, 88
136, 88
137, 88
138, 90
139, 88
140, 91
141, 88
142, 88
143, 88
144, 92
145, 88
146, 88
147, 88
148, 87
149, 84
150, 88
151, 88
152, 88
153, 88
154, 88
155, 88
156, 89
157, 150
158, 89
159, 88
160, 89
161, 89
162, 88
163, 92
164, 90
165, 87
166, 87
167, 88
168, 91
169, 92
170, 91
171, 89
172, 87
173, 88
174, 87
175, 92
176, 87
177, 92
178, 88
179, 88
180, 92
181, 89
182, 94
183, 88
184, 88
185, 92
186, 88
187, 88
188, 88
189, 87
190, 88
191, 88
192, 88
193, 83
194, 87
195, 88
196, 89
197, 91
198, 87
199, 91
200, 87
201, 87
