# trial, us for 1000 calls
0, 149159
1, 148779
2, 149531
3, 151896
4, 150169
5, 149296
6, 148391
7, 148645
8, 148685
9, 148797
10, 147940
11, 150602
12, 150980
13, 148194
14, 152784
15, 154600
16, 151564
17, 155100
18, 153040
19, 150536
20, 150352
21, 150006
22, 149222
23, 148992
24, 154311
25, 150464
26, 151236
27, 150663
28, 152109
29, 154896
30, 151436
31, 154391
32, 153085
33, 156230
34, 155078
35, 152565
36, 149686
37, 153578
38, 150986
39, 152940
40, 153955
41, 149394
42, 153626
43, 155552
44, 154983
45, 154495
46, 154424
47, 155495
48, 155087
49, 152341
50, 154833
51, 155366
52, 151934
53, 150305
54, 153606
55, 153738
56, 154595
57, 153156
58, 151336
59, 155627
60, 152027
61, 152847
62, 154813
63, 152833
64, 154500
65, 155202
66, 154257
67, 150687
68, 154803
69, 154670
70, 152079
71, 155189
72, 154816
73, 154724
74, 150061
75, 151770
76, 153434
77, 150998
78, 151601
79, 149508
80, 151713
81, 155501
82, 153988
83, 154368
84, 154260
85, 154073
86, 151605
87, 155192
88, 154798
89, 152922
90, 150498
91, 152322
92, 151829
93, 155349
94, 154593
95, 151679
96, 153530
97, 149152
98, 149079
99, 149703
