# trial, microseconds
0, 1423
1, 238
2, 229
3, 226
4, 224
5, 292
6, 226
7, 226
8, 222
9, 223
10, 227
11, 222
12, 222
13, 227
14, 222
15, 228
16, 228
17, 223
18, 301
19, 226
20, 223
21, 227
22, 226
23, 223
24, 224
25, 227
26, 223
27, 223
28, 228
29, 225
30, 224
31, 231
32, 279
33, 226
34, 220
35, 224
36, 220
37, 222
38, 223
39, 221
40, 221
41, 223
42, 220
43, 221
44, 221
45, 247
46, 221
47, 230
48, 223
49, 222
50, 222
51, 221
52, 221
53, 220
54, 221
55, 224
56, 222
57, 220
58, 221
59, 325
60, 226
61, 223
62, 221
63, 236
64, 261
65, 224
66, 222
67, 223
68, 222
69, 222
70, 220
71, 222
72, 251
73, 224
74, 222
75, 223
76, 222
77, 223
78, 229
79, 223
80, 222
81, 223
82, 225
83, 224
84, 222
85, 220
86, 225
87, 225
88, 223
89, 224
90, 223
91, 223
92, 223
93, 222
94, 229
95, 222
96, 223
97, 222
98, 223
99, 256
100, 222
101, 224
102, 223
103, 223
104, 221
105, 222
106, 225
107, 222
108, 222
109, 222
110, 226
111, 221
112, 223
113, 222
114, 223
115, 223
116, 223
117, 222
118, 221
119, 223
120, 223
121, 223
122, 222
123, 221
124, 221
125, 220
126, 291
127, 227
128, 225
129, 219
130, 221
131, 223
132, 222
133, 222
134, 223
135, 223
136, 224
137, 220
138, 223
139, 223
140, 239
141, 230
142, 221
143, 221
144, 222
145, 221
146, 220
147, 222
148, 219
149, 220
150, 220
151, 220
152, 221
153, 297
154, 226
155, 222
156, 221
157, 229
158, 222
159, 222
160, 222
161, 222
162, 221
163, 222
164, 223
165, 219
166, 221
167, 254
168, 223
169, 219
170, 222
171, 219
172, 222
173, 230
174, 224
175, 222
176, 221
177, 222
178, 219
179, 225
180, 260
181, 223
182, 223
183, 221
184, 222
185, 220
186, 222
187, 222
188, 222
189, 228
190, 222
191, 223
192, 224
193, 222
194, 254
195, 226
196, 222
197, 223
198, 225
199, 221
200, 221
201, 224
202, 221
203, 221
204, 231
205, 222
206, 220
207, 223
208, 221
209, 223
210, 224
211, 223
212, 222
213, 223
214, 221
215, 221
216, 223
217, 220
218, 223
219, 225
220, 228
221, 274
222, 226
223, 223
224, 222
225, 225
226, 221
227, 222
228, 228
229, 222
230, 220
231, 226
232, 223
233, 219
234, 225
235, 225
236, 229
237, 233
238, 223
239, 222
240, 226
241, 221
242, 219
243, 226
244, 222
245, 222
246, 225
247, 222
248, 271
249, 225
250, 220
251, 220
252, 232
253, 222
254, 221
255, 226
256, 222
257, 221
258, 226
259, 220
260, 221
261, 225
262, 222
263, 222
264, 225
265, 221
266, 220
267, 232
268, 221
269, 220
270, 225
271, 221
272, 221
273, 226
274, 220
275, 298
276, 224
277, 221
278, 221
279, 220
280, 221
281, 221
282, 221
283, 230
284, 231
285, 222
286, 221
287, 222
288, 220
289, 218
290, 223
291, 222
292, 221
293, 221
294, 221
295, 221
296, 221
297, 220
298, 221
299, 230
300, 221
301, 223
302, 265
303, 223
304, 221
305, 220
306, 220
307, 220
308, 220
309, 220
310, 221
311, 220
312, 223
313, 220
314, 222
315, 229
316, 246
317, 222
318, 221
319, 229
320, 223
321, 219
322, 221
323, 220
324, 221
325, 221
326, 221
327, 221
328, 221
329, 219
330, 229
331, 223
332, 223
333, 220
334, 221
335, 221
336, 220
337, 220
338, 219
339, 220
340, 221
341, 220
342, 220
343, 251
344, 221
345, 221
346, 226
347, 222
348, 222
349, 222
350, 221
351, 220
352, 220
353, 221
354, 221
355, 220
356, 220
357, 247
358, 221
359, 221
360, 221
361, 220
362, 227
363, 222
364, 221
365, 220
366, 220
367, 220
368, 221
369, 220
370, 220
371, 225
372, 222
373, 221
374, 227
375, 222
376, 220
377, 222
378, 230
379, 222
380, 223
381, 221
382, 222
383, 222
384, 255
385, 224
386, 225
387, 222
388, 223
389, 222
390, 221
391, 221
392, 222
393, 229
394, 221
395, 221
396, 220
397, 222
398, 294
399, 227
400, 223
401, 222
402, 221
403, 223
404, 220
405, 221
406, 222
407, 222
408, 222
409, 228
410, 222
411, 245
412, 223
413, 222
414, 222
415, 221
416, 222
417, 222
418, 221
419, 221
420, 221
421, 221
422, 222
423, 221
424, 221
425, 279
426, 225
427, 225
428, 221
429, 221
430, 224
431, 224
432, 221
433, 225
434, 222
435, 222
436, 228
437, 222
438, 250
439, 228
440, 223
441, 226
442, 224
443, 222
444, 220
445, 225
446, 222
447, 222
448, 227
449, 221
450, 220
451, 226
452, 247
453, 224
454, 227
455, 222
456, 228
457, 226
458, 223
459, 222
460, 227
461, 221
462, 221
463, 225
464, 223
465, 221
466, 224
467, 222
468, 221
469, 221
470, 220
471, 220
472, 228
473, 221
474, 221
475, 222
476, 221
477, 221
478, 222
479, 259
480, 223
481, 220
482, 221
483, 223
484, 222
485, 223
486, 221
487, 221
488, 231
489, 226
490, 223
491, 222
492, 225
493, 252
494, 222
495, 224
496, 223
497, 221
498, 222
499, 223
500, 223
501, 222
502, 222
503, 222
504, 229
505, 223
506, 248
507, 227
508, 223
509, 223
510, 225
511, 223
512, 222
513, 224
514, 220
515, 220
516, 224
517, 222
518, 220
519, 230
520, 263
521, 223
522, 225
523, 222
524, 222
525, 224
526, 222
527, 223
528, 226
529, 222
530, 223
531, 225
532, 224
533, 221
534, 223
535, 232
536, 222
537, 221
538, 220
539, 221
540, 219
541, 220
542, 220
543, 220
544, 220
545, 221
546, 220
547, 255
548, 223
549, 222
550, 225
551, 228
552, 222
553, 227
554, 221
555, 222
556, 227
557, 223
558, 221
559, 225
560, 222
561, 304
562, 224
563, 225
564, 223
565, 221
566, 225
567, 228
568, 223
569, 225
570, 220
571, 220
572, 226
573, 220
574, 252
575, 225
576, 223
577, 221
578, 221
579, 222
580, 222
581, 223
582, 228
583, 223
584, 222
585, 222
586, 220
587, 222
588, 249
589, 222
590, 222
591, 222
592, 222
593, 222
594, 222
595, 221
596, 223
597, 222
598, 231
599, 223
600, 222
601, 242
602, 226
603, 223
604, 222
605, 225
606, 221
607, 221
608, 224
609, 223
610, 221
611, 224
612, 221
613, 223
614, 231
615, 293
616, 225
617, 226
618, 220
619, 222
620, 227
621, 222
622, 221
623, 224
624, 231
625, 221
626, 226
627, 223
628, 283
629, 224
630, 227
631, 219
632, 222
633, 223
634, 222
635, 221
636, 221
637, 222
638, 223
639, 223
640, 223
641, 223
642, 258
643, 225
644, 221
645, 230
646, 223
647, 221
648, 222
649, 222
650, 221
651, 221
652, 224
653, 220
654, 222
655, 221
656, 224
657, 221
658, 221
659, 223
660, 222
661, 226
662, 222
663, 222
664, 223
665, 224
666, 222
667, 222
668, 221
669, 299
670, 228
671, 222
672, 223
673, 227
674, 220
675, 221
676, 226
677, 231
678, 222
679, 225
680, 220
681, 222
682, 225
683, 224
684, 225
685, 225
686, 222
687, 221
688, 226
689, 222
690, 221
691, 225
692, 221
693, 227
694, 227
695, 221
696, 237
697, 223
698, 223
699, 222
700, 222
701, 222
702, 220
703, 224
704, 223
705, 222
706, 222
707, 219
708, 228
709, 223
710, 254
711, 223
712, 222
713, 222
714, 221
715, 222
716, 221
717, 221
718, 220
719, 220
720, 224
721, 222
722, 221
723, 273
724, 232
725, 223
726, 224
727, 223
728, 223
729, 226
730, 222
731, 223
732, 225
733, 221
734, 222
735, 228
736, 223
737, 237
738, 222
739, 222
740, 230
741, 224
742, 221
743, 222
744, 222
745, 228
746, 221
747, 220
748, 222
749, 221
750, 222
751, 224
752, 223
753, 220
754, 220
755, 221
756, 229
757, 222
758, 221
759, 222
760, 223
761, 222
762, 223
763, 223
764, 244
765, 222
766, 223
767, 224
768, 223
769, 223
770, 221
771, 226
772, 223
773, 222
774, 222
775, 221
776, 222
777, 221
778, 206
779, 223
780, 222
781, 221
782, 221
783, 223
784, 222
785, 221
786, 221
787, 228
788, 224
789, 222
790, 223
791, 253
792, 223
793, 223
794, 223
795, 223
796, 222
797, 222
798, 224
799, 221
800, 220
801, 222
802, 221
803, 229
804, 223
805, 292
806, 225
807, 223
808, 223
809, 222
810, 222
811, 221
812, 222
813, 223
814, 223
815, 224
816, 222
817, 223
818, 248
819, 230
820, 224
821, 233
822, 225
823, 223
824, 223
825, 222
826, 224
827, 223
828, 222
829, 221
830, 223
831, 225
832, 244
833, 223
834, 228
835, 222
836, 223
837, 221
838, 222
839, 221
840, 222
841, 222
842, 222
843, 221
844, 222
845, 241
846, 223
847, 222
848, 222
849, 223
850, 227
851, 221
852, 222
853, 221
854, 221
855, 223
856, 222
857, 225
858, 221
859, 261
860, 225
861, 222
862, 223
863, 223
864, 222
865, 222
866, 228
867, 222
868, 223
869, 223
870, 224
871, 224
872, 222
873, 224
874, 222
875, 220
876, 225
877, 221
878, 221
879, 222
880, 223
881, 223
882, 227
883, 222
884, 222
885, 223
886, 263
887, 225
888, 221
889, 222
890, 222
891, 221
892, 221
893, 220
894, 222
895, 223
896, 223
897, 229
898, 221
899, 221
900, 244
901, 225
902, 223
903, 221
904, 221
905, 223
906, 223
907, 222
908, 222
909, 220
910, 221
911, 220
912, 222
913, 228
