# trial, microseconds
0, 1466
1, 236
2, 230
3, 219
4, 221
5, 255
6, 220
7, 224
8, 228
9, 219
10, 221
11, 221
12, 219
13, 220
14, 220
15, 235
16, 219
17, 222
18, 219
19, 244
20, 222
21, 218
22, 233
23, 221
24, 221
25, 219
26, 221
27, 217
28, 219
29, 229
30, 220
31, 225
32, 253
33, 218
34, 219
35, 223
36, 216
37, 217
38, 217
39, 220
40, 217
41, 220
42, 217
43, 228
44, 221
45, 220
46, 321
47, 229
48, 219
49, 232
50, 218
51, 219
52, 219
53, 218
54, 217
55, 221
56, 223
57, 219
58, 217
59, 242
60, 221
61, 220
62, 218
63, 240
64, 262
65, 220
66, 217
67, 217
68, 217
69, 216
70, 226
71, 219
72, 217
73, 284
74, 222
75, 217
76, 226
77, 218
78, 225
79, 217
80, 216
81, 215
82, 217
83, 233
84, 218
85, 217
86, 216
87, 218
88, 220
89, 217
90, 221
91, 216
92, 218
93, 215
94, 223
95, 218
96, 217
97, 224
98, 219
99, 220
100, 244
101, 219
102, 219
103, 215
104, 223
105, 218
106, 218
107, 218
108, 216
109, 218
110, 222
111, 226
112, 219
113, 217
114, 273
115, 222
116, 217
117, 234
118, 217
119, 219
120, 218
121, 217
122, 219
123, 218
124, 235
125, 217
126, 225
127, 220
128, 223
129, 221
130, 219
131, 222
132, 218
133, 219
134, 220
135, 218
136, 219
137, 219
138, 219
139, 220
140, 219
141, 253
142, 219
143, 220
144, 217
145, 216
146, 219
147, 218
148, 217
149, 219
150, 217
151, 222
152, 218
153, 218
154, 216
155, 248
156, 218
157, 225
158, 233
159, 219
160, 218
161, 220
162, 217
163, 218
164, 219
165, 229
166, 217
167, 220
168, 218
169, 236
170, 224
171, 219
172, 229
173, 229
174, 229
175, 219
176, 220
177, 217
178, 217
179, 237
180, 217
181, 218
182, 241
183, 217
184, 216
185, 222
186, 216
187, 216
188, 222
189, 223
190, 218
191, 222
192, 219
193, 218
194, 220
195, 217
196, 233
197, 223
198, 215
199, 217
200, 221
201, 217
202, 216
203, 221
204, 224
205, 217
206, 220
207, 217
208, 217
209, 221
210, 297
211, 222
212, 217
213, 221
214, 217
215, 227
216, 221
217, 219
218, 217
219, 223
220, 225
221, 218
222, 222
223, 261
224, 222
225, 223
226, 218
227, 219
228, 222
229, 218
230, 219
231, 221
232, 217
233, 217
234, 221
235, 218
236, 225
237, 245
238, 221
239, 218
240, 221
241, 217
242, 218
243, 222
244, 218
245, 217
246, 222
247, 217
248, 218
249, 221
250, 217
251, 249
252, 229
253, 218
254, 216
255, 222
256, 218
257, 216
258, 223
259, 219
260, 217
261, 222
262, 216
263, 218
264, 222
265, 239
266, 218
267, 225
268, 218
269, 217
270, 217
271, 217
272, 218
273, 218
274, 217
275, 219
276, 217
277, 217
278, 244
279, 221
280, 219
281, 219
282, 218
283, 224
284, 217
285, 216
286, 218
287, 218
288, 217
289, 217
290, 218
291, 218
292, 241
293, 219
294, 217
295, 218
296, 219
297, 219
298, 218
299, 222
300, 219
301, 217
302, 217
303, 217
304, 218
305, 217
306, 246
307, 219
308, 219
309, 217
310, 217
311, 218
312, 218
313, 219
314, 218
315, 225
316, 218
317, 219
318, 218
319, 228
320, 291
321, 220
322, 219
323, 218
324, 217
325, 218
326, 218
327, 218
328, 218
329, 218
330, 226
331, 219
332, 217
333, 218
334, 220
335, 218
336, 219
337, 218
338, 218
339, 218
340, 222
341, 219
342, 218
343, 218
344, 220
345, 217
346, 225
347, 242
348, 217
349, 218
350, 217
351, 217
352, 219
353, 218
354, 218
355, 219
356, 218
357, 218
358, 219
359, 219
360, 218
361, 261
362, 227
363, 221
364, 218
365, 218
366, 219
367, 218
368, 218
369, 219
370, 218
371, 219
372, 219
373, 219
374, 217
375, 303
376, 225
377, 220
378, 225
379, 220
380, 218
381, 219
382, 220
383, 221
384, 220
385, 221
386, 220
387, 220
388, 217
389, 219
390, 218
391, 218
392, 219
393, 225
394, 220
395, 219
396, 219
397, 218
398, 218
399, 219
400, 219
401, 217
402, 241
403, 220
404, 219
405, 218
406, 218
407, 216
408, 218
409, 224
410, 218
411, 217
412, 219
413, 217
414, 217
415, 218
416, 248
417, 218
418, 218
419, 218
420, 216
421, 217
422, 219
423, 219
424, 218
425, 224
426, 219
427, 219
428, 218
429, 219
430, 297
431, 225
432, 220
433, 218
434, 217
435, 219
436, 218
437, 220
438, 221
439, 218
440, 219
441, 229
442, 220
443, 220
444, 222
445, 219
446, 217
447, 222
448, 220
449, 218
450, 220
451, 219
452, 218
453, 220
454, 217
455, 218
456, 227
457, 244
458, 219
459, 219
460, 218
461, 219
462, 220
463, 218
464, 219
465, 218
466, 220
467, 220
468, 219
469, 218
470, 217
471, 241
472, 226
473, 220
474, 218
475, 220
476, 218
477, 219
478, 218
479, 217
480, 217
481, 218
482, 219
483, 219
484, 219
485, 305
486, 221
487, 219
488, 227
489, 217
490, 218
491, 219
492, 219
493, 218
494, 219
495, 221
496, 220
497, 219
498, 217
499, 219
500, 222
501, 218
502, 219
503, 219
504, 226
505, 218
506, 220
507, 219
508, 219
509, 219
510, 220
511, 221
512, 240
513, 220
514, 219
515, 219
516, 226
517, 217
518, 218
519, 224
