# trial, us for 1000 calls
0, 295999
1, 294320
2, 294592
3, 294753
4, 294785
5, 296137
6, 296956
7, 294209
8, 295092
9, 293290
10, 293393
11, 292923
12, 292961
13, 294915
14, 293868
15, 294436
16, 294160
17, 294538
18, 295793
19, 292790
20, 291563
21, 297991
22, 295873
23, 292974
24, 293643
25, 294935
26, 294842
27, 294548
28, 292762
29, 292269
30, 292712
31, 292374
32, 295678
33, 294880
34, 293792
35, 294567
36, 296535
37, 295838
38, 295273
39, 296233
40, 296115
41, 295325
42, 297106
43, 295359
44, 294721
45, 295725
46, 294665
47, 294549
48, 295165
49, 296659
50, 295426
51, 294008
52, 294902
53, 297275
54, 301214
55, 299150
56, 299102
57, 296259
58, 296502
59, 300986
60, 295915
61, 293265
62, 294971
63, 290282
64, 290154
65, 291796
66, 291870
67, 297054
68, 290782
69, 296181
70, 291020
71, 289698
72, 292689
73, 293651
74, 291265
75, 301190
76, 301469
77, 301858
78, 293037
79, 293511
80, 295899
81, 293438
82, 293754
83, 293808
84, 296829
85, 293898
86, 291667
87, 296066
88, 296719
89, 294943
90, 290951
91, 289902
92, 289420
93, 291174
94, 293557
95, 290590
96, 292629
97, 292653
98, 291575
99, 295859
