# trial, us for 1000 calls
0, 305428
1, 307067
2, 299324
3, 297225
4, 297288
5, 298070
6, 296738
7, 301197
8, 301245
9, 297841
10, 303836
11, 304751
12, 299383
13, 293808
14, 297495
15, 297933
16, 296570
17, 297148
18, 294985
19, 293758
20, 293885
21, 296134
22, 296838
23, 294721
24, 295898
25, 296564
26, 296167
27, 296729
28, 295981
29, 295991
30, 295750
31, 296600
32, 296888
33, 296219
34, 296221
35, 295690
36, 294084
37, 295489
38, 294317
39, 292481
40, 294679
41, 293412
42, 294746
43, 294336
44, 292998
45, 294144
46, 295225
47, 293670
48, 294411
49, 296076
50, 295406
51, 293642
52, 297621
53, 295059
54, 296317
55, 295494
56, 296084
57, 297378
58, 294705
59, 295810
60, 301616
61, 299970
62, 298425
63, 299374
64, 299919
65, 300146
66, 301751
67, 301627
68, 299369
69, 298798
70, 298603
71, 299315
72, 299321
73, 299165
74, 299849
75, 301744
76, 302912
77, 303150
78, 301507
79, 300300
80, 300302
81, 300381
82, 300271
83, 300593
84, 300593
85, 300056
86, 299873
87, 299832
88, 300967
89, 300943
90, 301494
91, 301601
92, 301866
93, 302648
94, 300864
95, 300666
96, 300120
97, 301739
98, 300500
99, 299012
