# trial, latency
0,895
1,660
2,674
3,647
4,652
5,644
6,664
7,631
8,631
9,629
10,631
11,631
12,702
13,633
14,629
15,630
16,631
17,632
18,645
19,633
20,634
21,631
22,630
23,632
24,629
25,650
26,631
27,631
28,630
29,630
30,630
31,647
32,633
33,630
34,630
35,629
36,629
37,653
38,633
39,631
40,631
41,632
42,631
43,649
44,666
45,631
46,629
47,631
48,633
49,630
50,672
51,631
52,630
53,632
54,631
55,632
56,660
57,631
58,632
59,633
60,631
61,630
62,658
63,631
64,630
65,630
66,659
67,631
68,630
69,657
70,631
71,630
72,647
73,630
74,645
75,670
76,630
77,628
78,630
79,630
80,629
81,664
82,630
83,630
84,631
85,630
86,633
87,657
88,632
89,630
90,639
91,630
92,629
93,629
94,657
95,629
96,633
97,631
98,633
99,633
100,654
101,629
102,628
103,630
104,629
105,629
106,653
107,630
108,630
109,630
110,632
111,629
112,628
113,650
114,632
115,631
116,634
117,631
118,630
119,653
120,631
121,633
122,631
123,648
124,634
125,653
126,631
127,629
128,630
129,628
130,630
131,647
132,631
133,631
134,630
135,628
136,632
137,632
138,650
139,630
140,632
141,634
142,631
143,631
144,653
145,631
146,628
147,630
148,631
149,631
150,641
151,631
152,629
153,631
154,632
155,632
156,630
157,642
158,632
159,629
160,633
161,630
162,632
163,641
164,630
165,633
166,632
167,631
168,633
169,640
170,632
171,647
172,631
173,632
174,631
175,642
176,634
177,632
178,631
179,631
180,631
181,628
182,647
183,632
184,630
185,632
186,629
187,631
188,648
189,631
190,630
191,632
192,632
193,631
194,669
195,634
196,633
197,635
198,631
199,632
200,632
201,650
202,632
203,633
204,633
205,632
206,630
207,644
208,633
209,632
210,632
211,632
212,633
213,648
214,632
215,631
216,630
217,629
218,630
219,640
220,631
221,629
222,631
223,631
224,631
225,630
226,646
227,631
228,630
229,631
230,630
231,632
232,639
233,631
234,632
235,630
236,631
237,630
238,638
239,630
240,631
241,631
242,630
243,632
244,631
245,653
246,633
247,630
248,631
249,631
250,629
251,641
252,630
253,629
254,632
255,629
256,628
257,639
258,632
259,631
260,632
261,631
262,629
263,629
264,641
265,629
266,630
267,631
268,630
269,633
270,640
271,630
272,634
273,631
274,632
275,631
276,641
277,632
278,631
279,632
280,630
281,630
282,640
283,632
284,631
285,631
286,632
287,629
288,631
289,639
290,630
291,630
292,630
293,632
294,633
295,649
296,632
297,631
298,632
299,631
300,631
301,646
302,632
303,632
304,632
305,632
306,638
307,632
308,642
309,631
310,630
311,629
312,630
313,629
314,643
315,631
316,631
317,642
318,631
319,630
320,650
321,633
322,631
323,632
324,633
325,631
326,631
327,643
328,642
329,634
330,632
331,630
332,635
333,645
334,632
335,633
336,632
337,632
338,632
339,649
340,633
341,633
342,632
343,633
344,632
345,645
346,631
347,632
348,632
349,630
350,638
351,630
352,646
353,631
354,631
355,631
356,631
357,631
358,640
359,631
360,633
361,630
362,632
363,630
364,641
365,630
366,629
367,630
368,632
369,636
370,631
371,638
372,631
373,630
374,631
375,632
376,631
377,643
378,634
379,639
380,631
381,630
382,630
383,640
384,632
385,632
386,632
387,631
388,631
389,628
390,637
391,630
392,632
393,630
394,631
395,631
396,640
397,631
398,634
399,631
400,630
401,627
402,641
403,631
404,633
405,632
406,632
407,631
408,641
409,630
410,631
411,632
412,630
413,633
414,632
415,641
416,631
417,632
418,630
419,631
420,631
421,641
422,631
423,630
424,632
425,631
426,632
427,641
428,634
429,631
430,631
431,630
432,632
433,629
434,640
435,631
436,630
437,631
438,634
439,632
440,640
441,633
442,632
443,633
444,630
445,630
446,640
447,629
448,631
449,631
450,630
451,632
452,629
453,641
454,635
455,631
456,631
457,631
458,630
459,640
460,631
461,632
462,630
463,630
464,632
465,639
466,631
467,629
468,630
469,630
470,630
471,637
472,632
473,631
474,630
475,630
476,633
477,633
478,642
479,630
480,631
481,631
482,629
483,630
484,640
485,632
486,632
487,630
488,631
489,630
490,640
491,630
492,629
493,632
494,632
495,629
496,633
497,641
498,631
499,631
500,632
501,632
502,632
503,641
504,630
505,630
506,632
507,632
508,630
509,640
510,633
511,631
512,631
513,632
514,630
515,629
516,641
517,632
518,632
519,630
520,632
521,630
522,640
523,631
524,636
525,632
526,630
527,632
528,642
529,631
530,630
531,630
532,632
533,630
534,630
535,632
536,631
537,632
538,633
539,633
540,632
541,643
542,633
543,630
544,631
545,632
546,631
547,640
548,631
549,631
550,631
551,632
552,632
553,639
554,632
555,631
556,631
557,630
558,633
559,630
560,643
561,633
562,630
563,629
564,632
565,631
566,639
567,630
568,632
569,630
570,632
571,633
572,645
573,632
574,632
575,632
576,633
577,631
578,632
579,641
580,631
581,628
582,631
583,631
584,631
585,639
586,632
587,633
588,631
589,630
590,632
591,639
592,631
593,630
594,630
595,631
596,631
597,630
598,657
599,630
600,632
601,632
602,630
603,630
604,642
605,631
606,631
607,631
608,631
609,633
610,643
611,632
612,632
613,633
614,630
615,633
616,640
617,632
618,632
619,632
620,633
621,633
622,631
623,640
624,629
625,631
626,631
627,630
628,630
629,640
630,633
631,633
632,632
633,631
634,632
635,641
636,633
637,631
638,632
639,631
640,629
641,631
642,641
643,631
644,628
645,630
646,631
647,633
648,639
649,632
650,632
651,634
652,632
653,631
654,640
655,632
656,631
657,633
658,632
659,633
660,630
661,640
662,630
663,631
664,631
665,631
666,632
667,642
668,631
669,631
670,634
671,632
672,631
673,641
674,632
675,632
676,633
677,632
678,632
679,639
680,634
681,630
682,630
683,632
684,631
685,632
686,638
687,632
688,630
689,631
690,632
691,630
692,641
693,630
694,631
695,631
696,631
697,630
698,651
699,633
700,631
701,632
702,631
703,631
704,631
705,641
706,631
707,632
708,631
709,633
710,631
711,641
712,651
713,634
714,631
715,630
716,630
717,649
718,631
719,629
720,633
721,631
722,633
723,631
724,644
725,630
726,630
727,649
728,632
729,631
730,650
731,633
732,632
733,631
734,632
735,629
736,646
737,630
738,632
739,630
740,632
741,632
742,648
743,631
744,631
745,631
746,631
747,634
748,632
749,649
750,633
751,632
752,632
753,630
754,631
755,648
756,631
757,630
758,631
759,631
760,631
761,640
762,632
763,631
764,629
765,631
766,629
767,630
768,651
769,632
770,632
771,631
772,630
773,630
774,646
775,634
776,630
777,629
778,631
779,630
780,640
781,629
782,629
783,630
784,632
785,630
786,640
787,631
788,630
789,631
790,629
791,631
792,631
793,641
794,630
795,631
796,630
797,633
798,632
799,640
800,648
801,632
802,632
803,630
804,631
805,644
806,633
807,630
808,630
809,633
810,632
811,632
812,642
813,632
814,630
815,631
816,631
817,630
818,649
819,631
820,631
821,630
822,630
823,630
824,639
825,645
826,633
827,630
828,628
829,630
830,631
831,647
832,633
833,649
834,632
835,631
836,629
837,643
838,630
839,630
840,629
841,630
842,631
843,647
844,629
845,632
846,631
847,632
848,631
849,645
850,634
851,633
852,633
853,632
854,633
855,631
856,649
857,633
858,631
859,630
860,631
861,629
862,644
863,631
864,631
865,631
866,632
867,630
868,650
869,633
870,630
871,631
872,632
873,633
874,630
875,642
876,632
877,632
878,629
879,633
880,633
881,649
882,631
883,633
884,630
885,631
886,630
887,644
888,632
889,631
890,632
891,631
892,631
893,646
894,632
895,631
896,659
897,633
898,632
899,632
900,647
901,631
902,631
903,631
904,632
905,631
906,648
907,627
908,629
909,631
910,631
911,628
912,643
913,632
914,632
915,630
916,630
917,630
918,630
919,650
920,631
921,632
922,632
923,634
924,632
925,640
926,632
927,646
928,631
929,631
930,628
931,645
932,632
933,629
934,632
935,630
936,631
937,629
938,632
939,629
940,631
941,631
942,631
943,631
944,650
945,631
946,631
947,630
948,631
949,630
950,643
951,631
952,631
953,633
954,631
955,632
956,673
957,630
958,631
959,605
960,631
961,631
962,631
963,645
964,632
965,631
966,631
967,633
968,631
969,647
970,628
971,631
972,631
973,632
974,630
975,640
976,635
977,629
978,631
979,631
980,632
981,629
982,647
983,630
984,632
985,632
986,631
987,631
988,641
989,630
990,630
991,629
992,629
993,632
994,648
995,633
996,632
997,629
998,631
999,631
