# trial, latency
0,3290
1,1229
2,1233
3,1197
4,1194
5,1231
6,1193
7,1196
8,1196
9,1221
10,1192
11,1196
12,1224
13,1192
14,1194
15,1236
16,1195
17,1193
18,1234
19,1196
20,1192
21,1195
22,1219
23,1193
24,1194
25,1226
26,1193
27,1195
28,1216
29,1197
30,1193
31,1198
32,1215
33,1194
34,1194
35,1225
36,1193
37,1190
38,1212
39,1195
40,1194
41,1192
42,1218
43,1195
44,1193
45,1223
46,1196
47,1200
48,1226
49,1196
50,1194
51,1204
52,1211
53,1196
54,1193
55,1208
56,1192
57,1206
58,1227
59,1193
60,1193
61,1192
62,1213
63,1221
64,1197
65,1207
66,1194
67,1194
68,1219
69,1198
70,1192
71,1193
72,1206
73,1193
74,1207
75,1209
76,1195
77,1193
78,1217
79,1192
80,1192
81,1209
82,1191
83,1204
84,1191
85,1227
86,1194
87,1194
88,1215
89,1194
90,1194
91,1206
92,1194
93,1192
94,1198
95,1210
96,1192
97,1195
98,1215
99,1194
