# trial, latency
0,3745
1,753
2,760
3,725
4,723
5,725
6,722
7,791
8,722
9,722
10,722
11,722
12,775
13,717
14,724
15,721
16,723
17,722
18,751
19,723
20,722
21,721
22,722
23,768
24,721
25,723
26,722
27,722
28,723
29,762
30,722
31,721
32,722
33,722
34,756
35,723
36,730
37,722
38,724
39,722
40,759
41,722
42,721
43,721
44,723
45,751
46,721
47,719
48,721
49,720
50,720
51,747
52,723
53,722
54,722
55,723
56,750
57,721
58,721
59,721
60,721
61,723
62,751
63,733
64,723
65,722
66,726
67,752
68,722
69,725
70,723
71,723
72,722
73,748
74,723
75,722
76,722
77,726
78,752
79,721
80,724
81,722
82,722
83,722
84,758
85,725
86,723
87,724
88,722
89,743
90,722
91,722
92,725
93,723
94,753
95,719
96,723
97,723
98,724
99,724
