# trial, latency
0,3562
1,599
2,544
3,543
4,543
5,542
6,543
7,543
8,575
9,543
10,544
11,541
12,542
13,542
14,543
15,578
16,540
17,543
18,542
19,542
20,542
21,541
22,573
23,543
24,541
25,539
26,540
27,541
28,541
29,541
30,577
31,540
32,540
33,548
34,545
35,541
36,540
37,569
38,541
39,541
40,539
41,540
42,540
43,540
44,618
45,544
46,542
47,541
48,541
49,540
50,541
51,564
52,537
53,541
54,540
55,541
56,541
57,542
58,542
59,562
60,540
61,539
62,540
63,552
64,542
65,545
66,565
67,543
68,540
69,541
70,540
71,543
72,540
73,567
74,540
75,539
76,539
77,542
78,539
79,539
80,540
81,570
82,541
83,541
84,540
85,542
86,540
87,540
88,566
89,540
90,540
91,541
92,539
93,542
94,540
95,568
96,539
97,541
98,541
99,539
