# trial, latency (cycles)
0, 464482
1, 232547
2, 227839
3, 228004
4, 227282
5, 227240
6, 227451
7, 227303
8, 298166
9, 228438
10, 227861
11, 227509
12, 226976
13, 227473
14, 226786
15, 230271
16, 228573
17, 226813
18, 227551
19, 226807
20, 226795
21, 227570
22, 226844
23, 227296
24, 227395
25, 226819
26, 226800
27, 227050
28, 226838
29, 227123
30, 226813
31, 232035
32, 227370
33, 226737
34, 227461
35, 226879
36, 227196
37, 226733
38, 226755
39, 227350
40, 226818
41, 227227
42, 226739
43, 230141
44, 227455
45, 226886
46, 226884
47, 232699
48, 227164
49, 227342
50, 226895
51, 227423
52, 227501
53, 226876
54, 226910
55, 227036
56, 226902
57, 227126
58, 227328
59, 227213
60, 226875
61, 226877
62, 227791
63, 232793
64, 228053
65, 227539
66, 226952
67, 227454
68, 226885
69, 226905
70, 227539
71, 226873
72, 226888
73, 227594
74, 226870
75, 227507
76, 227556
77, 348067
78, 231695
79, 229375
80, 227505
81, 227491
82, 227036
83, 227007
84, 227187
85, 227005
86, 227643
87, 227046
88, 227011
89, 227044
90, 226991
91, 227095
92, 227053
93, 227029
94, 232201
95, 227498
96, 227034
97, 226903
98, 227595
99, 227241
100, 226896
101, 227523
102, 228868
103, 227858
104, 227276
105, 227562
106, 226872
107, 226890
108, 227350
109, 226889
110, 233480
111, 284563
112, 228409
113, 226970
114, 227312
115, 226966
116, 226925
117, 226976
118, 227400
119, 226982
120, 226944
121, 227496
122, 226939
123, 226962
124, 227200
125, 227696
126, 232849
127, 227324
128, 226935
129, 227507
130, 227003
131, 226971
132, 227280
133, 227655
134, 226912
135, 226976
136, 226950
137, 227486
138, 226942
139, 226928
140, 227453
141, 229656
142, 228794
143, 227029
144, 227038
145, 261492
146, 228374
147, 227628
148, 226949
149, 227760
150, 227040
151, 227020
152, 226989
153, 226998
154, 227049
155, 227049
156, 227037
157, 232197
158, 227536
159, 226803
160, 227557
161, 226927
162, 227035
163, 226819
164, 227581
165, 226825
166, 226839
167, 227778
168, 226867
169, 226829
170, 226809
171, 226851
172, 227214
173, 232671
174, 228018
175, 227587
176, 226971
177, 227339
178, 226953
179, 226996
180, 272409
181, 227532
182, 226961
183, 226960
184, 227493
185, 226945
186, 226946
187, 227367
188, 226945
189, 233575
190, 227208
191, 226857
192, 227571
193, 226884
194, 226893
195, 226842
196, 226850
197, 227512
198, 226881
199, 226860
200, 227327
201, 227612
202, 226828
203, 227061
204, 229514
205, 228720
206, 227020
207, 227495
208, 226994
209, 227007
210, 227467
211, 226972
212, 227000
213, 226975
214, 272805
215, 228420
216, 226922
217, 226959
218, 226946
219, 226947
220, 232123
221, 227495
222, 227281
223, 226876
224, 226885
225, 227287
226, 227625
227, 226829
228, 227129
229, 226891
230, 227410
231, 226871
232, 226884
233, 227494
234, 226890
235, 226845
236, 232762
237, 227236
238, 227051
239, 227556
240, 226876
241, 227037
242, 226862
243, 227475
244, 226841
245, 226883
246, 227482
247, 226891
248, 263467
249, 228218
250, 227410
251, 226930
252, 232861
253, 227174
254, 226829
255, 227144
256, 226888
257, 226819
258, 227568
259, 226862
260, 227600
261, 227196
262, 226811
263, 226835
264, 226954
265, 226808
266, 226904
267, 229572
268, 228722
269, 227009
270, 227541
271, 227004
272, 226984
273, 227525
274, 227013
275, 227008
276, 226949
277, 227656
278, 226967
279, 227633
280, 226976
281, 226998
282, 227044
283, 273925
284, 228853
285, 227074
286, 226966
287, 226911
288, 227630
289, 226954
290, 226920
291, 226941
