PAE,kmain(),after recv(),after send()
70904,71905,138571,380568
47796,49167,97280,211170
48100,49360,99264,208551
46657,48225,96151,202142
46496,47763,93637,204322
48459,49770,97510,205789
45438,46817,94703,201737
45687,47078,93528,201882
45390,46758,94485,202626
45397,46688,92942,202149
44888,46180,90706,199416
45742,47134,94181,203569
44766,46052,93907,199917
44531,46312,92659,203322
44742,46180,94645,196544
45130,46897,93352,202390
44793,46112,94241,199257
44072,45411,91492,200581
46724,48094,95561,201823
44586,45867,91785,200534
44600,45891,93798,198749
44567,45962,92769,201652
44433,45811,92101,199330
45532,46824,92370,202423
44903,46264,94909,199860
44495,45816,92203,201638
45156,46515,93420,199467
44645,46296,94917,202971
44885,46626,92077,202528
44603,45926,93608,200804
45349,46343,91468,201130
44912,46299,95176,201382
44686,45973,93544,205014
45066,46622,140517,244155
45255,46546,92582,202885
45268,46666,93935,198907
45350,46626,93820,201875
45055,46486,94302,199348
45898,47189,92539,202959
44583,45864,92706,198731
45119,46478,93136,202226
45091,46487,94298,200330
44939,46331,91724,199587
45934,47322,94112,209129
45036,46395,91903,201205
45113,46516,95943,199405
44862,45861,91690,200264
44756,46078,95614,202747
45529,46897,93797,203883
45965,47326,99295,204940
44876,46170,91131,199482
46227,47517,94735,199649
44845,46283,91806,200865
44842,46249,93956,198851
45464,46435,91834,228260
44952,46573,93693,198665
45737,47098,92186,202441
44922,46322,91175,200116
44858,46372,93393,202656
44561,45913,92061,199275
45430,46699,96824,201760
44561,45896,91711,202073
44651,45956,93026,197998
44375,45738,91698,202692
44723,46085,92398,198500
44735,46071,92720,198256
44234,45240,93734,199681
44325,45613,91272,199980
44959,46319,92665,233754
44874,46276,91805,201902
44700,45989,93297,199331
45776,47141,93070,202083
44328,45623,93723,197475
44231,45523,92245,201820
44918,46353,92860,197898
44544,45933,91278,197010
45512,46805,95565,199484
44899,46305,91596,199817
45059,46594,94962,200528
44778,46250,93666,203842
45701,47059,125993,227075
45840,47236,92744,202414
44417,45781,92817,197959
44633,45911,91663,200782
45463,46821,93985,197862
44621,45903,92391,202028
45500,46521,93018,195909
45242,46593,90968,209957
44735,46494,93001,200101
45762,47061,91688,200656
44941,46246,93509,197407
44848,46204,92714,201915
46336,47623,95426,201533
45093,46421,95530,202286
46138,47441,93764,199777
45119,46438,91145,199223
45745,47078,93851,198860
44901,46305,93367,203569
45085,46454,94574,199602
45092,46482,91973,201401
45474,46831,93210,199245
45099,46427,93328,201205
44683,45974,93495,198447
44770,46078,90873,200397
45453,47176,92990,201934
44777,46101,94339,201306
44493,46104,92207,202242
44518,45837,93259,205397
44837,46410,95082,201061
44620,45916,95417,204892
44268,45565,93375,198781
44813,46098,93583,202539
45325,46574,94778,197062
90078,92031,137618,238465
45410,46705,92594,197522
44959,46646,93545,200899
44805,46100,92493,197394
46854,48256,92983,200856
45099,46385,93322,197094
45139,46471,93017,202280
44554,45913,93086,196875
44810,46137,91678,199493
45712,47088,96316,205297
44619,45907,93019,202901
44752,46109,93678,199718
44760,46170,91693,199571
44828,46233,92576,200471
44792,46072,91968,202545
44627,45914,92773,199356
44769,46170,136992,243813
44481,45847,91247,199606
45313,46670,94243,202387
44928,46277,93895,205160
46366,47770,96309,194584
44757,46127,91694,199536
45301,46689,95074,201052
44867,46223,93459,202509
45589,46992,94580,200551
44656,46372,93555,202555
44701,46019,92602,198600
45009,46304,93191,203293
44778,46180,91909,201021
44956,46245,93136,200936
44603,45997,92843,197804
44968,46329,92194,200493
44554,45853,91735,201184
44771,46154,92508,203659
45039,46429,90759,200906
44853,46148,92453,199279
44382,46249,96746,206671
45027,46408,91965,198716
44577,45979,94193,203382
44608,45983,91793,200684
45707,47117,95345,201384
44563,45933,91298,199193
45153,46514,95491,202693
47155,48356,96691,206982
47375,48671,95329,203253
44810,46190,90845,198674
44732,46121,95263,202605
45841,47121,92773,200689
44734,46137,93684,202582
45169,46369,91707,200678
45971,47296,94388,202345
81831,83403,142228,254655
48835,49835,100726,207910
47860,48856,98779,204425
49980,51358,101719,210962
46625,48271,96531,202393
47938,49355,99116,208401
45825,46818,93464,198090
46692,48145,130401,236658
45450,46455,94389,199370
46547,47902,98271,205462
45078,46446,97125,203122
49526,50819,99994,209035
45625,47002,96753,203912
45185,46496,93539,200895
45179,46491,95095,200079
44937,46215,94626,200792
44574,45870,94331,202425
44786,46265,93759,199897
44769,46067,96036,203813
50258,51538,99033,217777
48255,49593,99912,205787
45117,46580,93920,199851
46408,47705,97267,205500
45032,46309,93429,199475
45531,46906,95401,201510
45832,47098,94079,201449
45703,47076,96923,205093
45334,46611,93762,198774
44823,46121,93949,200028
45691,46968,94567,222269
45017,46398,95584,202749
45087,46400,94846,199925
45049,46438,92953,200137
44922,46199,95289,202427
44787,46412,93939,199967
44917,46202,94379,201575
45036,46415,93251,199430
45493,46763,94653,201666
45187,46560,94196,200320
47240,48502,95354,201418
45036,46408,94090,200068
45250,46550,94552,201145
45628,47029,93419,200363
45379,46477,95395,202496
45290,46673,93521,200735
45374,46642,93019,202553
44759,46450,93692,198693
48279,49250,99318,208516
46682,47974,92956,207070
45764,47131,97733,206130
46158,47148,96571,203133
46526,47926,95064,200010
45383,46346,95356,202463
46685,47986,95888,200767
45738,47436,96657,202659
46185,47570,96125,201985
88279,89431,138563,244459
45866,47250,96308,204387
45325,46806,93721,200501
45080,46461,95504,203892
45913,47245,94767,208553
45259,47227,94889,199986
45471,46570,97131,203268
45970,47342,95348,201302
45969,46966,94293,203113
