# trial, latency (cycles)
0, 619781
1, 462596
2, 489954
3, 615349
4, 469127
5, 470143
6, 457360
7, 445523
8, 448900
9, 439924
10, 476325
11, 446036
12, 444616
13, 447135
14, 472176
15, 449740
16, 654848
17, 484480
18, 483844
19, 444425
20, 449708
21, 497880
22, 587385
23, 567351
24, 495943
25, 455481
26, 452879
27, 460517
28, 461987
29, 457353
30, 457304
31, 451121
32, 456155
33, 445018
34, 461827
35, 459696
36, 451761
37, 451674
38, 447654
39, 498972
40, 465317
41, 453645
42, 456509
43, 445485
44, 471112
45, 450288
46, 463524
47, 447004
48, 451188
49, 457445
50, 451560
51, 465515
52, 600947
53, 475376
54, 444969
55, 447495
56, 453996
57, 441185
58, 639025
59, 572836
60, 540930
61, 457192
62, 456222
63, 449530
64, 469477
65, 615529
66, 490908
67, 467641
68, 444843
69, 443456
70, 458539
71, 450779
72, 465531
73, 440961
74, 448582
75, 469006
76, 647971
77, 519539
78, 465046
79, 463150
80, 507399
81, 473213
82, 595226
83, 522239
84, 599525
85, 496925
86, 492375
87, 510933
88, 498890
89, 498841
90, 496090
91, 495865
92, 516099
93, 705826
94, 738424
95, 556778
96, 548017
97, 530122
98, 606661
99, 654855
100, 463338
101, 451131
102, 443851
103, 470201
104, 469020
105, 448547
106, 462634
107, 451688
108, 445072
109, 456957
110, 648895
111, 503150
112, 492497
113, 467800
114, 452837
115, 452655
116, 470812
117, 522896
118, 453091
119, 457673
120, 452187
121, 463778
122, 623747
123, 490932
124, 457367
125, 453292
126, 463557
127, 522669
128, 551686
129, 497413
130, 456688
131, 452206
132, 447587
133, 449539
134, 449968
135, 497610
136, 534400
137, 480625
138, 478128
139, 471450
140, 475213
141, 593663
142, 494112
143, 460015
144, 472359
145, 616065
146, 588680
147, 484930
148, 586726
149, 499089
150, 471741
151, 455438
152, 471469
153, 456339
154, 467699
155, 459173
156, 461861
157, 578520
158, 477206
159, 459568
160, 464710
161, 463901
162, 454917
163, 790989
164, 460715
165, 468708
166, 474101
167, 455633
168, 479064
169, 457042
170, 469863
171, 444885
172, 461222
173, 462418
174, 454557
175, 557080
176, 477070
177, 451295
178, 579228
179, 484655
180, 468581
181, 531938
182, 455815
183, 473592
184, 592163
185, 487555
186, 485973
187, 459078
188, 455543
189, 450376
190, 467135
191, 519374
192, 485954
193, 450217
194, 446551
195, 451089
196, 462218
197, 487712
198, 446353
199, 506686
200, 458161
201, 449420
202, 501909
203, 453311
204, 448371
205, 452982
206, 448830
207, 463848
208, 460699
209, 446171
210, 449279
211, 538657
212, 536797
213, 457233
214, 477364
215, 450630
216, 447711
217, 453550
218, 519360
219, 452537
220, 459896
221, 469309
222, 451018
223, 461012
224, 465680
225, 448277
226, 446581
227, 457386
228, 482515
229, 453975
230, 500606
231, 451628
232, 460805
233, 467526
234, 457767
235, 506486
236, 515025
237, 461898
238, 467296
239, 558800
240, 473166
241, 482539
242, 464833
243, 454233
244, 460898
245, 466097
246, 482943
247, 450880
248, 449097
249, 454277
250, 450883
251, 481256
252, 448116
253, 457900
254, 455018
255, 497862
256, 479893
257, 445201
258, 471684
259, 585282
260, 481124
261, 464674
262, 456475
263, 456936
264, 443751
265, 596484
266, 488096
267, 458270
268, 448583
269, 438729
270, 469291
271, 460081
272, 454152
273, 605576
274, 474898
275, 462968
276, 440361
277, 442045
278, 464557
279, 444591
280, 453417
281, 438174
282, 447939
283, 446934
284, 456267
285, 446034
286, 458190
287, 441889
288, 445675
289, 465135
290, 571888
291, 490494
292, 509598
293, 441389
294, 446071
295, 456247
296, 464532
297, 446755
298, 452602
299, 439309
300, 454791
301, 462568
302, 446475
303, 451299
304, 615670
305, 513405
306, 478970
307, 467653
308, 450478
309, 444609
310, 620124
311, 520610
312, 460238
313, 467827
314, 448535
315, 462719
316, 461696
317, 456230
318, 440914
319, 449266
320, 483794
321, 446415
322, 449864
323, 590460
324, 501471
325, 478598
326, 446131
327, 450397
328, 453412
329, 783290
330, 461762
331, 446141
332, 444223
333, 463862
334, 465379
335, 467063
336, 451075
337, 454343
338, 456059
339, 451923
340, 449307
341, 460918
342, 447597
343, 457679
344, 448912
345, 460824
346, 447661
347, 504293
348, 463785
349, 453545
350, 462668
351, 581370
352, 478745
353, 442669
354, 473676
355, 446669
356, 457590
357, 462998
358, 458681
359, 455267
360, 450195
361, 459393
362, 448513
363, 448655
364, 457368
365, 635318
366, 492410
367, 457001
368, 470822
369, 466521
370, 449666
371, 592600
372, 470894
373, 445841
374, 456641
375, 439799
376, 465683
377, 443160
378, 464490
379, 457394
380, 445372
381, 463524
382, 445963
383, 449116
384, 778299
385, 486971
386, 456775
387, 448057
388, 444692
389, 460232
390, 456765
391, 622056
392, 1859087
393, 448184
394, 448570
395, 471228
396, 471274
397, 466785
398, 457594
399, 502903
400, 465773
401, 449895
402, 452962
403, 459556
404, 442306
405, 445596
406, 471117
407, 449354
408, 451769
409, 451215
410, 451323
411, 455059
412, 445278
413, 442225
414, 450416
415, 454861
416, 460551
417, 458629
418, 797937
419, 453447
420, 449952
421, 489337
422, 446646
423, 448860
424, 461207
425, 446133
426, 445830
427, 466301
428, 447080
429, 459431
430, 447104
431, 456508
432, 455393
433, 440936
434, 446295
435, 574293
436, 533284
437, 458229
438, 452110
439, 520350
440, 445227
441, 557339
442, 491955
443, 446218
444, 462417
445, 443247
446, 445468
447, 440078
448, 463042
449, 598440
450, 556494
451, 466312
452, 451917
453, 458689
454, 534955
455, 463845
456, 462306
457, 695807
458, 560247
459, 466313
460, 483339
461, 512371
462, 527515
463, 465589
464, 452901
465, 465147
466, 494990
467, 464229
468, 464204
469, 452177
470, 473135
471, 465218
472, 777493
473, 482895
474, 458418
475, 490494
476, 465941
477, 466898
478, 457828
479, 448992
480, 456130
481, 449189
482, 455359
483, 464068
484, 451641
485, 447319
486, 462537
487, 443256
488, 453350
489, 448783
490, 492361
491, 567370
492, 482333
493, 495942
494, 466054
495, 615806
496, 488731
497, 454598
